complexity,loss,equation,score,sympy_format,lambda_format
1,0.06545228,0.61287814,0.0,0.612878140000000,PySRFunction(X=>0.612878140000000)
3,0.017213786,f * 0.0005473713,0.6678053765466194,f*0.0005473713,PySRFunction(X=>f*0.0005473713)
4,0.008921185,sqrt(f) * 0.020281365,0.6572817891063042,0.020281365*sqrt(f),PySRFunction(X=>0.020281365*sqrt(f))
6,0.0050678267,-1.6481448 - (log(f) * -0.33503607),0.2827583591882819,0.33503607*log(f) - 1.6481448,PySRFunction(X=>0.33503607*log(f) - 1.6481448)
7,0.0047861803,log((sqrt(f) * 0.044780258) - -0.51298046),0.05717940577117052,log(0.044780258*sqrt(f) + 0.51298046),PySRFunction(X=>log(0.044780258*sqrt(f) + 0.51298046))
9,0.0046674684,log(((alpha_infinity + sqrt(f)) * 0.04539628) - -0.42765066),0.012557917481572414,log(0.04539628*alpha_infinity + 0.04539628*sqrt(f) + 0.42765066),PySRFunction(X=>log(0.04539628*alpha_infinity + 0.04539628*sqrt(f) + 0.42765066))
11,0.004186365,(f / sigma) + log((sqrt(f) * 0.041680407) - -0.5580322),0.05439200527771384,f/sigma + log(0.041680407*sqrt(f) + 0.5580322),PySRFunction(X=>f/sigma + log(0.041680407*sqrt(f) + 0.5580322))
12,0.004186277,log((((f / sqrt(sigma)) + sqrt(f)) * 0.036595102) - -0.5923189),2.1020843839490462e-05,log(0.036595102*sqrt(f) + 0.036595102*f/sqrt(sigma) + 0.5923189),PySRFunction(X=>log(0.036595102*sqrt(f) + 0.036595102*f/sqrt(sigma) + 0.5923189))
13,0.0038484663,log((sqrt(f) * 0.040338162) + 0.5729618) + ((f * alpha_infinity) / sigma),0.08413708949649482,alpha_infinity*f/sigma + log(0.040338162*sqrt(f) + 0.5729618),PySRFunction(X=>alpha_infinity*f/sigma + log(0.040338162*sqrt(f) + 0.5729618))
15,0.0038386895,((alpha_infinity * f) / sigma) + log((sqrt(f) * (0.040087108 - lambda_var)) + 0.58124256),0.0012718364927046257,alpha_infinity*f/sigma + log(sqrt(f)*(0.040087108 - lambda_var) + 0.58124256),PySRFunction(X=>alpha_infinity*f/sigma + log(sqrt(f)*(0.040087108 - lambda_var) + 0.58124256))
17,0.0037871944,(f * (alpha_infinity / sigma)) + log((sqrt(f) * (0.040368408 - (sigma * k0_prime))) + 0.58039784),0.006752775599267607,alpha_infinity*f/sigma + log(sqrt(f)*(-k0_prime*sigma + 0.040368408) + 0.58039784),PySRFunction(X=>alpha_infinity*f/sigma + log(sqrt(f)*(-k0_prime*sigma + 0.040368408) + 0.58039784))
18,0.0035832436,(log(log(f) + -3.317435) * (log(log(log(f) + -2.9975016)) + (f / sigma))) + 0.23501827,0.05535705737996801,(f/sigma + log(log(log(f) - 2.9975016)))*log(log(f) - 3.317435) + 0.23501827,PySRFunction(X=>(f/sigma + log(log(log(f) - 2.9975016)))*log(log(f) - 3.317435) + 0.23501827)
20,0.0033053877,((log(log(log(f) + -2.792401)) + (f / (sigma / alpha_infinity))) * log(log(f) + -3.343083)) + 0.17144258,0.04035732509869851,(alpha_infinity*f/sigma + log(log(log(f) - 2.792401)))*log(log(f) - 3.343083) + 0.17144258,PySRFunction(X=>(alpha_infinity*f/sigma + log(log(log(f) - 2.792401)))*log(log(f) - 3.343083) + 0.17144258)
22,0.0032741372,(((f / (sigma / (alpha_infinity - 0.24110374))) + log(log(log(f) + -2.8681288))) * log(log(f) + -3.319775)) + 0.19400088,0.0047496947688797425,(f*(alpha_infinity - 0.24110374)/sigma + log(log(log(f) - 2.8681288)))*log(log(f) - 3.319775) + 0.19400088,PySRFunction(X=>(f*(alpha_infinity - 0.24110374)/sigma + log(log(log(f) - 2.8681288)))*log(log(f) - 3.319775) + 0.19400088)
24,0.0032594446,(((f / (sigma / (alpha_infinity - (f * lambda_var)))) + log(log(log(f) + -2.9164))) * log(log(f) + -3.3620112)) + 0.20451114,0.002248785615112027,(f*(alpha_infinity - f*lambda_var)/sigma + log(log(log(f) - 2.9164)))*log(log(f) - 3.3620112) + 0.20451114,PySRFunction(X=>(f*(alpha_infinity - f*lambda_var)/sigma + log(log(log(f) - 2.9164)))*log(log(f) - 3.3620112) + 0.20451114)
25,0.0032566232,(((f / (sigma / (alpha_infinity - sqrt(f * lambda_var)))) + log(log(log(f) + -2.959302))) * log(log(f) + -3.324733)) + 0.21978797,0.0008659824492065941,(f*(alpha_infinity - sqrt(f*lambda_var))/sigma + log(log(log(f) - 2.959302)))*log(log(f) - 3.324733) + 0.21978797,PySRFunction(X=>(f*(alpha_infinity - sqrt(f*lambda_var))/sigma + log(log(log(f) - 2.959302)))*log(log(f) - 3.324733) + 0.21978797)
27,0.0032528525,((log(log(log(f) + -2.9604783)) + (f / (sigma / (alpha_infinity - sqrt(f * (lambda_var / alpha_infinity)))))) * log(log(f) + -3.3225586)) + 0.21992134,0.0005792633071427794,(f*(alpha_infinity - sqrt(f*lambda_var/alpha_infinity))/sigma + log(log(log(f) - 2.9604783)))*log(log(f) - 3.3225586) + 0.21992134,PySRFunction(X=>(f*(alpha_infinity - sqrt(f*lambda_var/alpha_infinity))/sigma + log(log(log(f) - 2.9604783)))*log(log(f) - 3.3225586) + 0.21992134)
