complexity,loss,equation,score,sympy_format,lambda_format
1,0.06608238,0.6137264,0.0,0.613726400000000,PySRFunction(X=>0.613726400000000)
3,0.017200423,f * 0.0005488053,0.6729840844865103,f*0.0005488053,PySRFunction(X=>f*0.0005488053)
4,0.009087412,sqrt(f) * 0.02032253,0.6380438173588705,0.02032253*sqrt(f),PySRFunction(X=>0.02032253*sqrt(f))
6,0.0051803603,(log(f) * 0.33634254) + -1.6558998,0.28100777467217347,0.33634254*log(f) - 1.6558998,PySRFunction(X=>0.33634254*log(f) - 1.6558998)
7,0.0048786122,log(sqrt(f) - -11.487937) + -3.1062984,0.06001381566304031,log(sqrt(f) + 11.487937) - 3.1062984,PySRFunction(X=>log(sqrt(f) + 11.487937) - 3.1062984)
9,0.0047352877,log(alpha_infinity + (sqrt(f) - -9.918513)) + -3.106054,0.01490915454306094,log(alpha_infinity + sqrt(f) + 9.918513) - 3.106054,PySRFunction(X=>log(alpha_infinity + sqrt(f) + 9.918513) - 3.106054)
10,0.004569916,((0.34489894 - (sigma * 1.5664565e-7)) * log(f)) + -1.6559757,0.035547661094677246,(0.34489894 - 1.5664565e-7*sigma)*log(f) - 1.6559757,PySRFunction(X=>(0.34489894 - 1.5664565e-7*sigma)*log(f) - 1.6559757)
12,0.0045505115,((0.3449063 - ((k0_prime + 1.5157323e-7) * sigma)) * log(f)) + -1.6559955,0.0021275898831546445,(-sigma*(k0_prime + 1.5157323e-7) + 0.3449063)*log(f) - 1.6559955,PySRFunction(X=>(-sigma*(k0_prime + 1.5157323e-7) + 0.3449063)*log(f) - 1.6559955)
13,0.0044526337,((0.35310158 - (sigma * 1.5752732e-7)) * log(f + log(sigma))) + -1.716977,0.021743880421931965,(0.35310158 - 1.5752732e-7*sigma)*log(f + log(sigma)) - 1.716977,PySRFunction(X=>(0.35310158 - 1.5752732e-7*sigma)*log(f + log(sigma)) - 1.716977)
14,0.0030494104,(((0.46781078 - (sigma * 2.4152473e-6)) * log(f)) + -2.4951143) - (sigma * -1.541887e-5),0.3785475033481229,1.541887e-5*sigma + (0.46781078 - 2.4152473e-6*sigma)*log(f) - 2.4951143,PySRFunction(X=>1.541887e-5*sigma + (0.46781078 - 2.4152473e-6*sigma)*log(f) - 2.4951143)
16,0.0030078418,((log(f + 3.7118685) * (0.46754673 - (sigma * 2.3665852e-6))) + -2.4966412) - (sigma * -1.5090713e-5),0.006862724418708308,1.5090713e-5*sigma + (0.46754673 - 2.3665852e-6*sigma)*log(f + 3.7118685) - 2.4966412,PySRFunction(X=>1.5090713e-5*sigma + (0.46754673 - 2.3665852e-6*sigma)*log(f + 3.7118685) - 2.4966412)
17,0.002933664,(((0.47789612 - (sigma * 2.425581e-6)) * log(f + log(sigma))) + -2.5749075) - (sigma * -1.5599315e-5),0.024970657883885455,1.5599315e-5*sigma + (0.47789612 - 2.425581e-6*sigma)*log(f + log(sigma)) - 2.5749075,PySRFunction(X=>1.5599315e-5*sigma + (0.47789612 - 2.425581e-6*sigma)*log(f + log(sigma)) - 2.5749075)
19,0.0028197132,((0.48794472 - (2.5173538e-6 * sigma)) * log((2.1868286 * log(sigma)) + f)) + (-2.6467826 - (sigma * -1.617237e-5)),0.019808488042593112,1.617237e-5*sigma + (0.48794472 - 2.5173538e-6*sigma)*log(f + 2.1868286*log(sigma)) - 2.6467826,PySRFunction(X=>1.617237e-5*sigma + (0.48794472 - 2.5173538e-6*sigma)*log(f + 2.1868286*log(sigma)) - 2.6467826)
20,0.0028008942,(((log(f) * (0.47116712 - (sigma * 2.0961634e-6))) + -2.4656525) - (sigma * -1.3261232e-5)) - ((-10.869929 / f) - -0.069607265),0.006696454309973049,1.3261232e-5*sigma + (0.47116712 - 2.0961634e-6*sigma)*log(f) - 2.535259765 + 10.869929/f,PySRFunction(X=>1.3261232e-5*sigma + (0.47116712 - 2.0961634e-6*sigma)*log(f) - 2.535259765 + 10.869929/f)
21,0.0027206987,(log((alpha_infinity * log(sigma / lambda_prime)) + f) * (0.5043573 - (sigma * 2.6579944e-6))) + (-2.763736 - (sigma * -1.7161241e-5)),0.02905000101920548,1.7161241e-5*sigma + (0.5043573 - 2.6579944e-6*sigma)*log(alpha_infinity*log(sigma/lambda_prime) + f) - 2.763736,PySRFunction(X=>1.7161241e-5*sigma + (0.5043573 - 2.6579944e-6*sigma)*log(alpha_infinity*log(sigma/lambda_prime) + f) - 2.763736)
22,0.0026020298,(((log(f) * (0.4704162 - (sigma * 2.0857933e-6))) + -2.465732) - (sigma * -1.3038386e-5)) - ((-10.869928 / f) - (-0.081677526 / alpha_infinity)),0.04459688956777027,1.3038386e-5*sigma + (0.4704162 - 2.0857933e-6*sigma)*log(f) - 2.465732 + 10.869928/f - 0.081677526/alpha_infinity,PySRFunction(X=>1.3038386e-5*sigma + (0.4704162 - 2.0857933e-6*sigma)*log(f) - 2.465732 + 10.869928/f - 0.081677526/alpha_infinity)
24,0.0023999326,(((log(f) * (0.5097864 - (sigma * 2.4048873e-6))) + -2.74313) - (sigma * -1.5359961e-5)) - (((-20.855906 / f) - (-0.11075229 / alpha_infinity)) * 0.9028486),0.040425589563589735,1.5359961e-5*sigma + (0.5097864 - 2.4048873e-6*sigma)*log(f) - 2.74313 + 18.8297255338316/f - 0.099992549973294/alpha_infinity,PySRFunction(X=>1.5359961e-5*sigma + (0.5097864 - 2.4048873e-6*sigma)*log(f) - 2.74313 + 18.8297255338316/f - 0.099992549973294/alpha_infinity)
