complexity,loss,equation,score,sympy_format,lambda_format
1,0.00693772,0.85753536,0.0,0.857535360000000,PySRFunction(X=>0.857535360000000)
3,0.006937531,0.8576197 - lambda_var,1.3621375210531941e-05,0.8576197 - lambda_var,PySRFunction(X=>0.8576197 - lambda_var)
4,0.006930264,0.86711013 - sqrt(lambda_var),0.0010480398167358356,0.86711013 - sqrt(lambda_var),PySRFunction(X=>0.86711013 - sqrt(lambda_var))
5,0.0006431238,1.0440251 - (sigma * 3.4181796e-6),2.3773159459990785,1.0440251 - 3.4181796e-6*sigma,PySRFunction(X=>1.0440251 - 3.4181796e-6*sigma)
7,0.0006383483,((sigma - f) * -3.4193554e-6) + 1.0378222,0.0037265907751961222,1.0378222 + (-f + sigma)*(-3.4193554e-6),PySRFunction(X=>1.0378222 + (-f + sigma)*(-3.4193554e-6))
8,0.00063412706,1.0576819 - (sqrt(lambda_prime) + (sigma * 3.4214063e-6)),0.006634714694525168,-sqrt(lambda_prime) - 3.4214063e-6*sigma + 1.0576819,PySRFunction(X=>-sqrt(lambda_prime) - 3.4214063e-6*sigma + 1.0576819)
9,0.0005267583,(sigma * -3.4203e-6) + (0.98877406 - (alpha_infinity * -0.035471477)),0.1855075348918101,-(-0.035471477)*alpha_infinity + sigma*(-3.4203e-6) + 0.98877406,PySRFunction(X=>-(-0.035471477)*alpha_infinity + sigma*(-3.4203e-6) + 0.98877406)
10,0.0005152916,(log(alpha_infinity) * 0.05581022) - ((sigma * 3.4186562e-6) + -1.0203154),0.022008855543096444,-3.4186562e-6*sigma + 0.05581022*log(alpha_infinity) + 1.0203154,PySRFunction(X=>-3.4186562e-6*sigma + 0.05581022*log(alpha_infinity) + 1.0203154)
11,0.0005022561,(sigma * -3.4163793e-6) + (1.0035313 - (sqrt(log(alpha_infinity)) * -0.06455767)),0.025622805050303326,-3.4163793e-6*sigma + 0.06455767*sqrt(log(alpha_infinity)) + 1.0035313,PySRFunction(X=>-3.4163793e-6*sigma + 0.06455767*sqrt(log(alpha_infinity)) + 1.0035313)
13,0.0004957962,((((sigma * -0.00359845) + sqrt(sigma)) * sqrt(alpha_infinity)) * 0.0019973433) + 0.7797251,0.006472596888156494,0.0019973433*sqrt(alpha_infinity)*(sqrt(sigma) - 0.00359845*sigma) + 0.7797251,PySRFunction(X=>0.0019973433*sqrt(alpha_infinity)*(sqrt(sigma) - 0.00359845*sigma) + 0.7797251)
15,0.00047244932,((((sigma * -0.003584365) + sqrt(f + sigma)) * 0.0019620233) * sqrt(alpha_infinity)) + 0.7688154,0.024117236634533724,sqrt(alpha_infinity)*(-7.0326076457045e-6*sigma + 0.0019620233*sqrt(f + sigma)) + 0.7688154,PySRFunction(X=>sqrt(alpha_infinity)*(-7.0326076457045e-6*sigma + 0.0019620233*sqrt(f + sigma)) + 0.7688154)
17,0.00044418903,sqrt(alpha_infinity) * ((sigma * -5.3011936e-6) + (((sqrt(sigma) * 0.0011463208) + 1.0355564) + (alpha_infinity * -0.1995955))),0.03084013342466217,sqrt(alpha_infinity)*(-0.1995955*alpha_infinity + 0.0011463208*sqrt(sigma) - 5.3011936e-6*sigma + 1.0355564),PySRFunction(X=>sqrt(alpha_infinity)*(-0.1995955*alpha_infinity + 0.0011463208*sqrt(sigma) - 5.3011936e-6*sigma + 1.0355564))
18,0.000421698,sqrt(alpha_infinity) * ((log(alpha_infinity) * -0.30691203) + (((sqrt(sigma) * 0.0010402721) + (sigma * -5.076015e-6)) + 0.8666362)),0.05196079703934705,sqrt(alpha_infinity)*(0.0010402721*sqrt(sigma) - 5.076015e-6*sigma - 0.30691203*log(alpha_infinity) + 0.8666362),PySRFunction(X=>sqrt(alpha_infinity)*(0.0010402721*sqrt(sigma) - 5.076015e-6*sigma - 0.30691203*log(alpha_infinity) + 0.8666362))
20,0.00042136072,sqrt(alpha_infinity) * (((sigma * -5.310554e-6) + ((log(alpha_infinity + 0.0046082865) * -0.30704457) + (sqrt(sigma) * 0.0011466583))) + 0.8561604),0.0004000670534482724,sqrt(alpha_infinity)*(0.0011466583*sqrt(sigma) - 5.310554e-6*sigma - 0.30704457*log(alpha_infinity + 0.0046082865) + 0.8561604),PySRFunction(X=>sqrt(alpha_infinity)*(0.0011466583*sqrt(sigma) - 5.310554e-6*sigma - 0.30704457*log(alpha_infinity + 0.0046082865) + 0.8561604))
24,0.0004211545,sqrt(alpha_infinity) * (((((sqrt(sigma) * 0.0011712532) + ((log(alpha_infinity + 0.0034916294) + 0.0076530864) * -0.30699167)) + (sigma * -5.3618164e-6)) + 0.8555628) - lambda_prime),0.00012238354822736528,sqrt(alpha_infinity)*(-lambda_prime + 0.0011712532*sqrt(sigma) - 5.3618164e-6*sigma - 0.30699167*log(alpha_infinity + 0.0034916294) + 0.85321336622541),PySRFunction(X=>sqrt(alpha_infinity)*(-lambda_prime + 0.0011712532*sqrt(sigma) - 5.3618164e-6*sigma - 0.30699167*log(alpha_infinity + 0.0034916294) + 0.85321336622541))
