complexity,loss,equation,score,sympy_format,lambda_format
1,0.0065146517,0.8157377,0.0,0.815737700000000,PySRFunction(X=>0.815737700000000)
3,0.006513891,0.8158416 - lambda_var,5.838719021615342e-05,0.8158416 - lambda_var,PySRFunction(X=>0.8158416 - lambda_var)
4,0.006310781,sqrt(f) * 0.021263534,0.03167753283915434,0.021263534*sqrt(f),PySRFunction(X=>0.021263534*sqrt(f))
5,0.0017531355,(sigma * -2.973024e-6) + 0.9779511,1.2808535416690328,0.9779511 + sigma*(-2.973024e-6),PySRFunction(X=>0.9779511 + sigma*(-2.973024e-6))
6,0.0017382554,sqrt((sigma * -4.5540214e-6) + 0.9154996),0.008523932450933913,sqrt(0.9154996 - 4.5540214e-6*sigma),PySRFunction(X=>sqrt(0.9154996 - 4.5540214e-6*sigma))
7,0.0017366507,sqrt((sigma * -4.5540214e-6) + sqrt(0.84195083)),0.000923593367930647,sqrt(0.917578786807978 - 4.5540214e-6*sigma),PySRFunction(X=>sqrt(0.917578786807978 - 4.5540214e-6*sigma))
8,0.0017201897,(sigma * -2.9711455e-6) + (0.9874252 - sqrt(lambda_var)),0.009523797755472362,-sqrt(lambda_var) - 2.9711455e-6*sigma + 0.9874252,PySRFunction(X=>-sqrt(lambda_var) - 2.9711455e-6*sigma + 0.9874252)
9,0.001228972,(-0.16380624 / alpha_infinity) + (1.0872287 + (sigma * -2.9721782e-6)),0.33625652786730065,sigma*(-2.9721782e-6) + 1.0872287 - 0.16380624/alpha_infinity,PySRFunction(X=>sigma*(-2.9721782e-6) + 1.0872287 - 0.16380624/alpha_infinity)
10,0.001228849,(-0.27335942 / sqrt(alpha_infinity)) + ((sigma * -2.972466e-6) + 1.2000651),0.00010008865584827408,-2.972466e-6*sigma + 1.2000651 - 0.27335942/sqrt(alpha_infinity),PySRFunction(X=>-2.972466e-6*sigma + 1.2000651 - 0.27335942/sqrt(alpha_infinity))
11,0.0010258132,(((0.6983214 / alpha_infinity) + 0.18006437) - (sigma * 1.920697e-6)) * alpha_infinity,0.18059229502261726,alpha_infinity*(-1.920697e-6*sigma + 0.18006437 + 0.6983214/alpha_infinity),PySRFunction(X=>alpha_infinity*(-1.920697e-6*sigma + 0.18006437 + 0.6983214/alpha_infinity))
13,0.0010104268,((0.9547616 / (alpha_infinity + 0.24506886)) - ((sigma * 1.9078323e-6) + -0.10063372)) * alpha_infinity,0.0075564240222304475,alpha_infinity*(-(sigma*1.9078323e-6 - 0.10063372) + 0.9547616/(alpha_infinity + 0.24506886)),PySRFunction(X=>alpha_infinity*(-(sigma*1.9078323e-6 - 0.10063372) + 0.9547616/(alpha_infinity + 0.24506886)))
14,0.00074700924,(alpha_infinity * (0.16594785 - (sigma * 1.9214228e-6))) + ((sqrt(f) + alpha_infinity) * 0.018046683),0.30205054029914674,alpha_infinity*(0.16594785 - 1.9214228e-6*sigma) + 0.018046683*alpha_infinity + 0.018046683*sqrt(f),PySRFunction(X=>alpha_infinity*(0.16594785 - 1.9214228e-6*sigma) + 0.018046683*alpha_infinity + 0.018046683*sqrt(f))
16,0.000694946,((0.18377034 - (sigma * 1.9175293e-6)) * alpha_infinity) + (sqrt(f / 0.16465107) * (0.007408144 - lambda_var)),0.03612170491489787,alpha_infinity*(0.18377034 - 1.9175293e-6*sigma) + 2.46443700476049*sqrt(f)*(0.007408144 - lambda_var),PySRFunction(X=>alpha_infinity*(0.18377034 - 1.9175293e-6*sigma) + 2.46443700476049*sqrt(f)*(0.007408144 - lambda_var))
18,0.0006932865,((0.18377034 - (sigma * 1.9175293e-6)) * alpha_infinity) + (sqrt((f + 3.8659077) / 0.16465107) * (0.007408144 - lambda_var)),0.0011954055177874595,alpha_infinity*(0.18377034 - 1.9175293e-6*sigma) + (0.007408144 - lambda_var)*sqrt(6.07344975043284*f + 23.4793961557614),PySRFunction(X=>alpha_infinity*(0.18377034 - 1.9175293e-6*sigma) + (0.007408144 - lambda_var)*sqrt(6.07344975043284*f + 23.4793961557614))
20,0.0006084851,(((0.16001166 - ((sigma - (0.7986018 / lambda_var)) * 1.9123554e-6)) + (0.3190668 / alpha_infinity)) * alpha_infinity) + (sqrt(f) * 0.010011847),0.06523545399157171,alpha_infinity*(-1.9123554e-6*sigma + 0.16001166 + 1.52721046467972e-6/lambda_var + 0.3190668/alpha_infinity) + 0.010011847*sqrt(f),PySRFunction(X=>alpha_infinity*(-1.9123554e-6*sigma + 0.16001166 + 1.52721046467972e-6/lambda_var + 0.3190668/alpha_infinity) + 0.010011847*sqrt(f))
22,0.0006039902,(alpha_infinity * ((0.16001166 - ((sigma - (0.7986018 / lambda_var)) * 1.9123554e-6)) + (0.3190668 / alpha_infinity))) + (sqrt(f) * (0.010011847 - lambda_var)),0.003707226524045454,alpha_infinity*(-1.9123554e-6*sigma + 0.16001166 + 1.52721046467972e-6/lambda_var + 0.3190668/alpha_infinity) + sqrt(f)*(0.010011847 - lambda_var),PySRFunction(X=>alpha_infinity*(-1.9123554e-6*sigma + 0.16001166 + 1.52721046467972e-6/lambda_var + 0.3190668/alpha_infinity) + sqrt(f)*(0.010011847 - lambda_var))
24,0.00057180447,(alpha_infinity * (((0.15821002 / alpha_infinity) + 0.16423331) - ((sigma - (0.72007114 / lambda_var)) * 1.912096e-6))) + (sqrt(f) * (0.014101051 - (k0_prime / lambda_var))),0.027380437680644524,alpha_infinity*(-1.912096e-6*sigma + 0.16423331 + 1.37684514650944e-6/lambda_var + 0.15821002/alpha_infinity) + sqrt(f)*(-k0_prime/lambda_var + 0.014101051),PySRFunction(X=>alpha_infinity*(-1.912096e-6*sigma + 0.16423331 + 1.37684514650944e-6/lambda_var + 0.15821002/alpha_infinity) + sqrt(f)*(-k0_prime/lambda_var + 0.014101051))
27,0.0005717743,(alpha_infinity * (((0.15821002 / alpha_infinity) + 0.16423331) - (((sigma + sqrt(f)) - (0.72007114 / lambda_var)) * 1.912096e-6))) + (sqrt(f) * (0.014101051 - (k0_prime / lambda_var))),1.758806115121928e-05,alpha_infinity*(-1.912096e-6*sqrt(f) - 1.912096e-6*sigma + 0.16423331 + 1.37684514650944e-6/lambda_var + 0.15821002/alpha_infinity) + sqrt(f)*(-k0_prime/lambda_var + 0.014101051),PySRFunction(X=>alpha_infinity*(-1.912096e-6*sqrt(f) - 1.912096e-6*sigma + 0.16423331 + 1.37684514650944e-6/lambda_var + 0.15821002/alpha_infinity) + sqrt(f)*(-k0_prime/lambda_var + 0.014101051))
