complexity,loss,equation,score,sympy_format,lambda_format
1,0.024842951,0.2873673,0.0,0.287367300000000,PySRFunction(X=>0.287367300000000)
3,0.0026576195,f * 0.0007636627,1.1175716265169222,f*0.0007636627,PySRFunction(X=>f*0.0007636627)
5,0.0022954731,(f * 0.00086344214) + -0.04638122,0.07324591561932438,f*0.00086344214 - 0.04638122,PySRFunction(X=>f*0.00086344214 - 0.04638122)
7,0.00072463695,(-2707.036 / sigma) - (f * -0.0008995205),0.5765117371141345,-(-0.0008995205)*f - 2707.036/sigma,PySRFunction(X=>-(-0.0008995205)*f - 2707.036/sigma)
9,0.0006249524,(((-7.349145 / sigma) - -0.0010348681) * f) - 0.04637848,0.07399764198821658,f*(-1*(-0.0010348681) - 7.349145/sigma) - 1*0.04637848,PySRFunction(X=>f*(-1*(-0.0010348681) - 7.349145/sigma) - 1*0.04637848)
11,0.00062473596,((((-7.349145 / sigma) - -0.0010348681) * f) - 0.04637848) - lambda_var,0.00017319518136841246,f*(-1*(-0.0010348681) - 7.349145/sigma) - lambda_var - 1*0.04637848,PySRFunction(X=>f*(-1*(-0.0010348681) - 7.349145/sigma) - lambda_var - 1*0.04637848)
12,0.0005940139,((f / (sqrt(sigma) / -0.0786498)) - (f * -0.0012306403)) + -0.046386458,0.05042637671109061,0.0012306403*f - 0.0786498*f/sqrt(sigma) - 0.046386458,PySRFunction(X=>0.0012306403*f - 0.0786498*f/sqrt(sigma) - 0.046386458)
14,0.00055527367,(((f / (sigma / -43.6826)) - (f * -0.007126295)) / log(f)) + -0.103937484,0.033720814225065385,(0.007126295*f - 43.6826*f/sigma)/log(f) - 0.103937484,PySRFunction(X=>(0.007126295*f - 43.6826*f/sigma)/log(f) - 0.103937484)
15,0.0005218518,(((f / (sqrt(sigma) / -0.49186903)) + -0.47785938) - (f * -0.008073901)) / log(f),0.062077451784980475,(0.008073901*f - 0.49186903*f/sqrt(sigma) - 0.47785938)/log(f),PySRFunction(X=>(0.008073901*f - 0.49186903*f/sqrt(sigma) - 0.47785938)/log(f))
17,0.0005215507,((((f + 0.71063006) / (sqrt(sigma) / -0.49174997)) + -0.47783154) - (f * -0.008073716)) / log(f),0.0002885751264331016,(0.008073716*f - 0.47783154 - 0.49174997*(f + 0.71063006)/sqrt(sigma))/log(f),PySRFunction(X=>(0.008073716*f - 0.47783154 - 0.49174997*(f + 0.71063006)/sqrt(sigma))/log(f))
18,0.0005099468,(((7006.818 / (sqrt(sigma) / -0.003959215)) + 0.46363455) * (phi / ((261.13663 / f) + 0.11672891))) + -0.09065534,0.022500082722450326,phi*(0.46363455 - 27.74149892787/sqrt(sigma))/(0.11672891 + 261.13663/f) - 0.09065534,PySRFunction(X=>phi*(0.46363455 - 27.74149892787/sqrt(sigma))/(0.11672891 + 261.13663/f) - 0.09065534)
20,0.0005097245,(((((7006.818 / (sqrt(sigma) / -0.003959215)) + 0.46363455) * phi) / ((261.13663 / f) + 0.11672891)) + -0.09065534) + lambda_prime,0.00021801143517713055,lambda_prime + phi*(0.46363455 - 27.74149892787/sqrt(sigma))/(0.11672891 + 261.13663/f) - 0.09065534,PySRFunction(X=>lambda_prime + phi*(0.46363455 - 27.74149892787/sqrt(sigma))/(0.11672891 + 261.13663/f) - 0.09065534)
