complexity,loss,equation,score,sympy_format,lambda_format
1,0.0046408046,0.73534185,0.0,0.735341850000000,PySRFunction(X=>0.735341850000000)
3,0.004615788,f * 0.0006429305,0.0027025777181160743,f*0.0006429305,PySRFunction(X=>f*0.0006429305)
4,0.003650286,7.921322 / log(sigma),0.2346770802523067,7.921322/log(sigma),PySRFunction(X=>7.921322/log(sigma))
6,0.0029116108,(alpha_infinity + 6.3607106) / log(sigma),0.11304952656664266,(alpha_infinity + 6.3607106)/log(sigma),PySRFunction(X=>(alpha_infinity + 6.3607106)/log(sigma))
8,0.0028313685,(3.8662164 - (f * -0.0035556292)) / log(sigma),0.013973151938919284,(0.0035556292*f + 3.8662164)/log(sigma),PySRFunction(X=>(0.0035556292*f + 3.8662164)/log(sigma))
10,0.0023775587,(6.089323 - ((f * alpha_infinity) * -0.0010292686)) / log(sigma),0.08734297937257274,(0.0010292686*alpha_infinity*f + 6.089323)/log(sigma),PySRFunction(X=>(0.0010292686*alpha_infinity*f + 6.089323)/log(sigma))
12,0.0020045752,0.6072322 - (alpha_infinity * ((f / sqrt(sigma * lambda_var)) * -0.00014282517)),0.08532101847308775,0.00014282517*alpha_infinity*f/sqrt(lambda_var*sigma) + 0.6072322,PySRFunction(X=>0.00014282517*alpha_infinity*f/sqrt(lambda_var*sigma) + 0.6072322)
13,0.00167079,(((alpha_infinity * 0.0044789873) / sqrt(lambda_var * sigma)) - -0.01826764) * sqrt(f),0.18213559952049416,sqrt(f)*(0.0044789873*alpha_infinity/sqrt(lambda_var*sigma) + 0.01826764),PySRFunction(X=>sqrt(f)*(0.0044789873*alpha_infinity/sqrt(lambda_var*sigma) + 0.01826764))
15,0.001661086,(((0.0044805165 * alpha_infinity) / sqrt(lambda_var * (sigma + f))) - -0.018277248) * sqrt(f),0.002912481568402489,sqrt(f)*(0.0044805165*alpha_infinity/sqrt(lambda_var*(f + sigma)) + 0.018277248),PySRFunction(X=>sqrt(f)*(0.0044805165*alpha_infinity/sqrt(lambda_var*(f + sigma)) + 0.018277248))
17,0.0016400156,((-0.060228497 - ((alpha_infinity * -0.00015558109) * f)) / sqrt(sigma * lambda_var)) - (sqrt(f) * -0.018547755),0.0063829256716837965,0.018547755*sqrt(f) + (0.00015558109*alpha_infinity*f - 0.060228497)/sqrt(lambda_var*sigma),PySRFunction(X=>0.018547755*sqrt(f) + (0.00015558109*alpha_infinity*f - 0.060228497)/sqrt(lambda_var*sigma))
18,0.0016329648,sqrt(f) * ((((alpha_infinity / sqrt(sigma * lambda_var)) * 0.0044693053) - -0.018530212) - (lambda_prime + sqrt(k0_prime))),0.0043084956494550426,sqrt(f)*(0.0044693053*alpha_infinity/sqrt(lambda_var*sigma) - sqrt(k0_prime) - lambda_prime + 0.018530212),PySRFunction(X=>sqrt(f)*(0.0044693053*alpha_infinity/sqrt(lambda_var*sigma) - sqrt(k0_prime) - lambda_prime + 0.018530212))
21,0.0013528917,(-0.024402795 - (1.425743e-7 / lambda_var)) * ((alpha_infinity * (-5.1706696 + sqrt(sqrt(k0_prime) * sigma))) + (log(sigma) - sqrt(f))),0.06271765223249999,(-0.024402795 - 1.425743e-7/lambda_var)*(alpha_infinity*(sqrt(sqrt(k0_prime)*sigma) - 5.1706696) - sqrt(f) + log(sigma)),PySRFunction(X=>(-0.024402795 - 1.425743e-7/lambda_var)*(alpha_infinity*(sqrt(sqrt(k0_prime)*sigma) - 5.1706696) - sqrt(f) + log(sigma)))
23,0.0013509116,(-0.024402795 - (1.425743e-7 / lambda_var)) * (log(sigma) + ((alpha_infinity * (-5.1706696 + sqrt(sqrt(k0_prime / phi) * sigma))) - sqrt(f))),0.0007323389071939002,(-0.024402795 - 1.425743e-7/lambda_var)*(alpha_infinity*(sqrt(sigma*sqrt(k0_prime/phi)) - 5.1706696) - sqrt(f) + log(sigma)),PySRFunction(X=>(-0.024402795 - 1.425743e-7/lambda_var)*(alpha_infinity*(sqrt(sigma*sqrt(k0_prime/phi)) - 5.1706696) - sqrt(f) + log(sigma)))
25,0.0013425496,(0.024483602 - (-1.4513542e-7 / lambda_var)) * (sqrt(f - -0.631825) - (((sqrt(sqrt(k0_prime) * (sigma / phi)) + -5.170604) * alpha_infinity) + log(sigma))),0.00310456555498692,(0.024483602 + 1.4513542e-7/lambda_var)*(-alpha_infinity*(sqrt(sqrt(k0_prime)*sigma/phi) - 5.170604) + sqrt(f + 0.631825) - log(sigma)),PySRFunction(X=>(0.024483602 + 1.4513542e-7/lambda_var)*(-alpha_infinity*(sqrt(sqrt(k0_prime)*sigma/phi) - 5.170604) + sqrt(f + 0.631825) - log(sigma)))
