complexity,loss,equation,score,sympy_format,lambda_format
1,0.004307948,0.60987306,0.0,0.609873060000000,PySRFunction(X=>0.609873060000000)
3,0.0026577185,f * 0.00072474784,0.2414968203345626,f*0.00072474784,PySRFunction(X=>f*0.00072474784)
4,0.002486735,sqrt(f) * 0.021107737,0.06649744292302316,0.021107737*sqrt(f),PySRFunction(X=>0.021107737*sqrt(f))
5,0.0023196123,(-353.8588 / f) - -1.0362668,0.06957054541828032,-1*(-1.0362668) - 353.8588/f,PySRFunction(X=>-1*(-1.0362668) - 353.8588/f)
6,0.0023184337,(sqrt(f) * 0.029748116) + -0.25059238,0.0005082312790209662,0.029748116*sqrt(f) - 0.25059238,PySRFunction(X=>0.029748116*sqrt(f) - 0.25059238)
7,0.002245738,f * (0.00083968166 - (0.00017220885 / alpha_infinity)),0.031857630679023786,f*(0.00083968166 - 0.00017220885/alpha_infinity),PySRFunction(X=>f*(0.00083968166 - 0.00017220885/alpha_infinity))
8,0.0017607636,((alpha_infinity / sqrt(lambda_var)) + f) * 0.00060478994,0.2432866190916198,0.00060478994*alpha_infinity/sqrt(lambda_var) + 0.00060478994*f,PySRFunction(X=>0.00060478994*alpha_infinity/sqrt(lambda_var) + 0.00060478994*f)
10,0.0016959457,(((alpha_infinity / sqrt(lambda_var)) + f) * 0.00052280654) + 0.08334081,0.018753529123536467,0.00052280654*alpha_infinity/sqrt(lambda_var) + 0.00052280654*f + 0.08334081,PySRFunction(X=>0.00052280654*alpha_infinity/sqrt(lambda_var) + 0.00052280654*f + 0.08334081)
11,0.0016612649,1.1095855 - (514.7678 / ((alpha_infinity / sqrt(sqrt(k0_prime))) + f)),0.020661220192905862,1.1095855 - 514.7678/(alpha_infinity/k0_prime**(1/4) + f),PySRFunction(X=>1.1095855 - 514.7678/(alpha_infinity/k0_prime**(1/4) + f))
13,0.0016332675,1.1088477 - (489.99582 / (((alpha_infinity + -0.3747893) / sqrt(sqrt(k0_prime))) + f)),0.008498345320561705,1.1088477 - 489.99582/(f + (alpha_infinity - 0.3747893)/k0_prime**(1/4)),PySRFunction(X=>1.1088477 - 489.99582/(f + (alpha_infinity - 0.3747893)/k0_prime**(1/4)))
14,0.0014007395,((f + sqrt(0.9497573 / sqrt(k0_prime))) + (alpha_infinity / sqrt(lambda_var))) * 0.00053791417,0.15358229806284107,0.00053791417*alpha_infinity/sqrt(lambda_var) + 0.00053791417*f + 0.000524226903092501/k0_prime**(1/4),PySRFunction(X=>0.00053791417*alpha_infinity/sqrt(lambda_var) + 0.00053791417*f + 0.000524226903092501/k0_prime**(1/4))
16,0.0013985535,(((f + sqrt(sqrt(phi / k0_prime))) + (alpha_infinity / sqrt(lambda_var))) * 0.00052332506) + 0.016343096,0.0007809116245986243,0.00052332506*alpha_infinity/sqrt(lambda_var) + 0.00052332506*f + 0.00052332506*(phi/k0_prime)**(1/4) + 0.016343096,PySRFunction(X=>0.00052332506*alpha_infinity/sqrt(lambda_var) + 0.00052332506*f + 0.00052332506*(phi/k0_prime)**(1/4) + 0.016343096)
17,0.0013928789,0.52676845 / (988.35425 / ((alpha_infinity / sqrt(lambda_var)) + (f + sqrt(sqrt(sqrt(alpha_infinity) / k0_prime))))),0.004065731856406249,0.000532975347654953*alpha_infinity/sqrt(lambda_var) + 0.000532975347654953*f + 0.000532975347654953*(sqrt(alpha_infinity)/k0_prime)**(1/4),PySRFunction(X=>0.000532975347654953*alpha_infinity/sqrt(lambda_var) + 0.000532975347654953*f + 0.000532975347654953*(sqrt(alpha_infinity)/k0_prime)**(1/4))
18,0.0011263741,(((f + sqrt(sqrt(alpha_infinity / k0_prime))) + (alpha_infinity / sqrt(lambda_var))) * 0.00055489433) + (-1269.215 / sigma),0.21236904379593496,0.00055489433*alpha_infinity/sqrt(lambda_var) + 0.00055489433*f + 0.00055489433*(alpha_infinity/k0_prime)**(1/4) - 1269.215/sigma,PySRFunction(X=>0.00055489433*alpha_infinity/sqrt(lambda_var) + 0.00055489433*f + 0.00055489433*(alpha_infinity/k0_prime)**(1/4) - 1269.215/sigma)
19,0.0011221074,(-1269.215 / sigma) + (((sqrt(sqrt(sqrt(alpha_infinity) / k0_prime)) + f) + (alpha_infinity / sqrt(lambda_var))) * 0.00055864546),0.0037951881047421426,0.00055864546*alpha_infinity/sqrt(lambda_var) + 0.00055864546*f + 0.00055864546*(sqrt(alpha_infinity)/k0_prime)**(1/4) - 1269.215/sigma,PySRFunction(X=>0.00055864546*alpha_infinity/sqrt(lambda_var) + 0.00055864546*f + 0.00055864546*(sqrt(alpha_infinity)/k0_prime)**(1/4) - 1269.215/sigma)
