segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,1,2,0.10733789,0.0,sqrt(lambda_prime),sqrt(lambda_prime),ok,0.317923474837455,0.27573915817565253,0.5863298942417011,-3.033025530983961
1,low_100_700,2,3,0.0718429,0.4014999187288315,log(sqrt(1.1841365)),0.0845069084894609,ok,0.25881287134992365,0.2132081897383021,0.5185604857373124,-1.6727449656726319
1,low_100_700,3,4,0.057302665,0.2261346584247355,k0_prime + sqrt(0.23044801),k0_prime + 0.480050007811686,ok,0.24791988599752612,0.20276675739636896,0.4610860698453874,-1.4524971156405826
1,low_100_700,4,5,0.03848718,0.3980219334094941,lambda_var + sqrt(sqrt(h)),h**(1/4) + lambda_var,ok,0.20296638566838346,0.16548778981425696,0.39730839513101646,-0.643743370960673
2,mid_700_1300,1,2,4.749747,0.0,log(0.23044801),-1.46772999513171,ok,2.139915585469223,2.137916450818951,2.429556247117311,-534.4605853150416
2,mid_700_1300,2,3,0.13372888,3.5700321656867504,1.4683785 / alpha_infinity,1.4683785/alpha_infinity,ok,0.41556147017721917,0.3374376301097495,1.0656051846760133,-19.193182618382533
2,mid_700_1300,3,5,0.06276747,0.3781887605634885,phi / log(log(f)),phi/log(log(f)),ok,0.216301399958087,0.19558196334346348,0.4941899770085361,-4.470825787853675
2,mid_700_1300,4,6,0.0154759055,1.4001526150479084,(-0.9174743 / -2.362398) / log(1.8778381),0.616334916365013,ok,0.10701378667798199,0.08509718510231869,0.345491335620588,-0.33910209165942695
2,mid_700_1300,5,8,0.010384784,0.1994713363542566,(h - -0.5644506) / sqrt(h - -0.5644506),sqrt(h + 0.5644506),ok,0.1368085825827457,0.11399045412119878,0.41796492817398867,-1.1885723670481179
3,high_1300_2000,1,3,0.006103869,0.0,lambda_var + 0.85020757,lambda_var + 0.85020757,ok,0.08425039809852616,0.07182447397142347,0.19212182630747598,-0.04682532859719912
