complexity,loss,equation,score,sympy_format,lambda_format
1,0.007111546,0.8370233,0.0,0.837023300000000,PySRFunction(X=>0.837023300000000)
3,0.0071110902,0.83713555 - lambda_var,3.204750467820163e-05,0.83713555 - lambda_var,PySRFunction(X=>0.83713555 - lambda_var)
4,0.0070894505,0.84662247 - sqrt(lambda_var),0.0030477313797391773,0.84662247 - sqrt(lambda_var),PySRFunction(X=>0.84662247 - sqrt(lambda_var))
5,0.004643042,(f / sigma) + 0.798138,0.4232380791420071,f/sigma + 0.798138,PySRFunction(X=>f/sigma + 0.798138)
6,0.0022147032,(log(sigma) * -0.14060357) + 2.3542168,0.7402513558388081,2.3542168 - 0.14060357*log(sigma),PySRFunction(X=>2.3542168 - 0.14060357*log(sigma))
7,0.0020997794,sqrt(sqrt(f / sigma)) + 0.40468156,0.05328610744113227,(f/sigma)**(1/4) + 0.40468156,PySRFunction(X=>(f/sigma)**(1/4) + 0.40468156)
8,0.0019134897,sqrt(log(f / sqrt(sigma))) * 0.59294474,0.09290364852968533,0.59294474*sqrt(log(f/sqrt(sigma))),PySRFunction(X=>0.59294474*sqrt(log(f/sqrt(sigma))))
9,0.0017172861,(log(f / sqrt(sigma)) + 1.1805669) * 0.2625491,0.10818344718904033,0.2625491*log(f/sqrt(sigma)) + 0.30995677708479,PySRFunction(X=>0.2625491*log(f/sqrt(sigma)) + 0.30995677708479)
10,0.0016513084,(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * 0.25780317,0.03917725249861982,0.25780317*sqrt(alpha_infinity) + 0.25780317*log(f/sqrt(sigma)),PySRFunction(X=>0.25780317*sqrt(alpha_infinity) + 0.25780317*log(f/sqrt(sigma)))
11,0.0014093084,(sqrt(sqrt(alpha_infinity)) + log(f / sqrt(sigma))) * 0.26838857,0.15846885577165615,0.26838857*alpha_infinity**(1/4) + 0.26838857*log(f/sqrt(sigma)),PySRFunction(X=>0.26838857*alpha_infinity**(1/4) + 0.26838857*log(f/sqrt(sigma)))
13,0.0014066206,0.27102056 * (log(f / sqrt(sigma)) + sqrt(sqrt(-0.15894955 + alpha_infinity))),0.0009544987875249219,0.27102056*(alpha_infinity - 0.15894955)**(1/4) + 0.27102056*log(f/sqrt(sigma)),PySRFunction(X=>0.27102056*(alpha_infinity - 0.15894955)**(1/4) + 0.27102056*log(f/sqrt(sigma)))
16,0.00139408,((alpha_infinity * 0.017990293) + 0.2425062) * (log(f / sqrt(sigma)) + sqrt(h - -1.1534665)),0.002985130175850335,(0.017990293*alpha_infinity + 0.2425062)*(sqrt(h + 1.1534665) + log(f/sqrt(sigma))),PySRFunction(X=>(0.017990293*alpha_infinity + 0.2425062)*(sqrt(h + 1.1534665) + log(f/sqrt(sigma))))
18,0.001343287,(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * (((sqrt(sqrt(sigma)) * -0.0009717428) * alpha_infinity) + 0.28024518),0.018557552060166616,(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.0009717428*alpha_infinity*sigma**(1/4) + 0.28024518),PySRFunction(X=>(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.0009717428*alpha_infinity*sigma**(1/4) + 0.28024518))
20,0.0013162773,(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * (((alpha_infinity * -0.009626004) * sqrt(sqrt(sigma * lambda_var))) + 0.2794902),0.010156035194401843,(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.009626004*alpha_infinity*(lambda_var*sigma)**(1/4) + 0.2794902),PySRFunction(X=>(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.009626004*alpha_infinity*(lambda_var*sigma)**(1/4) + 0.2794902))
21,0.0013044297,(sqrt(alpha_infinity) + log(f / sqrt(sigma))) * (((sqrt(sigma * sqrt(sqrt(k0_prime))) * alpha_infinity) * -0.00054192636) + 0.274475),0.009041591228651058,(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.00054192636*alpha_infinity*sqrt(k0_prime**(1/4)*sigma) + 0.274475),PySRFunction(X=>(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-0.00054192636*alpha_infinity*sqrt(k0_prime**(1/4)*sigma) + 0.274475))
22,0.0012267501,((alpha_infinity * ((f * sqrt(sqrt(sigma * lambda_var))) * -5.818711e-6)) + 0.2796926) * (sqrt(alpha_infinity) + log(f / sqrt(sigma))),0.06139745625897786,(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-5.818711e-6*alpha_infinity*f*(lambda_var*sigma)**(1/4) + 0.2796926),PySRFunction(X=>(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*(-5.818711e-6*alpha_infinity*f*(lambda_var*sigma)**(1/4) + 0.2796926))
24,0.0012267496,(((-5.818711e-6 * ((alpha_infinity * f) - h)) * sqrt(sqrt(sigma * lambda_var))) + 0.2796926) * (sqrt(alpha_infinity) + log(f / sqrt(sigma))),2.0379052823861798e-07,(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*((lambda_var*sigma)**(1/4)*(-5.818711e-6*alpha_infinity*f + 5.818711e-6*h) + 0.2796926),PySRFunction(X=>(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*((lambda_var*sigma)**(1/4)*(-5.818711e-6*alpha_infinity*f + 5.818711e-6*h) + 0.2796926))
