complexity,loss,equation,score,sympy_format,lambda_format
1,0.024951994,0.28693277,0.0,0.286932770000000,PySRFunction(X=>0.286932770000000)
3,0.0027705368,f * 0.00076173025,1.0989563234028983,f*0.00076173025,PySRFunction(X=>f*0.00076173025)
5,0.0023921288,(f * 0.00086377945) - 0.047478054,0.07342870562270533,f*0.00086377945 - 1*0.047478054,PySRFunction(X=>f*0.00086377945 - 1*0.047478054)
6,0.0021727798,(sqrt(sigma) * 3.2803384e-6) * f,0.0961763192134957,3.2803384e-6*f*sqrt(sigma),PySRFunction(X=>3.2803384e-6*f*sqrt(sigma))
7,0.0012152906,f * (0.00054301776 - (sigma * -4.028181e-9)),0.5810241364300874,f*(0.00054301776 - (-4.028181e-9)*sigma),PySRFunction(X=>f*(0.00054301776 - (-4.028181e-9)*sigma))
8,0.0011005733,f * (0.0003434817 - (sqrt(sigma) * -1.842639e-6)),0.09915199929456224,f*(1.842639e-6*sqrt(sigma) + 0.0003434817),PySRFunction(X=>f*(1.842639e-6*sqrt(sigma) + 0.0003434817))
9,0.0010581749,(f * 0.00094667386) - (sqrt(f) / sqrt(sigma)),0.039285594171571646,-sqrt(f)/sqrt(sigma) + 0.00094667386*f,PySRFunction(X=>-sqrt(f)/sqrt(sigma) + 0.00094667386*f)
10,0.0006014632,(f * 0.00086543703) - ((33.90888 / sqrt(sigma)) + -0.11159766),0.5649355575042392,0.00086543703*f + 0.11159766 - 33.90888/sqrt(sigma),PySRFunction(X=>0.00086543703*f + 0.11159766 - 33.90888/sqrt(sigma))
11,0.00059774984,(f * 0.0008632835) - ((4.8664975 / sqrt(sqrt(sigma))) + -0.2831291),0.0061930144927927555,0.0008632835*f + 0.2831291 - 4.8664975/sigma**(1/4),PySRFunction(X=>0.0008632835*f + 0.2831291 - 4.8664975/sigma**(1/4))
12,0.00059502135,((f * 0.0008654221) - -0.11031907) + (-33.63608 / sqrt(sigma - f)),0.0045750514131527725,0.0008654221*f + 0.11031907 - 33.63608/sqrt(-f + sigma),PySRFunction(X=>0.0008654221*f + 0.11031907 - 33.63608/sqrt(-f + sigma))
13,0.00057864113,(f * 0.0008828275) - ((25.655838 / (sqrt(sigma) - sqrt(f))) + -0.07816126),0.027914811860725863,0.0008828275*f + 0.07816126 - 25.655838/(-sqrt(f) + sqrt(sigma)),PySRFunction(X=>0.0008828275*f + 0.07816126 - 25.655838/(-sqrt(f) + sqrt(sigma)))
15,0.00056895433,(0.08569231 + (f * 0.00088455767)) - (27.209833 / (sqrt(sigma - 0.88397425) - sqrt(f))),0.008441154054720613,0.00088455767*f + 0.08569231 - 27.209833/(-sqrt(f) + sqrt(sigma - 0.88397425)),PySRFunction(X=>0.00088455767*f + 0.08569231 - 27.209833/(-sqrt(f) + sqrt(sigma - 0.88397425)))
16,0.0005687996,((f * 0.00088455767) + 0.08569231) - (27.209833 / (sqrt(sigma - sqrt(f)) - sqrt(f))),0.0002719920307440021,0.00088455767*f + 0.08569231 - 27.209833/(-sqrt(f) + sqrt(-sqrt(f) + sigma)),PySRFunction(X=>0.00088455767*f + 0.08569231 - 27.209833/(-sqrt(f) + sqrt(-sqrt(f) + sigma)))
17,0.0005608368,(f * 0.0008858651) - ((27.888323 / ((alpha_infinity + sqrt(sigma - f)) - sqrt(f))) + -0.0884005),0.01409822114437387,0.0008858651*f + 0.0884005 - 27.888323/(alpha_infinity - sqrt(f) + sqrt(-f + sigma)),PySRFunction(X=>0.0008858651*f + 0.0884005 - 27.888323/(alpha_infinity - sqrt(f) + sqrt(-f + sigma)))
22,0.00054444803,(f * 0.00088849757) - (-0.24966827 + (4.541272 / sqrt(sqrt(sigma) + (9.983915 - (f / ((sigma / f) - log(sigma))))))),0.005931492330886207,0.00088849757*f + 0.24966827 - 4.541272/sqrt(-f/(-log(sigma) + sigma/f) + sqrt(sigma) + 9.983915),PySRFunction(X=>0.00088849757*f + 0.24966827 - 4.541272/sqrt(-f/(-log(sigma) + sigma/f) + sqrt(sigma) + 9.983915))
24,0.00054212747,(f * 0.00088849757) - ((4.541272 / sqrt((sqrt(sigma - f) + 9.983915) - (f / ((sigma / f) - log(sigma))))) + -0.24966827),0.0021356670825734628,0.00088849757*f + 0.24966827 - 4.541272/sqrt(-f/(-log(sigma) + sigma/f) + sqrt(-f + sigma) + 9.983915),PySRFunction(X=>0.00088849757*f + 0.24966827 - 4.541272/sqrt(-f/(-log(sigma) + sigma/f) + sqrt(-f + sigma) + 9.983915))
