Complexity,Loss,Equation
1,0.007111546,"0.8370233"
3,0.0071110902,"0.83713555 - lambda_var"
4,0.0070894505,"0.84662247 - sqrt(lambda_var)"
5,0.004643042,"(f / sigma) + 0.798138"
6,0.0022147032,"(log(sigma) * -0.14060357) + 2.3542168"
7,0.0020997794,"sqrt(sqrt(f / sigma)) + 0.40468156"
8,0.0019134897,"sqrt(log(f / sqrt(sigma))) * 0.59294474"
9,0.0017172861,"(log(f / sqrt(sigma)) + 1.1805669) * 0.2625491"
10,0.0016513084,"(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * 0.25780317"
11,0.0014093084,"(sqrt(sqrt(alpha_infinity)) + log(f / sqrt(sigma))) * 0.26838857"
13,0.0014066206,"0.27102056 * (log(f / sqrt(sigma)) + sqrt(sqrt(-0.15894955 + alpha_infinity)))"
16,0.00139408,"((alpha_infinity * 0.017990293) + 0.2425062) * (log(f / sqrt(sigma)) + sqrt(h - -1.1534665))"
18,0.001343287,"(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * (((sqrt(sqrt(sigma)) * -0.0009717428) * alpha_infinity) + 0.28024518)"
20,0.0013162773,"(log(f / sqrt(sigma)) + sqrt(alpha_infinity)) * (((alpha_infinity * -0.009626004) * sqrt(sqrt(sigma * lambda_var))) + 0.2794902)"
21,0.0013044297,"(sqrt(alpha_infinity) + log(f / sqrt(sigma))) * (((sqrt(sigma * sqrt(sqrt(k0_prime))) * alpha_infinity) * -0.00054192636) + 0.274475)"
22,0.0012267501,"((alpha_infinity * ((f * sqrt(sqrt(sigma * lambda_var))) * -5.818711e-6)) + 0.2796926) * (sqrt(alpha_infinity) + log(f / sqrt(sigma)))"
24,0.0012267496,"(((-5.818711e-6 * ((alpha_infinity * f) - h)) * sqrt(sqrt(sigma * lambda_var))) + 0.2796926) * (sqrt(alpha_infinity) + log(f / sqrt(sigma)))"
