complexity,loss,equation,score,sympy_format,lambda_format
1,0.0064465227,0.8161796,0.0,0.816179600000000,PySRFunction(X=>0.816179600000000)
3,0.0064457604,0.81627417 - lambda_var,5.912839448028001e-05,0.81627417 - lambda_var,PySRFunction(X=>0.81627417 - lambda_var)
4,0.006407351,0.82576203 - sqrt(lambda_var),0.005976687377726719,0.82576203 - sqrt(lambda_var),PySRFunction(X=>0.82576203 - sqrt(lambda_var))
5,0.0041418117,phi - (sigma * 2.8136515e-6),0.43631262417637595,phi - 2.8136515e-6*sigma,PySRFunction(X=>phi - 2.8136515e-6*sigma)
7,0.0018065937,(h - -0.9324982) - (sigma * 2.8136515e-6),0.41484508114806984,h - 2.8136515e-6*sigma - 1*(-0.9324982),PySRFunction(X=>h - 2.8136515e-6*sigma - 1*(-0.9324982))
8,0.001777219,sqrt(2.8136515e-6 - -0.9324982) - (2.8136515e-6 * sigma),0.016393355516940426,0.965660920640108 - 2.8136515e-6*sigma,PySRFunction(X=>0.965660920640108 - 2.8136515e-6*sigma)
9,0.001523459,((alpha_infinity * h) - -0.9324982) - (2.8136515e-6 * sigma),0.1540663756319775,alpha_infinity*h - 2.8136515e-6*sigma - 1*(-0.9324982),PySRFunction(X=>alpha_infinity*h - 2.8136515e-6*sigma - 1*(-0.9324982))
11,0.0014235753,((alpha_infinity * h) - (lambda_var - phi)) - (sigma * 2.8136515e-6),0.0339059416204983,alpha_infinity*h - 2.8136515e-6*sigma - (lambda_var - phi),PySRFunction(X=>alpha_infinity*h - 2.8136515e-6*sigma - (lambda_var - phi))
13,0.0013225942,(((h * alpha_infinity) * 1.4924401) - (lambda_var - phi)) - (sigma * 3.1562913e-6),0.036788206588464975,h*alpha_infinity*1.4924401 - 3.1562913e-6*sigma - (lambda_var - phi),PySRFunction(X=>h*alpha_infinity*1.4924401 - 3.1562913e-6*sigma - (lambda_var - phi))
15,0.0012769859,(((h * (alpha_infinity * 1.7319634)) - (lambda_var - phi)) - (sigma * 3.1246077e-6)) - 0.015919063,0.01754628773060517,h*alpha_infinity*1.7319634 - 3.1246077e-6*sigma - (lambda_var - phi) - 1*0.015919063,PySRFunction(X=>h*alpha_infinity*1.7319634 - 3.1246077e-6*sigma - (lambda_var - phi) - 1*0.015919063)
17,0.0012673367,(((alpha_infinity * 1.3827366) * (h * 1.2544595)) - (lambda_var - phi)) - ((sigma * 2.8816592e-6) - -0.02712638),0.0037924617973703087,alpha_infinity*1.3827366*h*1.2544595 - (lambda_var - phi) - (sigma*2.8816592e-6 - 1*(-0.02712638)),PySRFunction(X=>alpha_infinity*1.3827366*h*1.2544595 - (lambda_var - phi) - (sigma*2.8816592e-6 - 1*(-0.02712638)))
19,0.0012371563,sqrt(log(sqrt(((alpha_infinity + alpha_infinity) * (log(5.022858 / sigma) - -9.972886)) - -9.026931) + -1.4614862)) + 0.01605909,0.012051086190188178,sqrt(log(sqrt(2*alpha_infinity*(log(5.022858/sigma) + 9.972886) + 9.026931) - 1.4614862)) + 0.01605909,PySRFunction(X=>sqrt(log(sqrt(2*alpha_infinity*(log(5.022858/sigma) + 9.972886) + 9.026931) - 1.4614862)) + 0.01605909)
20,0.0012199653,((((sqrt(lambda_prime) * 0.06081321) - (h * -0.9728681)) * alpha_infinity) * (2.6120157 - lambda_prime)) - ((sigma * 2.9527232e-6) - 0.8548394),0.013993023793088318,alpha_infinity*(2.6120157 - lambda_prime)*(0.9728681*h + 0.06081321*sqrt(lambda_prime)) - 2.9527232e-6*sigma + 0.8548394,PySRFunction(X=>alpha_infinity*(2.6120157 - lambda_prime)*(0.9728681*h + 0.06081321*sqrt(lambda_prime)) - 2.9527232e-6*sigma + 0.8548394)
21,0.0010589561,(((((sigma * -4.2841975e-6) - -0.47954416) * alpha_infinity) * (phi * 0.29426682)) - (lambda_var - phi)) - ((sigma * 1.1436847e-6) - -0.14513366),0.14153880415977244,(sigma*(-4.2841975e-6) - 1*(-0.47954416))*alpha_infinity*phi*0.29426682 - (lambda_var - phi) - (sigma*1.1436847e-6 - 1*(-0.14513366)),PySRFunction(X=>(sigma*(-4.2841975e-6) - 1*(-0.47954416))*alpha_infinity*phi*0.29426682 - (lambda_var - phi) - (sigma*1.1436847e-6 - 1*(-0.14513366)))
