Complexity,Loss,Equation
1,0.024951994,"0.28693137"
3,0.0027705368,"f * 0.0007617214"
5,0.0023921288,"(f * 0.0008637735) - 0.047475617"
7,0.002391891,"((0.0008637735 * f) - 0.047475617) + lambda_prime"
9,0.0023554494,"(0.000975101 / (lambda_var + (1.0550473 / f))) - 0.056680456"
10,0.000679495,"(0.0024122219 / (2.8126113 / (sqrt(sigma) + f))) - 0.23970343"
12,0.0006784283,"(0.0031170433 / (3.6344182 / ((sqrt(sigma) + f) + alpha_infinity))) - 0.23976631"
13,0.0006681181,"sqrt(lambda_prime) + ((0.001890216 / (2.2035015 / (f + sqrt(sigma)))) - 0.25327086)"
15,0.00066637597,"sqrt(lambda_prime / 0.42119908) + ((0.0016511579 / (1.9245641 / (f + sqrt(sigma)))) - 0.26062012)"
17,0.0006525634,"((lambda_prime * (alpha_infinity * sqrt(f))) + (0.0016371824 / (1.9245038 / (sqrt(sigma) + f)))) + -0.24095054"
19,0.00062285824,"((((alpha_infinity * 0.0011495308) * sqrt(f)) + (0.0015658699 / (1.9246836 / (f + sqrt(sigma))))) - 0.25644755) + 0.009806352"
21,0.0006226432,"(alpha_infinity * (sqrt(f) * 0.0011495766)) + ((((0.0010620331 / (1.3053802 / (f + sqrt(sigma)))) - 0.20542338) - lambda_var) + -0.041130584)"
23,0.00060399185,"((((alpha_infinity * 0.0026176271) * sqrt(f)) + (0.0014587638 / (1.9250189 / (sqrt(sigma) + f)))) + -0.2039074) - ((alpha_infinity * 0.033530533) + k0_prime)"
