complexity,loss,equation,score,sympy_format,lambda_format
1,0.0046172002,0.7357409,0.0,0.735740900000000,PySRFunction(X=>0.735740900000000)
3,0.004561853,f * 0.00064335973,0.00602980172060956,f*0.00064335973,PySRFunction(X=>f*0.00064335973)
4,0.0038102693,sqrt(f) * 0.021803344,0.1800290315782721,0.021803344*sqrt(f),PySRFunction(X=>0.021803344*sqrt(f))
5,0.0032303475,0.8230688 - (sigma * 1.6068096e-6),0.16511015246840563,0.8230688 - 1.6068096e-6*sigma,PySRFunction(X=>0.8230688 - 1.6068096e-6*sigma)
7,0.0031100074,((sigma * -1.3990558e-9) + 0.0007187619) * f,0.018982305488742086,f*(0.0007187619 + sigma*(-1.3990558e-9)),PySRFunction(X=>f*(0.0007187619 + sigma*(-1.3990558e-9)))
8,0.0024271612,(sqrt(f) - (sigma * 6.719197e-5)) * 0.024437461,0.24790276162286531,0.024437461*sqrt(f) - 1.64200114638817e-6*sigma,PySRFunction(X=>0.024437461*sqrt(f) - 1.64200114638817e-6*sigma)
9,0.0023125657,((0.14370327 - (sigma * 1.0999353e-6)) * alpha_infinity) + 0.6059307,0.04836474317499378,alpha_infinity*(0.14370327 - 1.0999353e-6*sigma) + 0.6059307,PySRFunction(X=>alpha_infinity*(0.14370327 - 1.0999353e-6*sigma) + 0.6059307)
11,0.00164072,(alpha_infinity * ((sigma * -1.1455813e-6) - (f * -0.00013707853))) + 0.59020346,0.1716112154641672,alpha_infinity*(-(-0.00013707853)*f + sigma*(-1.1455813e-6)) + 0.59020346,PySRFunction(X=>alpha_infinity*(-(-0.00013707853)*f + sigma*(-1.1455813e-6)) + 0.59020346)
12,0.0015432658,((0.1400635 - (sigma * 1.1006952e-6)) * alpha_infinity) + (sqrt(f) * 0.018130932),0.06123434951007278,alpha_infinity*(0.1400635 - 1.1006952e-6*sigma) + 0.018130932*sqrt(f),PySRFunction(X=>alpha_infinity*(0.1400635 - 1.1006952e-6*sigma) + 0.018130932*sqrt(f))
13,0.001519528,((f * 0.00032486304) + (alpha_infinity * (0.14279556 - (sigma * 1.1011639e-6)))) + 0.23698495,0.01550106005415164,alpha_infinity*(0.14279556 - 1.1011639e-6*sigma) + f*0.00032486304 + 0.23698495,PySRFunction(X=>alpha_infinity*(0.14279556 - 1.1011639e-6*sigma) + f*0.00032486304 + 0.23698495)
14,0.0013785687,(sqrt(f) * 0.018113937) + ((0.11608437 - (sigma * (sigma * 1.0155271e-11))) * alpha_infinity),0.09735397330010474,alpha_infinity*(0.11608437 - 1.0155271e-11*sigma**2) + 0.018113937*sqrt(f),PySRFunction(X=>alpha_infinity*(0.11608437 - 1.0155271e-11*sigma**2) + 0.018113937*sqrt(f))
15,0.0013533137,(f * 0.0003258361) + ((alpha_infinity * (0.11951702 - ((sigma * sigma) * 1.0331418e-11))) + 0.23512915),0.01848960956787516,alpha_infinity*(0.11951702 - 1.0331418e-11*sigma*sigma) + f*0.0003258361 + 0.23512915,PySRFunction(X=>alpha_infinity*(0.11951702 - 1.0331418e-11*sigma*sigma) + f*0.0003258361 + 0.23512915)
17,0.0013377274,(alpha_infinity * (0.12315617 - (sigma * (1.0937436e-11 * sigma)))) + sqrt((0.00032766478 * f) - sqrt(lambda_var)),0.00579198671153114,alpha_infinity*(0.12315617 - 1.0937436e-11*sigma**2) + sqrt(0.00032766478*f - sqrt(lambda_var)),PySRFunction(X=>alpha_infinity*(0.12315617 - 1.0937436e-11*sigma**2) + sqrt(0.00032766478*f - sqrt(lambda_var)))
18,0.0012769339,(f * 0.00026598602) + ((0.3818487 - sqrt(lambda_var / 0.016662223)) + (alpha_infinity * (0.1397624 - (sigma * 1.0996359e-6)))),0.04651039025941875,alpha_infinity*(0.1397624 - 1.0996359e-6*sigma) + 0.00026598602*f - 7.74699951376731*sqrt(lambda_var) + 0.3818487,PySRFunction(X=>alpha_infinity*(0.1397624 - 1.0996359e-6*sigma) + 0.00026598602*f - 7.74699951376731*sqrt(lambda_var) + 0.3818487)
19,0.0012494869,((f * 0.00032585414) + (((0.14382061 - (sigma * 1.095362e-6)) * alpha_infinity) + 0.28040874)) - ((lambda_var / 0.06729675) / h),0.021728826724421942,alpha_infinity*(0.14382061 - 1.095362e-6*sigma) + f*0.00032585414 + 0.28040874 - lambda_var/(0.06729675*h),PySRFunction(X=>alpha_infinity*(0.14382061 - 1.095362e-6*sigma) + f*0.00032585414 + 0.28040874 - lambda_var/(0.06729675*h))
20,0.001110767,((f * 0.00035354475) + (0.260369 - sqrt(lambda_var / 0.02319787))) + (alpha_infinity * (0.121990345 - ((sigma * 1.0190168e-11) * sigma))),0.11768221935335561,alpha_infinity*(0.121990345 - 1.0190168e-11*sigma**2) + 0.00035354475*f - 6.56562304596219*sqrt(lambda_var) + 0.260369,PySRFunction(X=>alpha_infinity*(0.121990345 - 1.0190168e-11*sigma**2) + 0.00035354475*f - 6.56562304596219*sqrt(lambda_var) + 0.260369)
21,0.0010895488,(f * 0.00032702668) + ((((0.12340017 - ((sigma * sigma) * 1.0937436e-11)) * alpha_infinity) + 0.2786255) - ((lambda_var / 0.065952584) / h)),0.01928710210281671,alpha_infinity*(0.12340017 - 1.0937436e-11*sigma*sigma) + f*0.00032702668 + 0.2786255 - lambda_var/(0.065952584*h),PySRFunction(X=>alpha_infinity*(0.12340017 - 1.0937436e-11*sigma*sigma) + f*0.00032702668 + 0.2786255 - lambda_var/(0.065952584*h))
23,0.0010888315,(alpha_infinity * (0.12325811 - ((sigma * sigma) * 1.0904292e-11))) + (((f * 0.00032641113) - -0.08599186) + (0.19560811 - ((lambda_var / 0.06204344) / h))),0.00032928135914776194,alpha_infinity*(0.12325811 - 1.0904292e-11*sigma*sigma) + f*0.00032641113 - 1*(-0.08599186) + 0.19560811 - lambda_var/(0.06204344*h),PySRFunction(X=>alpha_infinity*(0.12325811 - 1.0904292e-11*sigma*sigma) + f*0.00032641113 - 1*(-0.08599186) + 0.19560811 - lambda_var/(0.06204344*h))
25,0.001085873,((0.121150374 - ((k0_prime + (1.0937436e-11 * sigma)) * sigma)) * alpha_infinity) + (0.25606474 + ((((3.9804494e-5 - lambda_var) / 0.06513197) / h) + (f * 0.00033265396))),0.0013604155530686519,alpha_infinity*(0.121150374 - sigma*(k0_prime + 1.0937436e-11*sigma)) + f*0.00033265396 + 0.25606474 + (3.9804494e-5 - lambda_var)/(0.06513197*h),PySRFunction(X=>alpha_infinity*(0.121150374 - sigma*(k0_prime + 1.0937436e-11*sigma)) + f*0.00033265396 + 0.25606474 + (3.9804494e-5 - lambda_var)/(0.06513197*h))
27,0.0010827067,((f * 0.00032550344) + ((0.118013375 - (((sigma * 9.554662e-12) + k0_prime) * sigma)) * alpha_infinity)) + (((-0.0059109917 - (lambda_var / 0.06469649)) / (h - lambda_prime)) + 0.48108006),0.0014600811074692843,alpha_infinity*(0.118013375 - sigma*(k0_prime + sigma*9.554662e-12)) + f*0.00032550344 + 0.48108006 + (-lambda_var/0.06469649 - 0.0059109917)/(h - lambda_prime),PySRFunction(X=>alpha_infinity*(0.118013375 - sigma*(k0_prime + sigma*9.554662e-12)) + f*0.00032550344 + 0.48108006 + (-lambda_var/0.06469649 - 0.0059109917)/(h - lambda_prime))
