Complexity,Loss,Equation
1,0.0046172002,"0.7357409"
3,0.004561853,"f * 0.00064335973"
4,0.0038102693,"sqrt(f) * 0.021803344"
5,0.0032303475,"0.8230688 - (sigma * 1.6068096e-6)"
7,0.0031100074,"((sigma * -1.3990558e-9) + 0.0007187619) * f"
8,0.0024271612,"(sqrt(f) - (sigma * 6.719197e-5)) * 0.024437461"
9,0.0023125657,"((0.14370327 - (sigma * 1.0999353e-6)) * alpha_infinity) + 0.6059307"
11,0.00164072,"(alpha_infinity * ((sigma * -1.1455813e-6) - (f * -0.00013707853))) + 0.59020346"
12,0.0015432658,"((0.1400635 - (sigma * 1.1006952e-6)) * alpha_infinity) + (sqrt(f) * 0.018130932)"
13,0.001519528,"((f * 0.00032486304) + (alpha_infinity * (0.14279556 - (sigma * 1.1011639e-6)))) + 0.23698495"
14,0.0013785687,"(sqrt(f) * 0.018113937) + ((0.11608437 - (sigma * (sigma * 1.0155271e-11))) * alpha_infinity)"
15,0.0013533137,"(f * 0.0003258361) + ((alpha_infinity * (0.11951702 - ((sigma * sigma) * 1.0331418e-11))) + 0.23512915)"
17,0.0013377274,"(alpha_infinity * (0.12315617 - (sigma * (1.0937436e-11 * sigma)))) + sqrt((0.00032766478 * f) - sqrt(lambda_var))"
18,0.0012769339,"(f * 0.00026598602) + ((0.3818487 - sqrt(lambda_var / 0.016662223)) + (alpha_infinity * (0.1397624 - (sigma * 1.0996359e-6))))"
19,0.0012494869,"((f * 0.00032585414) + (((0.14382061 - (sigma * 1.095362e-6)) * alpha_infinity) + 0.28040874)) - ((lambda_var / 0.06729675) / h)"
20,0.001110767,"((f * 0.00035354475) + (0.260369 - sqrt(lambda_var / 0.02319787))) + (alpha_infinity * (0.121990345 - ((sigma * 1.0190168e-11) * sigma)))"
21,0.0010895488,"(f * 0.00032702668) + ((((0.12340017 - ((sigma * sigma) * 1.0937436e-11)) * alpha_infinity) + 0.2786255) - ((lambda_var / 0.065952584) / h))"
23,0.0010888315,"(alpha_infinity * (0.12325811 - ((sigma * sigma) * 1.0904292e-11))) + (((f * 0.00032641113) - -0.08599186) + (0.19560811 - ((lambda_var / 0.06204344) / h)))"
25,0.001085873,"((0.121150374 - ((k0_prime + (1.0937436e-11 * sigma)) * sigma)) * alpha_infinity) + (0.25606474 + ((((3.9804494e-5 - lambda_var) / 0.06513197) / h) + (f * 0.00033265396)))"
27,0.0010827067,"((f * 0.00032550344) + ((0.118013375 - (((sigma * 9.554662e-12) + k0_prime) * sigma)) * alpha_infinity)) + (((-0.0059109917 - (lambda_var / 0.06469649)) / (h - lambda_prime)) + 0.48108006)"
