Complexity,Loss,Equation
1,0.024772352,"0.28821903"
3,0.0026235108,"f * 0.0007643111"
5,0.0022722224,"(f * 0.00086262973) - 0.045742795"
6,0.0016447426,"log(sigma) * (f * 7.09782e-5)"
8,0.0011901496,"((f * 8.12599e-5) * log(sigma)) - 0.051796913"
10,0.00063851936,"(f * 0.000863811) - ((sqrt(sigma) * -0.0007845334) + 0.22567771)"
12,0.0005722483,"(((7.698558e-5 * f) + 0.045015395) * log(sigma)) - (0.5511205 - h)"
13,0.00055007555,"((f * 7.999264e-5) * log(sigma)) - ((sqrt(sigma) * -0.0004932589) + 0.15934032)"
14,0.00051993516,"(-1.0919312 - (log(f * sigma) * ((f * -3.721689e-5) + -0.068326816))) - k0_prime"
15,0.00049018,"(log(sigma * sqrt(sigma * alpha_infinity)) * (0.035679504 + (5.2632524e-5 * f))) - 0.63214576"
17,0.0004899906,"((((f * 5.2633055e-5) + 0.03567514) * log(sigma * sqrt(alpha_infinity * sigma))) - 0.63198) - lambda_var"
18,0.0004895274,"-0.60525286 - (((f * -5.4209682e-5) + -0.035063487) * log((sigma * sqrt(sigma)) * sqrt(alpha_infinity * 0.3843133)))"
19,0.0004848864,"((log(sigma * sqrt(alpha_infinity * sigma)) * ((f * 1.5788922e-6) + 0.0010682946)) - (0.018835157 + lambda_var)) / h"
22,0.00048459563,"(((((f * 1.5788922e-6) + 0.0010682946) * log(sqrt(sigma) * (sqrt(alpha_infinity) * sigma))) - (0.018835157 + lambda_var)) / h) + lambda_prime"
23,0.0004816086,"(log(sqrt(alpha_infinity * sigma) * sigma) * ((f * 5.263004e-5) + 0.05568478)) - ((lambda_var + 0.9243958) - ((sigma * -6.550089e-7) - lambda_var))"
27,0.0004807206,"(log(sigma * sqrt(alpha_infinity * sigma)) * ((f * 5.2636366e-5) + 0.052668203)) - (((lambda_var * 2.10881) - ((sigma * -5.616977e-7) - lambda_var)) + (h + 0.84993243))"
28,0.00047622708,"(log(sigma * sqrt(sqrt(alpha_infinity) * sigma)) * ((f * 5.2969546e-5) + 0.063944995)) - (h + (((lambda_var * 0.40707573) + 1.0093309) - ((sigma * -9.138066e-7) - lambda_var)))"
