complexity,loss,equation,score,sympy_format,lambda_format
1,0.0061449464,0.8133978,0.0,0.813397800000000,PySRFunction(X=>0.813397800000000)
3,0.006144559,0.81348795 - lambda_var,3.1522830864163495e-05,0.81348795 - lambda_var,PySRFunction(X=>0.81348795 - lambda_var)
4,0.0059289006,sqrt(f) * 0.021200234,0.035728175248012,0.021200234*sqrt(f),PySRFunction(X=>0.021200234*sqrt(f))
5,0.0016269884,0.9738786 - (sigma * 2.9277037e-6),1.293108101006622,0.9738786 - 2.9277037e-6*sigma,PySRFunction(X=>0.9738786 - 2.9277037e-6*sigma)
7,0.0016241233,0.97385645 - ((k0_prime + 2.9221592e-6) * sigma),0.000881268011096205,0.97385645 - sigma*(k0_prime + 2.9221592e-6),PySRFunction(X=>0.97385645 - sigma*(k0_prime + 2.9221592e-6))
8,0.0015557568,(sqrt(f) * 0.025298003) - (sigma * 2.8703284e-6),0.04300604716290321,0.025298003*sqrt(f) - 2.8703284e-6*sigma,PySRFunction(X=>0.025298003*sqrt(f) - 2.8703284e-6*sigma)
9,0.0014943933,sqrt(0.025298003 * sqrt(f)) - (sigma * 2.8703284e-6),0.040241810262169324,0.159053459566273*f**(1/4) - 2.8703284e-6*sigma,PySRFunction(X=>0.159053459566273*f**(1/4) - 2.8703284e-6*sigma)
10,0.0011369901,0.7601232 - ((-0.17406686 * sqrt(alpha_infinity)) + (sigma * 2.9487587e-6)),0.2733357974711984,0.17406686*sqrt(alpha_infinity) - 2.9487587e-6*sigma + 0.7601232,PySRFunction(X=>0.17406686*sqrt(alpha_infinity) - 2.9487587e-6*sigma + 0.7601232)
12,0.0010036238,0.5979115 - (sqrt(alpha_infinity) * ((lambda_var + -0.30616027) + (sigma * 2.3967802e-6))),0.06238362887509846,-sqrt(alpha_infinity)*(lambda_var + 2.3967802e-6*sigma - 0.30616027) + 0.5979115,PySRFunction(X=>-sqrt(alpha_infinity)*(lambda_var + 2.3967802e-6*sigma - 0.30616027) + 0.5979115)
14,0.0008056747,(0.013562676 * sqrt(f)) - (((sigma * 2.904221e-6) - 0.3436392) - (alpha_infinity * 0.0708197)),0.10984623290714061,0.0708197*alpha_infinity + 0.013562676*sqrt(f) - 2.904221e-6*sigma + 0.3436392,PySRFunction(X=>0.0708197*alpha_infinity + 0.013562676*sqrt(f) - 2.904221e-6*sigma + 0.3436392)
16,0.0008021386,(sqrt(f) * 0.013532621) - (((alpha_infinity * -0.071065776) + (sigma * (k0_prime + 2.9393648e-6))) - 0.3464373),0.0021993260669080344,0.071065776*alpha_infinity + 0.013532621*sqrt(f) - sigma*(k0_prime + 2.9393648e-6) + 0.3464373,PySRFunction(X=>0.071065776*alpha_infinity + 0.013532621*sqrt(f) - sigma*(k0_prime + 2.9393648e-6) + 0.3464373)
20,0.0008011657,(0.013562676 * sqrt(f)) - (((lambda_var + (lambda_var - 0.0708197)) * alpha_infinity) + ((sigma * (k0_prime + 2.904221e-6)) - 0.3436392)),0.00030340469972325667,-alpha_infinity*(2*lambda_var - 0.0708197) + 0.013562676*sqrt(f) - sigma*(k0_prime + 2.904221e-6) + 0.3436392,PySRFunction(X=>-alpha_infinity*(2*lambda_var - 0.0708197) + 0.013562676*sqrt(f) - sigma*(k0_prime + 2.904221e-6) + 0.3436392)
21,0.00080110296,(sqrt(f) * 0.013594702) - ((sigma * (k0_prime + 2.939492e-6)) + ((lambda_var - (alpha_infinity * 0.07112189)) - (0.34412944 - sqrt(k0_prime)))),7.83139577004861e-05,0.07112189*alpha_infinity + 0.013594702*sqrt(f) - sqrt(k0_prime) - lambda_var - sigma*(k0_prime + 2.939492e-6) + 0.34412944,PySRFunction(X=>0.07112189*alpha_infinity + 0.013594702*sqrt(f) - sqrt(k0_prime) - lambda_var - sigma*(k0_prime + 2.939492e-6) + 0.34412944)
22,0.00077389815,(sqrt(f) * 0.013865913) - (((k0_prime + 2.939616e-6) * sigma) + ((sqrt(lambda_var) - (alpha_infinity * 0.07083192)) - (0.34364712 - sqrt(k0_prime)))),0.03454920234990171,0.07083192*alpha_infinity + 0.013865913*sqrt(f) - sqrt(k0_prime) - sqrt(lambda_var) - sigma*(k0_prime + 2.939616e-6) + 0.34364712,PySRFunction(X=>0.07083192*alpha_infinity + 0.013865913*sqrt(f) - sqrt(k0_prime) - sqrt(lambda_var) - sigma*(k0_prime + 2.939616e-6) + 0.34364712)
