complexity,loss,equation,score,sympy_format,lambda_format
1,0.024772352,0.28821966,0.0,0.288219660000000,PySRFunction(X=>0.288219660000000)
3,0.0026235108,f * 0.00076434016,1.1226073858960492,f*0.00076434016,PySRFunction(X=>f*0.00076434016)
5,0.0022722224,-0.045744706 - (f * -0.0008626347),0.07187751869101897,-(-0.0008626347)*f - 0.045744706,PySRFunction(X=>-(-0.0008626347)*f - 0.045744706)
6,0.0016447426,log(sigma) * (f * 7.09782e-5),0.32317448558235495,7.09782e-5*f*log(sigma),PySRFunction(X=>7.09782e-5*f*log(sigma))
7,0.00095788646,f * ((-7.483005 / sigma) + 0.0009366781),0.5406099235902043,f*(0.0009366781 - 7.483005/sigma),PySRFunction(X=>f*(0.0009366781 - 7.483005/sigma))
9,0.00059927476,(f * ((-7.4994946 / sigma) + 0.001036402)) + -0.0462195,0.23450453121314965,f*(0.001036402 - 7.4994946/sigma) - 0.0462195,PySRFunction(X=>f*(0.001036402 - 7.4994946/sigma) - 0.0462195)
10,0.0005717207,(-33.979843 / sqrt(sigma)) + (0.11128994 - (f * -0.0008639939)),0.04706960535974223,0.0008639939*f + 0.11128994 - 33.979843/sqrt(sigma),PySRFunction(X=>0.0008639939*f + 0.11128994 - 33.979843/sqrt(sigma))
11,0.00056968105,(-4.8366075 / sqrt(sqrt(sigma))) + (0.28124622 - (f / -1160.0674)),0.003573942603554191,0.000862018879247878*f + 0.28124622 - 4.8366075/sigma**(1/4),PySRFunction(X=>0.000862018879247878*f + 0.28124622 - 4.8366075/sigma**(1/4))
12,0.00053957495,(f * 0.0006138037) + (-0.12714066 - (sqrt(f * sigma) * -4.067538e-5)),0.05429494283267301,0.0006138037*f + 4.067538e-5*sqrt(f*sigma) - 0.12714066,PySRFunction(X=>0.0006138037*f + 4.067538e-5*sqrt(f*sigma) - 0.12714066)
13,0.00050992036,(-0.29610568 - (sqrt(sqrt(sigma * f)) * -0.005350545)) + (f * 0.0006093752),0.056527143317631943,0.0006093752*f + 0.005350545*(f*sigma)**(1/4) - 0.29610568,PySRFunction(X=>0.0006093752*f + 0.005350545*(f*sigma)**(1/4) - 0.29610568)
15,0.0005081372,(sqrt(sqrt(f * sigma)) * 0.0053493176) + (((f + alpha_infinity) * 0.000609477) - 0.29700357),0.0017515334039661106,0.000609477*alpha_infinity + 0.000609477*f + 0.0053493176*(f*sigma)**(1/4) - 0.29700357,PySRFunction(X=>0.000609477*alpha_infinity + 0.000609477*f + 0.0053493176*(f*sigma)**(1/4) - 0.29700357)
16,0.0005036778,((f * 0.0006090763) + -0.30992308) - ((sqrt(sqrt(f * sigma)) * -0.0053569167) - sqrt(lambda_prime)),0.008814711927102216,0.0006090763*f + sqrt(lambda_prime) + 0.0053569167*(f*sigma)**(1/4) - 0.30992308,PySRFunction(X=>0.0006090763*f + sqrt(lambda_prime) + 0.0053569167*(f*sigma)**(1/4) - 0.30992308)
17,0.0004786163,((f * ((sqrt(k0_prime) / -1.2376691) + 0.0006665022)) + (sqrt(f * sigma) * 4.095238e-5)) - 0.12768163,0.05103754536431707,f*(0.0006665022 - 0.807970401781866*sqrt(k0_prime)) + 4.095238e-5*sqrt(f*sigma) - 0.12768163,PySRFunction(X=>f*(0.0006665022 - 0.807970401781866*sqrt(k0_prime)) + 4.095238e-5*sqrt(f*sigma) - 0.12768163)
