complexity,loss,equation,score,sympy_format,lambda_format
1,0.004311426,0.732996,0.0,0.732996000000000,PySRFunction(X=>0.732996000000000)
3,0.0043107644,0.7330782 - lambda_var,7.673224211086256e-05,0.7330782 - lambda_var,PySRFunction(X=>0.7330782 - lambda_var)
4,0.003564798,sqrt(f) * 0.021720838,0.19000785310919566,0.021720838*sqrt(f),PySRFunction(X=>0.021720838*sqrt(f))
5,0.002998864,(sigma * -1.5733807e-6) - -0.81954676,0.17287383998020633,sigma*(-1.5733807e-6) - 1*(-0.81954676),PySRFunction(X=>sigma*(-1.5733807e-6) - 1*(-0.81954676))
7,0.0027116938,((sigma / alpha_infinity) * -2.265224e-6) + 0.8174488,0.05033004609500252,0.8174488 + sigma*(-2.265224e-6)/alpha_infinity,PySRFunction(X=>0.8174488 + sigma*(-2.265224e-6)/alpha_infinity)
8,0.0022176919,sqrt(f) * (0.024319846 - (sigma * 4.7234685e-8)),0.20110648774663642,sqrt(f)*(0.024319846 - 4.7234685e-8*sigma),PySRFunction(X=>sqrt(f)*(0.024319846 - 4.7234685e-8*sigma))
9,0.0021719863,(((sigma * -1.0695667e-6) + 0.14054789) * alpha_infinity) - -0.60730404,0.020824875851323664,alpha_infinity*(0.14054789 + sigma*(-1.0695667e-6)) - 1*(-0.60730404),PySRFunction(X=>alpha_infinity*(0.14054789 + sigma*(-1.0695667e-6)) - 1*(-0.60730404))
10,0.0020948562,sqrt(f) * (0.024304515 - (sigma * (k0_prime + 4.184378e-8))),0.036157183100995506,sqrt(f)*(-sigma*(k0_prime + 4.184378e-8) + 0.024304515),PySRFunction(X=>sqrt(f)*(-sigma*(k0_prime + 4.184378e-8) + 0.024304515))
12,0.0019299963,(alpha_infinity * ((sqrt(sigma) * 0.0013839436) + (sigma * -4.1774847e-6))) - -0.5995639,0.040983412791822674,alpha_infinity*(0.0013839436*sqrt(sigma) - 4.1774847e-6*sigma) + 0.5995639,PySRFunction(X=>alpha_infinity*(0.0013839436*sqrt(sigma) - 4.1774847e-6*sigma) + 0.5995639)
14,0.0018256154,(((sigma * -2.3973637e-6) + 0.21254377) * (alpha_infinity + 1.1968967)) + (sqrt(sigma) * 0.0022405596),0.027800475071796987,0.0022405596*sqrt(sigma) + (0.21254377 - 2.3973637e-6*sigma)*(alpha_infinity + 1.1968967),PySRFunction(X=>0.0022405596*sqrt(sigma) + (0.21254377 - 2.3973637e-6*sigma)*(alpha_infinity + 1.1968967))
15,0.0012639224,(sqrt(sigma * f) * 6.605042e-5) + (((sigma * -5.3018257e-6) + 0.47278905) * sqrt(alpha_infinity)),0.3676972342379054,sqrt(alpha_infinity)*(0.47278905 - 5.3018257e-6*sigma) + 6.605042e-5*sqrt(f*sigma),PySRFunction(X=>sqrt(alpha_infinity)*(0.47278905 - 5.3018257e-6*sigma) + 6.605042e-5*sqrt(f*sigma))
16,0.001246524,((0.21584202 - (sigma * 2.5129473e-6)) * (alpha_infinity + 1.1249477)) + (sqrt(sigma * f) * 6.8221234e-5),0.013861023727939525,6.8221234e-5*sqrt(f*sigma) + (0.21584202 - 2.5129473e-6*sigma)*(alpha_infinity + 1.1249477),PySRFunction(X=>6.8221234e-5*sqrt(f*sigma) + (0.21584202 - 2.5129473e-6*sigma)*(alpha_infinity + 1.1249477))
17,0.0011924515,((alpha_infinity + 0.4332401) * ((sigma * -2.3069676e-6) + 0.20735514)) + (sqrt(sqrt(sigma) * f) * 0.0011409073),0.044347605613333396,0.0011409073*sqrt(f*sqrt(sigma)) + (0.20735514 - 2.3069676e-6*sigma)*(alpha_infinity + 0.4332401),PySRFunction(X=>0.0011409073*sqrt(f*sqrt(sigma)) + (0.20735514 - 2.3069676e-6*sigma)*(alpha_infinity + 0.4332401))
19,0.001132233,(sqrt(sqrt(sigma) * f) * 0.0013884923) + ((((sigma * -2.1684161e-6) + 0.20202442) * alpha_infinity) + (sigma * -1.7833349e-6)),0.025909741552111412,alpha_infinity*(0.20202442 - 2.1684161e-6*sigma) - 1.7833349e-6*sigma + 0.0013884923*sqrt(f*sqrt(sigma)),PySRFunction(X=>alpha_infinity*(0.20202442 - 2.1684161e-6*sigma) - 1.7833349e-6*sigma + 0.0013884923*sqrt(f*sqrt(sigma)))
25,0.001089845,((((sigma * -2.08291e-6) + 0.19744785) * ((1.2824763e-5 / sqrt(k0_prime)) + alpha_infinity)) - sqrt((sigma / f) / f)) + sqrt(sqrt(sigma * 7.6293245e-6)),0.006359384115827531,0.0525559053482146*sigma**(1/4) - sqrt(sigma/f**2) + (0.19744785 - 2.08291e-6*sigma)*(alpha_infinity + 1.2824763e-5/sqrt(k0_prime)),PySRFunction(X=>0.0525559053482146*sigma**(1/4) - sqrt(sigma/f**2) + (0.19744785 - 2.08291e-6*sigma)*(alpha_infinity + 1.2824763e-5/sqrt(k0_prime)))
27,0.001088773,(((((sigma * -2.08291e-6) + 0.19744785) * ((1.2824763e-5 / sqrt(k0_prime)) + alpha_infinity)) - sqrt((sigma / f) / f)) + sqrt(sqrt(sigma * 7.6293245e-6))) - lambda_var,0.0004920550947972976,-lambda_var + 0.0525559053482146*sigma**(1/4) - sqrt(sigma/f**2) + (0.19744785 - 2.08291e-6*sigma)*(alpha_infinity + 1.2824763e-5/sqrt(k0_prime)),PySRFunction(X=>-lambda_var + 0.0525559053482146*sigma**(1/4) - sqrt(sigma/f**2) + (0.19744785 - 2.08291e-6*sigma)*(alpha_infinity + 1.2824763e-5/sqrt(k0_prime)))
