complexity,loss,equation,score,sympy_format,lambda_format
1,0.0042110393,0.60880643,0.0,0.608806430000000,PySRFunction(X=>0.608806430000000)
3,0.0026060268,f * 0.00072362454,0.23994135961322344,f*0.00072362454,PySRFunction(X=>f*0.00072362454)
4,0.0024188142,sqrt(f / 2251.9778),0.07454934253050154,0.0210725914641032*sqrt(f),PySRFunction(X=>0.0210725914641032*sqrt(f))
5,0.0022627718,(f * 0.0005104115) + 0.18072109,0.06668689810607757,f*0.0005104115 + 0.18072109,PySRFunction(X=>f*0.0005104115 + 0.18072109)
6,0.0022584542,-0.24502048 - (sqrt(f) * -0.02952194),0.001909925012588702,0.02952194*sqrt(f) - 0.24502048,PySRFunction(X=>0.02952194*sqrt(f) - 0.24502048)
7,0.0019744246,log(log(alpha_infinity + (f / 174.97044))),0.13440358282802362,log(log(alpha_infinity + 0.00571525110184326*f)),PySRFunction(X=>log(log(alpha_infinity + 0.00571525110184326*f)))
9,0.0018980267,log(sqrt(alpha_infinity + (f / 119.02022))) + -0.46424288,0.019731123302236937,log(sqrt(alpha_infinity + 0.00840193372184995*f)) - 0.46424288,PySRFunction(X=>log(sqrt(alpha_infinity + 0.00840193372184995*f)) - 0.46424288)
11,0.0018954179,log(sqrt((f / 118.55953) + alpha_infinity) + -0.10229249) + -0.4303299,0.00068771280099258,log(sqrt(alpha_infinity + 0.00843458134491593*f) - 0.10229249) - 0.4303299,PySRFunction(X=>log(sqrt(alpha_infinity + 0.00843458134491593*f) - 0.10229249) - 0.4303299)
13,0.0016230912,log(log((alpha_infinity + (f / (sigma / -19.375374))) + (f / 162.06628))),0.07755343136794346,log(log(alpha_infinity + 0.00617031500938999*f - 19.375374*f/sigma)),PySRFunction(X=>log(log(alpha_infinity + 0.00617031500938999*f - 19.375374*f/sigma)))
15,0.0015664507,log(log(((f * -19.521463) / sigma) + ((alpha_infinity + (f / 122.52978)) * 0.80058956))),0.017760059854293065,log(log(0.80058956*alpha_infinity + 0.00653383659058231*f - 19.521463*f/sigma)),PySRFunction(X=>log(log(0.80058956*alpha_infinity + 0.00653383659058231*f - 19.521463*f/sigma)))
16,0.0015587925,sqrt(log(log(((f * -12.75986) / sigma) + (((f / 113.12893) + alpha_infinity) * 0.5101295)))),0.004900876404279514,sqrt(log(log(0.5101295*alpha_infinity + 0.00450927539047704*f - 12.75986*f/sigma))),PySRFunction(X=>sqrt(log(log(0.5101295*alpha_infinity + 0.00450927539047704*f - 12.75986*f/sigma))))
18,0.0015224353,sqrt(log(log((((f / 113.128334) + alpha_infinity) * 0.5341965) + ((f * -14.530837) / sigma))) / 1.0790757),0.011800129636716793,0.962662476142878*sqrt(log(log(0.5341965*alpha_infinity + 0.00472203983840158*f - 14.530837*f/sigma))),PySRFunction(X=>0.962662476142878*sqrt(log(log(0.5341965*alpha_infinity + 0.00472203983840158*f - 14.530837*f/sigma))))
20,0.0015218274,sqrt(log(log((f * (-14.530836 / sigma)) + (((f / 113.128334) + alpha_infinity) * 0.5341098))) / 1.0790876) - lambda_var,0.00019968710587293755,-lambda_var + 0.962657168086772*sqrt(log(log(0.5341098*alpha_infinity + 0.0047212734521486*f - 14.530836*f/sigma))),PySRFunction(X=>-lambda_var + 0.962657168086772*sqrt(log(log(0.5341098*alpha_infinity + 0.0047212734521486*f - 14.530836*f/sigma))))
23,0.0014489396,(sqrt(lambda_prime / k0_prime) / sigma) + sqrt(log(log((f * (-14.048958 / sigma)) + ((alpha_infinity + (f / 113.13072)) * 0.5082546)))),0.016359957014160504,sqrt(log(log(0.5082546*alpha_infinity + 0.00449263117922347*f - 14.048958*f/sigma))) + sqrt(lambda_prime/k0_prime)/sigma,PySRFunction(X=>sqrt(log(log(0.5082546*alpha_infinity + 0.00449263117922347*f - 14.048958*f/sigma))) + sqrt(lambda_prime/k0_prime)/sigma)
24,0.0013915299,sqrt(((lambda_prime / sqrt(k0_prime)) / sqrt(sigma)) + log(log((f * (-14.020157 / sigma)) + ((alpha_infinity + (f / 113.12864)) * 0.5020808)))),0.04042818919354287,sqrt(log(log(0.5020808*alpha_infinity + 0.00443814050977719*f - 14.020157*f/sigma)) + lambda_prime/(sqrt(k0_prime)*sqrt(sigma))),PySRFunction(X=>sqrt(log(log(0.5020808*alpha_infinity + 0.00443814050977719*f - 14.020157*f/sigma)) + lambda_prime/(sqrt(k0_prime)*sqrt(sigma))))
26,0.0013528926,sqrt(log(log(((f * -14.020213) / sigma) + ((alpha_infinity + (f / 113.12862)) * 0.5068584)) + sqrt((lambda_prime / sqrt(k0_prime)) / f))) + -0.027738236,0.014079411237863953,sqrt(log(sqrt(lambda_prime/(f*sqrt(k0_prime))) + log(0.5068584*alpha_infinity + 0.00448037287116205*f - 14.020213*f/sigma))) - 0.027738236,PySRFunction(X=>sqrt(log(sqrt(lambda_prime/(f*sqrt(k0_prime))) + log(0.5068584*alpha_infinity + 0.00448037287116205*f - 14.020213*f/sigma))) - 0.027738236)
28,0.0013471207,sqrt(sqrt(sqrt(lambda_prime / (k0_prime / lambda_prime)) / f) + log(log(((f / sigma) * -14.020101) + ((alpha_infinity + (f / 113.12859)) * 0.51246107)))) + -0.049157687,0.002137733466846616,sqrt(sqrt(sqrt(lambda_prime**2/k0_prime)/f) + log(log(0.51246107*alpha_infinity + 0.00452989885227068*f - 14.020101*f/sigma))) - 0.049157687,PySRFunction(X=>sqrt(sqrt(sqrt(lambda_prime**2/k0_prime)/f) + log(log(0.51246107*alpha_infinity + 0.00452989885227068*f - 14.020101*f/sigma))) - 0.049157687)
