Complexity,Loss,Equation
1,0.006802668,"0.8559062"
3,0.0068024723,"lambda_var + 0.8558126"
4,0.0067936056,"sqrt(lambda_var) + 0.84634626"
5,0.0005373744,"(sigma * -3.4468333e-6) + 1.0454091"
7,0.0005357755,"((-3.441146e-6 - k0_prime) * sigma) + 1.045377"
8,0.0005347912,"((sigma * -3.4482703e-6) + 1.0590025) - sqrt(lambda_prime)"
9,0.0004118079,"(-0.07786355 / alpha_infinity) + ((sigma * -3.455685e-6) - -1.0985857)"
11,0.0003956354,"((sigma * -3.4560348e-6) - -0.9891404) - ((alpha_infinity * -2.006146e-5) * f)"
12,0.000375526,"((sigma * -3.4553939e-6) - -0.9374298) + (sqrt(alpha_infinity) * (f * 4.784376e-5))"
13,0.00035920803,"(sigma * -3.4553289e-6) - (((f * -6.918795e-5) + -0.97155094) - (-0.07771739 / alpha_infinity))"
15,0.0003590537,"((sigma * -3.4548066e-6) - (((f * -6.926987e-5) + -0.97155094) - (-0.07771737 / alpha_infinity))) - lambda_prime"
16,0.00035897308,"((sigma * -3.4575644e-6) - ((f * -6.90769e-5) + -0.9705404)) - (0.07470943 / (alpha_infinity - sqrt(lambda_var)))"
17,0.00034859235,"(sigma * -3.4445409e-6) - (-0.6933914 - (((alpha_infinity * -0.045370046) - -0.21516795) * ((f * 0.0004972206) + alpha_infinity)))"
19,0.00034831843,"(sigma * -3.4422326e-6) - (-0.69539016 - (((alpha_infinity + (f * 0.0004789333)) * ((alpha_infinity * -0.04673388) - -0.21847679)) - lambda_prime))"
21,0.00034040472,"(sigma * -3.4518125e-6) - (-0.7567093 - (((f * 6.858133e-5) - sqrt(sqrt(k0_prime))) + (((alpha_infinity * -0.052419122) - -0.19513734) * alpha_infinity)))"
23,0.00033208574,"(((k0_prime * sigma) / -0.039194454) - (-0.7578786 - (alpha_infinity * ((alpha_infinity * -0.047615916) - -0.18032348)))) + ((sigma * -3.3176646e-6) + (f * 6.939861e-5))"
24,0.00033021465,"(((sqrt(k0_prime) * 11.686499) / -0.051590897) - ((-0.75943744 - (alpha_infinity * ((alpha_infinity * -0.048454024) - -0.18149638))) + (sigma * 3.4379134e-6))) + (f * 7.648355e-5)"
