Complexity,Loss,Equation
1,0.0061449464,"0.8133978"
3,0.006144559,"0.81348795 - lambda_var"
4,0.0059289006,"sqrt(f) * 0.021200234"
5,0.0016269884,"0.9738786 - (sigma * 2.9277037e-6)"
7,0.0016241233,"0.97385645 - ((k0_prime + 2.9221592e-6) * sigma)"
8,0.0015557568,"(sqrt(f) * 0.025298003) - (sigma * 2.8703284e-6)"
9,0.0014943933,"sqrt(0.025298003 * sqrt(f)) - (sigma * 2.8703284e-6)"
10,0.0011369901,"0.7601232 - ((-0.17406686 * sqrt(alpha_infinity)) + (sigma * 2.9487587e-6))"
12,0.0010036238,"0.5979115 - (sqrt(alpha_infinity) * ((lambda_var + -0.30616027) + (sigma * 2.3967802e-6)))"
14,0.0008056747,"(0.013562676 * sqrt(f)) - (((sigma * 2.904221e-6) - 0.3436392) - (alpha_infinity * 0.0708197))"
16,0.0008021386,"(sqrt(f) * 0.013532621) - (((alpha_infinity * -0.071065776) + (sigma * (k0_prime + 2.9393648e-6))) - 0.3464373)"
20,0.0008011657,"(0.013562676 * sqrt(f)) - (((lambda_var + (lambda_var - 0.0708197)) * alpha_infinity) + ((sigma * (k0_prime + 2.904221e-6)) - 0.3436392))"
21,0.00080110296,"(sqrt(f) * 0.013594702) - ((sigma * (k0_prime + 2.939492e-6)) + ((lambda_var - (alpha_infinity * 0.07112189)) - (0.34412944 - sqrt(k0_prime))))"
22,0.00077389815,"(sqrt(f) * 0.013865913) - (((k0_prime + 2.939616e-6) * sigma) + ((sqrt(lambda_var) - (alpha_infinity * 0.07083192)) - (0.34364712 - sqrt(k0_prime))))"
