Complexity,Loss,Equation
1,0.024772352,"0.28821966"
3,0.0026235108,"f * 0.00076434016"
5,0.0022722224,"-0.045744706 - (f * -0.0008626347)"
6,0.0016447426,"log(sigma) * (f * 7.09782e-5)"
7,0.00095788646,"f * ((-7.483005 / sigma) + 0.0009366781)"
9,0.00059927476,"(f * ((-7.4994946 / sigma) + 0.001036402)) + -0.0462195"
10,0.0005717207,"(-33.979843 / sqrt(sigma)) + (0.11128994 - (f * -0.0008639939))"
11,0.00056968105,"(-4.8366075 / sqrt(sqrt(sigma))) + (0.28124622 - (f / -1160.0674))"
12,0.00053957495,"(f * 0.0006138037) + (-0.12714066 - (sqrt(f * sigma) * -4.067538e-5))"
13,0.00050992036,"(-0.29610568 - (sqrt(sqrt(sigma * f)) * -0.005350545)) + (f * 0.0006093752)"
15,0.0005081372,"(sqrt(sqrt(f * sigma)) * 0.0053493176) + (((f + alpha_infinity) * 0.000609477) - 0.29700357)"
16,0.0005036778,"((f * 0.0006090763) + -0.30992308) - ((sqrt(sqrt(f * sigma)) * -0.0053569167) - sqrt(lambda_prime))"
17,0.0004786163,"((f * ((sqrt(k0_prime) / -1.2376691) + 0.0006665022)) + (sqrt(f * sigma) * 4.095238e-5)) - 0.12768163"
18,0.00044927336,"(((sqrt(k0_prime) / -1.2523638) + 0.00066147704) * f) + ((sqrt(sqrt(sigma * f)) * 0.005385147) - 0.29770473)"
20,0.0004405461,"((f * ((sqrt(k0_prime) / -0.7695423) + 0.0007000615)) + (sqrt(sigma * f) * 4.1144325e-5)) - (log(k0_prime) * -0.006652966)"
21,0.00038586647,"((sqrt(sqrt(f * sigma)) * 0.005422946) + (f * ((sqrt(k0_prime) / -0.49006492) + 0.0007438597))) - (log(k0_prime) * -0.015473014)"
23,0.00038264322,"((((f * (sqrt(k0_prime) + -0.0003248573)) / -0.42401892) + (sqrt(sqrt(f * sigma)) * 0.0053930697)) + (log(k0_prime) * 0.019624962)) + 0.08206617"
24,0.00037885542,"(f * ((sqrt(k0_prime) / -0.47854015) + 0.00074696535)) + ((sqrt(lambda_prime) - (sqrt(sqrt(f * sigma)) * -0.0054260623)) - (log(k0_prime) * -0.016177079))"
26,0.00036591146,"((((sqrt(k0_prime) / -0.47810706) + 0.0007470061) * f) - (sqrt(sqrt(sigma * f)) * -0.0054263966)) + (sqrt(lambda_prime * alpha_infinity) - (log(k0_prime) * -0.016339308))"
28,0.00036334706,"(((sqrt(lambda_prime * alpha_infinity) - (sqrt(sqrt(f * sigma)) * -0.0054027056)) - (log(k0_prime) * -0.020192822)) + (((sqrt(k0_prime) / -0.41693512) + 0.0007683637) * f)) + 0.07595004"
