Complexity,Loss,Equation
1,0.004311426,"0.732996"
3,0.0043107644,"0.7330782 - lambda_var"
4,0.003564798,"sqrt(f) * 0.021720838"
5,0.002998864,"(sigma * -1.5733807e-6) - -0.81954676"
7,0.0027116938,"((sigma / alpha_infinity) * -2.265224e-6) + 0.8174488"
8,0.0022176919,"sqrt(f) * (0.024319846 - (sigma * 4.7234685e-8))"
9,0.0021719863,"(((sigma * -1.0695667e-6) + 0.14054789) * alpha_infinity) - -0.60730404"
10,0.0020948562,"sqrt(f) * (0.024304515 - (sigma * (k0_prime + 4.184378e-8)))"
12,0.0019299963,"(alpha_infinity * ((sqrt(sigma) * 0.0013839436) + (sigma * -4.1774847e-6))) - -0.5995639"
14,0.0018256154,"(((sigma * -2.3973637e-6) + 0.21254377) * (alpha_infinity + 1.1968967)) + (sqrt(sigma) * 0.0022405596)"
15,0.0012639224,"(sqrt(sigma * f) * 6.605042e-5) + (((sigma * -5.3018257e-6) + 0.47278905) * sqrt(alpha_infinity))"
16,0.001246524,"((0.21584202 - (sigma * 2.5129473e-6)) * (alpha_infinity + 1.1249477)) + (sqrt(sigma * f) * 6.8221234e-5)"
17,0.0011924515,"((alpha_infinity + 0.4332401) * ((sigma * -2.3069676e-6) + 0.20735514)) + (sqrt(sqrt(sigma) * f) * 0.0011409073)"
19,0.001132233,"(sqrt(sqrt(sigma) * f) * 0.0013884923) + ((((sigma * -2.1684161e-6) + 0.20202442) * alpha_infinity) + (sigma * -1.7833349e-6))"
25,0.001089845,"((((sigma * -2.08291e-6) + 0.19744785) * ((1.2824763e-5 / sqrt(k0_prime)) + alpha_infinity)) - sqrt((sigma / f) / f)) + sqrt(sqrt(sigma * 7.6293245e-6))"
27,0.001088773,"(((((sigma * -2.08291e-6) + 0.19744785) * ((1.2824763e-5 / sqrt(k0_prime)) + alpha_infinity)) - sqrt((sigma / f) / f)) + sqrt(sqrt(sigma * 7.6293245e-6))) - lambda_var"
