Complexity,Loss,Equation
1,0.0042110393,"0.60880643"
3,0.0026060268,"f * 0.00072362454"
4,0.0024188142,"sqrt(f / 2251.9778)"
5,0.0022627718,"(f * 0.0005104115) + 0.18072109"
6,0.0022584542,"-0.24502048 - (sqrt(f) * -0.02952194)"
7,0.0019744246,"log(log(alpha_infinity + (f / 174.97044)))"
9,0.0018980267,"log(sqrt(alpha_infinity + (f / 119.02022))) + -0.46424288"
11,0.0018954179,"log(sqrt((f / 118.55953) + alpha_infinity) + -0.10229249) + -0.4303299"
13,0.0016230912,"log(log((alpha_infinity + (f / (sigma / -19.375374))) + (f / 162.06628)))"
15,0.0015664507,"log(log(((f * -19.521463) / sigma) + ((alpha_infinity + (f / 122.52978)) * 0.80058956)))"
16,0.0015587925,"sqrt(log(log(((f * -12.75986) / sigma) + (((f / 113.12893) + alpha_infinity) * 0.5101295))))"
18,0.0015224353,"sqrt(log(log((((f / 113.128334) + alpha_infinity) * 0.5341965) + ((f * -14.530837) / sigma))) / 1.0790757)"
20,0.0015218274,"sqrt(log(log((f * (-14.530836 / sigma)) + (((f / 113.128334) + alpha_infinity) * 0.5341098))) / 1.0790876) - lambda_var"
23,0.0014489396,"(sqrt(lambda_prime / k0_prime) / sigma) + sqrt(log(log((f * (-14.048958 / sigma)) + ((alpha_infinity + (f / 113.13072)) * 0.5082546))))"
24,0.0013915299,"sqrt(((lambda_prime / sqrt(k0_prime)) / sqrt(sigma)) + log(log((f * (-14.020157 / sigma)) + ((alpha_infinity + (f / 113.12864)) * 0.5020808))))"
26,0.0013528926,"sqrt(log(log(((f * -14.020213) / sigma) + ((alpha_infinity + (f / 113.12862)) * 0.5068584)) + sqrt((lambda_prime / sqrt(k0_prime)) / f))) + -0.027738236"
28,0.0013471207,"sqrt(sqrt(sqrt(lambda_prime / (k0_prime / lambda_prime)) / f) + log(log(((f / sigma) * -14.020101) + ((alpha_infinity + (f / 113.12859)) * 0.51246107)))) + -0.049157687"
