complexity,loss,equation,score,sympy_format,lambda_format
1,0.0068028546,0.8557636,0.0,0.855763600000000,PySRFunction(X=>0.855763600000000)
3,0.0068023624,0.85595423 - lambda_prime,3.617729876815451e-05,0.85595423 - lambda_prime,PySRFunction(X=>0.85595423 - lambda_prime)
4,0.0067882165,0.86928743 - sqrt(lambda_prime),0.002081722230171815,0.86928743 - sqrt(lambda_prime),PySRFunction(X=>0.86928743 - sqrt(lambda_prime))
5,0.0006193509,1.0431037 - (sigma * 3.4168684e-6),2.3942715262297325,1.0431037 - 3.4168684e-6*sigma,PySRFunction(X=>1.0431037 - 3.4168684e-6*sigma)
6,0.0005996852,sqrt(1.0610758 - (5.8478754e-6 * sigma)),0.032267143271743154,sqrt(1.0610758 - 5.8478754e-6*sigma),PySRFunction(X=>sqrt(1.0610758 - 5.8478754e-6*sigma))
8,0.00059843145,sqrt(1.0610758 - ((k0_prime + 5.8478754e-6) * sigma)),0.0010464343831872811,sqrt(-sigma*(k0_prime + 5.8478754e-6) + 1.0610758),PySRFunction(X=>sqrt(-sigma*(k0_prime + 5.8478754e-6) + 1.0610758))
9,0.00048965396,((-0.078431554 / alpha_infinity) + 1.0958414) - (sigma * 3.4074799e-6),0.20061304455391357,-3.4074799e-6*sigma + 1.0958414 - 0.078431554/alpha_infinity,PySRFunction(X=>-3.4074799e-6*sigma + 1.0958414 - 0.078431554/alpha_infinity)
11,0.0004893623,(((sigma * -3.4073178e-6) - (0.07842166 / alpha_infinity)) - lambda_prime) + 1.0960187,0.0002979113019311744,-lambda_prime + sigma*(-3.4073178e-6) + 1.0960187 - 0.07842166/alpha_infinity,PySRFunction(X=>-lambda_prime + sigma*(-3.4073178e-6) + 1.0960187 - 0.07842166/alpha_infinity)
12,0.00047457506,(sigma * -3.4102711e-6) - (-1.1078604 - (1.854135 / (log(k0_prime) * alpha_infinity))),0.03068332183410465,-3.4102711e-6*sigma + 1.1078604 + 1.854135/(alpha_infinity*log(k0_prime)),PySRFunction(X=>-3.4102711e-6*sigma + 1.1078604 + 1.854135/(alpha_infinity*log(k0_prime)))
13,0.00038798669,((-24.365126 / ((sigma * 0.008324053) * alpha_infinity)) + 1.1437943) - (sigma * 4.41604e-6),0.20144875819434546,-4.41604e-6*sigma + 1.1437943 - 24.365126*120.133785789206/(alpha_infinity*sigma),PySRFunction(X=>-4.41604e-6*sigma + 1.1437943 - 24.365126*120.133785789206/(alpha_infinity*sigma))
15,0.0003851365,(-24.365124 / (alpha_infinity * ((f + sigma) * 0.0076139304))) + (1.1447785 - (sigma * 4.4022922e-6)),0.0036866090026101933,-4.4022922e-6*sigma + 1.1447785 - 24.365124*131.338211339573/(alpha_infinity*(f + sigma)),PySRFunction(X=>-4.4022922e-6*sigma + 1.1447785 - 24.365124*131.338211339573/(alpha_infinity*(f + sigma)))
