complexity,loss,equation,score,sympy_format,lambda_format
1,0.006297102,0.8136638,0.0,0.813663800000000,PySRFunction(X=>0.813663800000000)
3,0.0062962463,0.8138543 - lambda_prime,6.794856942982643e-05,0.8138543 - lambda_prime,PySRFunction(X=>0.8138543 - lambda_prime)
4,0.002962664,8.788706 / log(sigma),0.7538647668473657,8.788706/log(sigma),PySRFunction(X=>8.788706/log(sigma))
5,0.0016763719,0.9764952 - (sigma * 2.962386e-6),0.5694569887597932,0.9764952 - 2.962386e-6*sigma,PySRFunction(X=>0.9764952 - 2.962386e-6*sigma)
6,0.0016599129,sqrt(phi - (sigma * 4.720953e-6)),0.009866743706670322,sqrt(phi - 4.720953e-6*sigma),PySRFunction(X=>sqrt(phi - 4.720953e-6*sigma))
7,0.001486966,0.9771418 - ((sigma * 0.0043583615) / f),0.11002732872424155,0.9771418 - 0.0043583615*sigma/f,PySRFunction(X=>0.9771418 - 0.0043583615*sigma/f)
9,0.0010016287,0.70347387 - (alpha_infinity * ((sigma * 1.8799004e-6) - 0.1743872)),0.19755521364078532,0.70347387 - alpha_infinity*(sigma*1.8799004e-6 - 1*0.1743872),PySRFunction(X=>0.70347387 - alpha_infinity*(sigma*1.8799004e-6 - 1*0.1743872))
10,0.0010001729,0.7085052 - (alpha_infinity * ((sigma * 1.9100817e-6) - sqrt(h))),0.0014544900520116074,-alpha_infinity*(-sqrt(h) + 1.9100817e-6*sigma) + 0.7085052,PySRFunction(X=>-alpha_infinity*(-sqrt(h) + 1.9100817e-6*sigma) + 0.7085052)
11,0.0007178816,(((f + (sigma / -62.195454)) * 0.00011929027) * alpha_infinity) - -0.7054445,0.3316235110933077,(f + sigma/(-62.195454))*0.00011929027*alpha_infinity - 1*(-0.7054445),PySRFunction(X=>(f + sigma/(-62.195454))*0.00011929027*alpha_infinity - 1*(-0.7054445))
13,0.0007149347,0.70107734 - ((((f + (sigma / -60.73975)) * -0.00011627443) + -0.007071539) * alpha_infinity),0.00205672154569252,0.70107734 - alpha_infinity*((f + sigma/(-60.73975))*(-0.00011627443) - 0.007071539),PySRFunction(X=>0.70107734 - alpha_infinity*((f + sigma/(-60.73975))*(-0.00011627443) - 0.007071539))
14,0.00061484275,((log(lambda_var) * -1.2906542e-5) * ((f + (sigma / -62.65038)) * alpha_infinity)) - -0.70314354,0.15082466579688608,-1.2906542e-5*alpha_infinity*(f - 0.0159615951252012*sigma)*log(lambda_var) + 0.70314354,PySRFunction(X=>-1.2906542e-5*alpha_infinity*(f - 0.0159615951252012*sigma)*log(lambda_var) + 0.70314354)
15,0.00056776154,0.7082544 - (((-0.00015208845 - (lambda_var * -0.36604384)) * (f + (sigma / -61.636993))) * alpha_infinity),0.07966503742833103,0.7082544 - alpha_infinity*(f + sigma/(-61.636993))*(-(-0.36604384)*lambda_var - 0.00015208845),PySRFunction(X=>0.7082544 - alpha_infinity*(f + sigma/(-61.636993))*(-(-0.36604384)*lambda_var - 0.00015208845))
16,0.00055836677,0.70774037 - ((alpha_infinity * (0.00018117233 - (log(lambda_var) * -3.2050277e-5))) * (f + (sigma / -61.726658))),0.01668546626165236,-alpha_infinity*(f - 0.0162004558873089*sigma)*(3.2050277e-5*log(lambda_var) + 0.00018117233) + 0.70774037,PySRFunction(X=>-alpha_infinity*(f - 0.0162004558873089*sigma)*(3.2050277e-5*log(lambda_var) + 0.00018117233) + 0.70774037)
17,0.0005470313,0.7084366 - ((0.00019697666 - (sqrt(alpha_infinity) * (log(lambda_var) * -3.282993e-5))) * ((sigma / -61.54696) + f)),0.02051001837360065,-(f - 0.0162477561848709*sigma)*(3.282993e-5*sqrt(alpha_infinity)*log(lambda_var) + 0.00019697666) + 0.7084366,PySRFunction(X=>-(f - 0.0162477561848709*sigma)*(3.282993e-5*sqrt(alpha_infinity)*log(lambda_var) + 0.00019697666) + 0.7084366)
19,0.00050456595,0.70855254 - (((0.0019901749 / log(sigma)) - (log(lambda_var) * -3.3498818e-5)) * ((f + (sigma / -59.99362)) * alpha_infinity)),0.040403733626398146,-alpha_infinity*(f - 0.0166684390773552*sigma)*(3.3498818e-5*log(lambda_var) + 0.0019901749/log(sigma)) + 0.70855254,PySRFunction(X=>-alpha_infinity*(f - 0.0166684390773552*sigma)*(3.3498818e-5*log(lambda_var) + 0.0019901749/log(sigma)) + 0.70855254)
20,0.00050334074,0.7083833 - ((alpha_infinity * (((0.007049677 / sqrt(sigma)) + -0.0001973059) - (lambda_var * -0.38687244))) * (f + (sigma / -59.97439))),0.002431198474315145,-alpha_infinity*(f - 0.0166737835932971*sigma)*(0.38687244*lambda_var - 0.0001973059 + 0.007049677/sqrt(sigma)) + 0.7083833,PySRFunction(X=>-alpha_infinity*(f - 0.0166737835932971*sigma)*(0.38687244*lambda_var - 0.0001973059 + 0.007049677/sqrt(sigma)) + 0.7083833)
21,0.00049581775,0.710147 - (((((0.0069906176 / sqrt(sigma)) + 0.00015935977) - (log(lambda_var) * -3.4205907e-5)) * alpha_infinity) * ((sigma / -59.614258) + f)),0.015058936578021808,-alpha_infinity*(f - 0.0167745105541698*sigma)*(3.4205907e-5*log(lambda_var) + 0.00015935977 + 0.0069906176/sqrt(sigma)) + 0.710147,PySRFunction(X=>-alpha_infinity*(f - 0.0167745105541698*sigma)*(3.4205907e-5*log(lambda_var) + 0.00015935977 + 0.0069906176/sqrt(sigma)) + 0.710147)
22,0.00044423944,0.7051775 - (((sigma / -60.739754) + f) * ((((alpha_infinity * -0.00012074984) - (log(lambda_var) * -5.5610508e-5)) + 0.0004859782) + (phi / sigma))),0.10984472333366821,-(f - 0.0164636820886696*sigma)*(-0.00012074984*alpha_infinity + phi/sigma + 5.5610508e-5*log(lambda_var) + 0.0004859782) + 0.7051775,PySRFunction(X=>-(f - 0.0164636820886696*sigma)*(-0.00012074984*alpha_infinity + phi/sigma + 5.5610508e-5*log(lambda_var) + 0.0004859782) + 0.7051775)
