complexity,loss,equation,score,sympy_format,lambda_format
1,0.024892988,0.28843153,0.0,0.288431530000000,PySRFunction(X=>0.288431530000000)
3,0.0026477035,f * 0.00076508836,1.120446748440005,f*0.00076508836,PySRFunction(X=>f*0.00076508836)
5,0.0022874977,(f * 0.00086466235) - 0.04632638,0.07311707390193059,f*0.00086466235 - 1*0.04632638,PySRFunction(X=>f*0.00086466235 - 1*0.04632638)
6,0.0016590586,log(sigma) * (f * 7.10547e-5),0.32120817963464615,7.10547e-5*f*log(sigma),PySRFunction(X=>7.10547e-5*f*log(sigma))
7,0.001166439,((sigma * 3.9538444e-9) - -0.000547772) * f,0.3522948151406362,f*(sigma*3.9538444e-9 - 1*(-0.000547772)),PySRFunction(X=>f*(sigma*3.9538444e-9 - 1*(-0.000547772)))
8,0.0009765251,f * ((log(sigma) * 0.00019651843) - 0.0013586605),0.17771034287795853,f*(0.00019651843*log(sigma) - 0.0013586605),PySRFunction(X=>f*(0.00019651843*log(sigma) - 0.0013586605))
9,0.0007975296,(log(sigma) * (sqrt(f) * 0.0029974629)) - 0.33041513,0.20248150407376989,0.0029974629*sqrt(f)*log(sigma) - 0.33041513,PySRFunction(X=>0.0029974629*sqrt(f)*log(sigma) - 0.33041513)
10,0.0005260347,(log(sigma) * ((f * 7.998246e-5) - -0.05312252)) + -0.6202384,0.4161517698141175,(7.998246e-5*f + 0.05312252)*log(sigma) - 0.6202384,PySRFunction(X=>(7.998246e-5*f + 0.05312252)*log(sigma) - 0.6202384)
12,0.0005235053,(log(sigma) * (((f * 7.9982514e-5) - -0.052903645) + lambda_prime)) - 0.61990863,0.00241001285997024,(7.9982514e-5*f + lambda_prime + 0.052903645)*log(sigma) - 0.61990863,PySRFunction(X=>(7.9982514e-5*f + lambda_prime + 0.052903645)*log(sigma) - 0.61990863)
13,0.0005208845,((log(sigma) * ((f * 7.99751e-5) - -0.05300503)) - 0.63246495) + sqrt(lambda_prime),0.005018826306407339,sqrt(lambda_prime) + (7.99751e-5*f + 0.05300503)*log(sigma) - 0.63246495,PySRFunction(X=>sqrt(lambda_prime) + (7.99751e-5*f + 0.05300503)*log(sigma) - 0.63246495)
14,0.0004962276,((log(sigma) + (alpha_infinity * 0.20785896)) * ((f * 7.773049e-5) - -0.05197442)) - 0.624723,0.04849363567363117,(0.20785896*alpha_infinity + log(sigma))*(7.773049e-5*f + 0.05197442) - 0.624723,PySRFunction(X=>(0.20785896*alpha_infinity + log(sigma))*(7.773049e-5*f + 0.05197442) - 0.624723)
