complexity,loss,equation,score,sympy_format,lambda_format
1,0.004504258,0.7341268,0.0,0.734126800000000,PySRFunction(X=>0.734126800000000)
3,0.004474697,f * 0.0006419239,0.0032922658376122052,f*0.0006419239,PySRFunction(X=>f*0.0006419239)
4,0.004455044,0.7436852 - sqrt(lambda_var),0.004401702520010672,0.7436852 - sqrt(lambda_var),PySRFunction(X=>0.7436852 - sqrt(lambda_var))
5,0.0030982085,(sigma * -1.6337017e-6) - -0.82386255,0.3632128962023473,sigma*(-1.6337017e-6) - 1*(-0.82386255),PySRFunction(X=>sigma*(-1.6337017e-6) - 1*(-0.82386255))
6,0.0028166375,-6.774856 / (alpha_infinity - log(sigma)),0.09528024359708923,-6.774856/(alpha_infinity - log(sigma)),PySRFunction(X=>-6.774856/(alpha_infinity - log(sigma)))
7,0.0028063103,0.8195661 - ((sigma / alpha_infinity) * 2.291127e-6),0.003673237589647543,0.8195661 - 2.291127e-6*sigma/alpha_infinity,PySRFunction(X=>0.8195661 - 2.291127e-6*sigma/alpha_infinity)
8,0.002777747,-7.7369637 / (alpha_infinity + (-1.3034384 - log(sigma))),0.010230392557527947,-7.7369637/(alpha_infinity - log(sigma) - 1.3034384),PySRFunction(X=>-7.7369637/(alpha_infinity - log(sigma) - 1.3034384))
9,0.0022221834,0.60456496 - (((sigma * 1.1131667e-6) - 0.14528753) * alpha_infinity),0.22314994140542838,0.60456496 - alpha_infinity*(sigma*1.1131667e-6 - 1*0.14528753),PySRFunction(X=>0.60456496 - alpha_infinity*(sigma*1.1131667e-6 - 1*0.14528753))
11,0.0015600221,0.58901834 - (alpha_infinity * ((sigma * 1.1574778e-6) - (f * 0.00013837455))),0.17689511911870173,0.58901834 - alpha_infinity*(-0.00013837455*f + sigma*1.1574778e-6),PySRFunction(X=>0.58901834 - alpha_infinity*(-0.00013837455*f + sigma*1.1574778e-6))
12,0.0015251169,0.44164813 - ((((sigma * 1.228926e-9) - 0.00027535958) * sqrt(alpha_infinity)) * f),0.022628924968587046,-sqrt(alpha_infinity)*f*(1.228926e-9*sigma - 0.00027535958) + 0.44164813,PySRFunction(X=>-sqrt(alpha_infinity)*f*(1.228926e-9*sigma - 0.00027535958) + 0.44164813)
13,0.001456949,0.51893336 - ((((sigma * 5.9649e-10) * alpha_infinity) - 0.00017525183) * (alpha_infinity * f)),0.04572653969045464,0.51893336 - alpha_infinity*f*(sigma*5.9649e-10*alpha_infinity - 1*0.00017525183),PySRFunction(X=>0.51893336 - alpha_infinity*f*(sigma*5.9649e-10*alpha_infinity - 1*0.00017525183))
15,0.0013571623,0.6080857 - ((((f * 0.018127184) + -13.499656) * ((sigma * 1.563004e-7) - 0.01999001)) * alpha_infinity),0.03547427370218687,0.6080857 - alpha_infinity*(sigma*1.563004e-7 - 1*0.01999001)*(f*0.018127184 - 13.499656),PySRFunction(X=>0.6080857 - alpha_infinity*(sigma*1.563004e-7 - 1*0.01999001)*(f*0.018127184 - 13.499656))
17,0.0013066557,0.52948403 - ((alpha_infinity * ((f * 0.021650093) + -11.919514)) * (((sigma * alpha_infinity) * 5.225642e-8) - 0.015005072)),0.01896250176122617,0.52948403 - alpha_infinity*(f*0.021650093 - 11.919514)*(sigma*alpha_infinity*5.225642e-8 - 1*0.015005072),PySRFunction(X=>0.52948403 - alpha_infinity*(f*0.021650093 - 11.919514)*(sigma*alpha_infinity*5.225642e-8 - 1*0.015005072))
19,0.0012734489,0.53116924 - (((alpha_infinity * (lambda_var + (sigma * 3.89835e-8))) - 0.011416614) * (((f * 0.029064773) + -16.263472) * alpha_infinity)),0.012871041623792066,0.53116924 - alpha_infinity*(f*0.029064773 - 16.263472)*(alpha_infinity*(lambda_var + sigma*3.89835e-8) - 1*0.011416614),PySRFunction(X=>0.53116924 - alpha_infinity*(f*0.029064773 - 16.263472)*(alpha_infinity*(lambda_var + sigma*3.89835e-8) - 1*0.011416614))
20,0.0011349935,0.5887841 - (((-12.531797 + (f * (0.024511287 - (lambda_var * sqrt(f))))) * alpha_infinity) * ((sigma * 9.6124516e-8) - 0.013081979)),0.1151019649495936,-alpha_infinity*(9.6124516e-8*sigma - 0.013081979)*(f*(-sqrt(f)*lambda_var + 0.024511287) - 12.531797) + 0.5887841,PySRFunction(X=>-alpha_infinity*(9.6124516e-8*sigma - 0.013081979)*(f*(-sqrt(f)*lambda_var + 0.024511287) - 12.531797) + 0.5887841)
25,0.0010285798,(0.5579927 - (alpha_infinity * (((f * 0.024064938) + -12.531806) * ((((k0_prime + 4.2689088e-8) * alpha_infinity) * sigma) - 0.013284186)))) - ((lambda_var * f) * 0.3374168),0.019689581644451205,-alpha_infinity*(f*0.024064938 - 12.531806)*(alpha_infinity*sigma*(k0_prime + 4.2689088e-8) - 1*0.013284186) - 0.3374168*f*lambda_var + 0.5579927,PySRFunction(X=>-alpha_infinity*(f*0.024064938 - 12.531806)*(alpha_infinity*sigma*(k0_prime + 4.2689088e-8) - 1*0.013284186) - 0.3374168*f*lambda_var + 0.5579927)
