complexity,loss,equation,score,sympy_format,lambda_format
1,0.0040970813,0.60978943,0.0,0.609789430000000,PySRFunction(X=>0.609789430000000)
3,0.0025172802,f * 0.0007247503,0.2435479045975889,f*0.0007247503,PySRFunction(X=>f*0.0007247503)
4,0.0023148886,sqrt(f) * 0.021105923,0.08381746753078534,0.021105923*sqrt(f),PySRFunction(X=>0.021105923*sqrt(f))
5,0.0021616344,(-349.62247 / f) - -1.0311586,0.06849696319517865,-1*(-1.0311586) - 349.62247/f,PySRFunction(X=>-1*(-1.0311586) - 349.62247/f)
6,0.0021586844,(log(f) * 0.4238621) + -2.2413287,0.001365640173809735,0.4238621*log(f) - 2.2413287,PySRFunction(X=>0.4238621*log(f) - 2.2413287)
7,0.002158604,(log(log(f)) * 2.8482273) + -4.818753,3.7245600738194826e-05,2.8482273*log(log(f)) - 4.818753,PySRFunction(X=>2.8482273*log(log(f)) - 4.818753)
8,0.0021404861,(sqrt(f) * (0.02949603 - lambda_var)) + -0.2405749,0.008428763688375269,sqrt(f)*(0.02949603 - lambda_var) - 0.2405749,PySRFunction(X=>sqrt(f)*(0.02949603 - lambda_var) - 0.2405749)
9,0.0017912865,(0.93828076 - (351.55518 / f)) - (alpha_infinity * -0.061805148),0.17809887598746038,-(-0.061805148)*alpha_infinity + 0.93828076 - 351.55518/f,PySRFunction(X=>-(-0.061805148)*alpha_infinity + 0.93828076 - 351.55518/f)
11,0.0016937511,(-350.6159 / f) - (((-2.6635098e-6 / lambda_var) * alpha_infinity) + -0.9828408),0.02799421084615173,-(-2.6635098e-6*alpha_infinity/lambda_var - 0.9828408) - 350.6159/f,PySRFunction(X=>-(-2.6635098e-6*alpha_infinity/lambda_var - 0.9828408) - 350.6159/f)
13,0.0015844658,(0.93813485 - (351.55518 / f)) - (((-1.9937488e-6 / lambda_var) + -0.03783902) * alpha_infinity),0.033349169636094245,-alpha_infinity*(-0.03783902 - 1.9937488e-6/lambda_var) + 0.93813485 - 351.55518/f,PySRFunction(X=>-alpha_infinity*(-0.03783902 - 1.9937488e-6/lambda_var) + 0.93813485 - 351.55518/f)
15,0.001582397,(0.93809295 - (351.55862 / f)) - ((((k0_prime + -1.9996182e-6) / lambda_var) + -0.037861224) * alpha_infinity),0.000653264894927041,-alpha_infinity*(-0.037861224 + (k0_prime - 1.9996182e-6)/lambda_var) + 0.93809295 - 351.55862/f,PySRFunction(X=>-alpha_infinity*(-0.037861224 + (k0_prime - 1.9996182e-6)/lambda_var) + 0.93809295 - 351.55862/f)
16,0.0015043325,(log(log(log(sigma))) - (305.3377 / f)) - (alpha_infinity * ((-2.048118e-6 / lambda_var) - 0.046983667)),0.05059150780875436,-alpha_infinity*(-0.046983667 - 2.048118e-6/lambda_var) + log(log(log(sigma))) - 305.3377/f,PySRFunction(X=>-alpha_infinity*(-0.046983667 - 2.048118e-6/lambda_var) + log(log(log(sigma))) - 305.3377/f)
17,0.001483711,log(log(log(sigma))) - ((347.57635 / f) - (((alpha_infinity * 0.0005212156) / sqrt(lambda_var)) - -0.075214766)),0.013802896376544398,0.0005212156*alpha_infinity/sqrt(lambda_var) + log(log(log(sigma))) + 0.075214766 - 347.57635/f,PySRFunction(X=>0.0005212156*alpha_infinity/sqrt(lambda_var) + log(log(log(sigma))) + 0.075214766 - 347.57635/f)
18,0.0014641521,((log(log(log(sigma))) - (354.4274 / f)) - -0.07423705) - (alpha_infinity * ((-2.0459918e-6 / lambda_var) - 0.037610333)),0.013270078259623447,-alpha_infinity*(-0.037610333 - 2.0459918e-6/lambda_var) + log(log(log(sigma))) + 0.07423705 - 354.4274/f,PySRFunction(X=>-alpha_infinity*(-0.037610333 - 2.0459918e-6/lambda_var) + log(log(log(sigma))) + 0.07423705 - 354.4274/f)
