complexity,loss,equation,score,sympy_format,lambda_format
1,0.0068028546,0.85575897,0.0,0.855758970000000,PySRFunction(X=>0.855758970000000)
3,0.0068023624,0.8559543 - lambda_prime,3.617729876815451e-05,0.8559543 - lambda_prime,PySRFunction(X=>0.8559543 - lambda_prime)
4,0.0067882165,0.86928743 - sqrt(lambda_prime),0.002081722230171815,0.86928743 - sqrt(lambda_prime),PySRFunction(X=>0.86928743 - sqrt(lambda_prime))
5,0.0006193509,(sigma * -3.4166542e-6) + 1.0430899,2.3942715262297325,1.0430899 + sigma*(-3.4166542e-6),PySRFunction(X=>1.0430899 + sigma*(-3.4166542e-6))
7,0.00060448,((sigma * -0.0061874334) / f) + 1.0412891,0.012151704911180517,1.0412891 + sigma*(-0.0061874334)/f,PySRFunction(X=>1.0412891 + sigma*(-0.0061874334)/f)
8,0.0006023864,sqrt(((sigma / f) * -0.01027232) + 1.0457203),0.003469484443532582,sqrt(1.0457203 - 0.01027232*sigma/f),PySRFunction(X=>sqrt(1.0457203 - 0.01027232*sigma/f))
9,0.0005091666,((alpha_infinity * 0.03356412) + 0.9912278) - (sigma * 3.4126663e-6),0.16812382842487691,alpha_infinity*0.03356412 - 3.4126663e-6*sigma + 0.9912278,PySRFunction(X=>alpha_infinity*0.03356412 - 3.4126663e-6*sigma + 0.9912278)
10,0.000498442,((log(alpha_infinity) * 0.05250942) + 1.0212002) - (sigma * 3.4095824e-6),0.021288037859059188,-3.4095824e-6*sigma + 0.05250942*log(alpha_infinity) + 1.0212002,PySRFunction(X=>-3.4095824e-6*sigma + 0.05250942*log(alpha_infinity) + 1.0212002)
11,0.0004864197,((sigma * -3.4087025e-6) - (sqrt(log(alpha_infinity)) * -0.05973868)) + 1.0062041,0.02441540210915144,-3.4087025e-6*sigma + 0.05973868*sqrt(log(alpha_infinity)) + 1.0062041,PySRFunction(X=>-3.4087025e-6*sigma + 0.05973868*sqrt(log(alpha_infinity)) + 1.0062041)
12,0.00047902146,((((sigma * 6.7493755e-5) - log(alpha_infinity)) / -0.011250441) / f) + 1.0147134,0.015326433399028137,1.0147134 + (-0.00599920971986787*sigma + 88.8854045810293*log(alpha_infinity))/f,PySRFunction(X=>1.0147134 + (-0.00599920971986787*sigma + 88.8854045810293*log(alpha_infinity))/f)
14,0.00047070722,(((-0.36452702 - (sigma * 0.0062120887)) - (log(alpha_infinity) / -0.010177871)) / f) + 1.0205184,0.008754555465508778,1.0205184 + (-0.0062120887*sigma + 98.2523751774806*log(alpha_infinity) - 0.36452702)/f,PySRFunction(X=>1.0205184 + (-0.0062120887*sigma + 98.2523751774806*log(alpha_infinity) - 0.36452702)/f)
15,0.0004512913,(((sigma * -0.0005560038) - (sqrt(alpha_infinity) * -13.534943)) / (f / log(sigma))) + 0.9407219,0.04212325814170613,0.9407219 + (13.534943*sqrt(alpha_infinity) - 0.0005560038*sigma)*log(sigma)/f,PySRFunction(X=>0.9407219 + (13.534943*sqrt(alpha_infinity) - 0.0005560038*sigma)*log(sigma)/f)
16,0.00043929726,(((sigma * -0.0005344962) - (sqrt(log(alpha_infinity)) * -10.322984)) / (f / log(sigma))) + 0.99493384,0.026936715238028704,0.99493384 + (-0.0005344962*sigma + 10.322984*sqrt(log(alpha_infinity)))*log(sigma)/f,PySRFunction(X=>0.99493384 + (-0.0005344962*sigma + 10.322984*sqrt(log(alpha_infinity)))*log(sigma)/f)
