complexity,loss,equation,score,sympy_format,lambda_format
1,0.006297102,0.8136638,0.0,0.813663800000000,PySRFunction(X=>0.813663800000000)
3,0.006296247,0.8138521 - lambda_prime,6.789298075627236e-05,0.8138521 - lambda_prime,PySRFunction(X=>0.8138521 - lambda_prime)
4,0.006258226,0.823226 - sqrt(lambda_var),0.006056983234545352,0.823226 - sqrt(lambda_var),PySRFunction(X=>0.823226 - sqrt(lambda_var))
5,0.0016763719,(sigma * -2.9623711e-6) + 0.97649896,1.3172648835499607,0.97649896 + sigma*(-2.9623711e-6),PySRFunction(X=>0.97649896 + sigma*(-2.9623711e-6))
6,0.0016521788,sqrt((-4.64896e-6 * sigma) + phi),0.014536973131413429,sqrt(phi - 4.64896e-6*sigma),PySRFunction(X=>sqrt(phi - 4.64896e-6*sigma))
7,0.001486966,(sigma * (-0.0043583815 / f)) + 0.97714275,0.10535709929949837,0.97714275 + sigma*(-0.0043583815)/f,PySRFunction(X=>0.97714275 + sigma*(-0.0043583815)/f)
8,0.0014796344,sqrt(phi + ((sigma / f) * -0.0068075513)),0.004942772155305072,sqrt(phi - 0.0068075513*sigma/f),PySRFunction(X=>sqrt(phi - 0.0068075513*sigma/f))
9,0.0011854642,((sigma * -2.950149e-6) + (-0.15317178 / alpha_infinity)) + 1.0796323,0.22166060239404295,sigma*(-2.950149e-6) + 1.0796323 - 0.15317178/alpha_infinity,PySRFunction(X=>sigma*(-2.950149e-6) + 1.0796323 - 0.15317178/alpha_infinity)
11,0.0007178809,(alpha_infinity * (((sigma * 0.016085258) - f) * -0.000119251505)) + 0.7055533,0.2507930144845872,alpha_infinity*(-f + sigma*0.016085258)*(-0.000119251505) + 0.7055533,PySRFunction(X=>alpha_infinity*(-f + sigma*0.016085258)*(-0.000119251505) + 0.7055533)
13,0.0007169577,(alpha_infinity * ((((sigma * 0.01607661) - f) * -0.000119312645) - lambda_var)) + 0.7055507,0.0006434174041577432,alpha_infinity*(-lambda_var + (-f + sigma*0.01607661)*(-0.000119312645)) + 0.7055507,PySRFunction(X=>alpha_infinity*(-lambda_var + (-f + sigma*0.01607661)*(-0.000119312645)) + 0.7055507)
14,0.00068521145,((((sigma * 0.016079208) - f) * (alpha_infinity * -0.000119221804)) + 0.71507484) - sqrt(lambda_var),0.045289366283548585,-0.000119221804*alpha_infinity*(-f + 0.016079208*sigma) - sqrt(lambda_var) + 0.71507484,PySRFunction(X=>-0.000119221804*alpha_infinity*(-f + 0.016079208*sigma) - sqrt(lambda_var) + 0.71507484)
16,0.00067324546,((alpha_infinity * ((sigma * -1.9165432e-6) - (f * -0.00011921395))) + 0.71901464) - sqrt(lambda_var + lambda_var),0.008808744249858497,alpha_infinity*(0.00011921395*f - 1.9165432e-6*sigma) - sqrt(2)*sqrt(lambda_var) + 0.71901464,PySRFunction(X=>alpha_infinity*(0.00011921395*f - 1.9165432e-6*sigma) - sqrt(2)*sqrt(lambda_var) + 0.71901464)
17,0.00064235803,((alpha_infinity * -0.00013741014) * ((sigma * 0.013836578) - (f - ((f * lambda_var) * f)))) + 0.7063218,0.046964160887661616,alpha_infinity*(-0.00013741014)*(sigma*0.013836578 - (-f*f*lambda_var + f)) + 0.7063218,PySRFunction(X=>alpha_infinity*(-0.00013741014)*(sigma*0.013836578 - (-f*f*lambda_var + f)) + 0.7063218)
19,0.0006167612,((((sigma * 0.014344023) - (f - ((f * lambda_var) * (f * 0.69561464)))) * alpha_infinity) * -0.00013367724) + 0.7021315,0.020331956209871858,(sigma*0.014344023 - (-0.69561464*f*f*lambda_var + f))*alpha_infinity*(-0.00013367724) + 0.7021315,PySRFunction(X=>(sigma*0.014344023 - (-0.69561464*f*f*lambda_var + f))*alpha_infinity*(-0.00013367724) + 0.7021315)
21,0.000595452,(alpha_infinity * (((sigma * 0.015229776) - (f - ((lambda_var * f) * (f - (sigma * 0.01142622))))) * -0.00014071677)) + 0.7014,0.0175805669700492,alpha_infinity*(sigma*0.015229776 - (-f*lambda_var*(f - 0.01142622*sigma) + f))*(-0.00014071677) + 0.7014,PySRFunction(X=>alpha_infinity*(sigma*0.015229776 - (-f*lambda_var*(f - 0.01142622*sigma) + f))*(-0.00014071677) + 0.7014)
22,0.00059227983,((((sigma * 0.015005792) - (f - ((f * lambda_var) * (f - (sigma * sqrt(lambda_var)))))) * alpha_infinity) * -0.00014143065) + 0.7003396,0.005341571998559307,-0.00014143065*alpha_infinity*(f*lambda_var*(f - sqrt(lambda_var)*sigma) - f + 0.015005792*sigma) + 0.7003396,PySRFunction(X=>-0.00014143065*alpha_infinity*(f*lambda_var*(f - sqrt(lambda_var)*sigma) - f + 0.015005792*sigma) + 0.7003396)
23,0.00058536755,((((sigma * 0.015800914) - (f - ((f - (sigma * 0.015408812)) * ((lambda_var * f) * 1.4153156)))) * alpha_infinity) * -0.00014988284) + 0.7026673,0.01173926847582777,(sigma*0.015800914 - (-1.4153156*f*lambda_var*(f - 0.015408812*sigma) + f))*alpha_infinity*(-0.00014988284) + 0.7026673,PySRFunction(X=>(sigma*0.015800914 - (-1.4153156*f*lambda_var*(f - 0.015408812*sigma) + f))*alpha_infinity*(-0.00014988284) + 0.7026673)
25,0.00058488944,((((sigma * 0.015802633) - (f - (((f * 1.4152688) * lambda_var) * (f - (sigma * 0.015410521))))) * (alpha_infinity * -0.0001498644)) + 0.70288813) - lambda_prime,0.000408551310256353,(sigma*0.015802633 - (-1.4152688*f*lambda_var*(f - 0.015410521*sigma) + f))*alpha_infinity*(-0.0001498644) - lambda_prime + 0.70288813,PySRFunction(X=>(sigma*0.015802633 - (-1.4152688*f*lambda_var*(f - 0.015410521*sigma) + f))*alpha_infinity*(-0.0001498644) - lambda_prime + 0.70288813)
