complexity,loss,equation,score,sympy_format,lambda_format
1,0.024892988,0.2884327,0.0,0.288432700000000,PySRFunction(X=>0.288432700000000)
3,0.0026477035,f * 0.00076508836,1.120446748440005,f*0.00076508836,PySRFunction(X=>f*0.00076508836)
5,0.002287498,(f * 0.0008646431) - 0.046318218,0.0731170083280986,f*0.0008646431 - 1*0.046318218,PySRFunction(X=>f*0.0008646431 - 1*0.046318218)
6,0.0016590586,log(sigma) * (f * 7.10547e-5),0.32120831078231027,7.10547e-5*f*log(sigma),PySRFunction(X=>7.10547e-5*f*log(sigma))
7,0.0009771385,f * (0.00093655 - (7.43034 / sigma)),0.5293772095630302,f*(0.00093655 - 7.43034/sigma),PySRFunction(X=>f*(0.00093655 - 7.43034/sigma))
8,0.00094868965,(0.0011333397 - (0.079280734 / sqrt(sigma))) * f,0.02954668581355192,f*(0.0011333397 - 0.079280734/sqrt(sigma)),PySRFunction(X=>f*(0.0011333397 - 0.079280734/sqrt(sigma)))
9,0.0006182686,((0.0010358472 - (7.4268637 / sigma)) * f) - 0.046233032,0.42815872580737335,f*(0.0010358472 - 7.4268637/sigma) - 1*0.046233032,PySRFunction(X=>f*(0.0010358472 - 7.4268637/sigma) - 1*0.046233032)
10,0.0005825651,(f * 0.0008639009) - (-0.11059313 - (-33.702984 / sqrt(sigma))),0.05948205201422551,0.0008639009*f + 0.11059313 - 33.702984/sqrt(sigma),PySRFunction(X=>0.0008639009*f + 0.11059313 - 33.702984/sqrt(sigma))
11,0.0005783787,((f * 0.0008638767) - -0.27887198) - (4.8043118 / sqrt(sqrt(sigma))),0.007212094411532726,0.0008638767*f + 0.27887198 - 4.8043118/sigma**(1/4),PySRFunction(X=>0.0008638767*f + 0.27887198 - 4.8043118/sigma**(1/4))
13,0.0005583918,((f * 0.0008636976) - -0.3128371) - (5.864288 / (alpha_infinity + sqrt(sqrt(sigma)))),0.0175839889568719,0.0008636976*f + 0.3128371 - 5.864288/(alpha_infinity + sigma**(1/4)),PySRFunction(X=>0.0008636976*f + 0.3128371 - 5.864288/(alpha_infinity + sigma**(1/4)))
14,0.00055836595,((f * 0.0008637958) - -0.30975798) - (5.7060595 / (sqrt(sqrt(sigma)) + sqrt(alpha_infinity))),4.62947313410409e-05,0.0008637958*f + 0.30975798 - 5.7060595/(sqrt(alpha_infinity) + sigma**(1/4)),PySRFunction(X=>0.0008637958*f + 0.30975798 - 5.7060595/(sqrt(alpha_infinity) + sigma**(1/4)))
15,0.0005580669,lambda_prime + (((f * 0.0008636976) - -0.31263933) - (5.86413 / (alpha_infinity + sqrt(sqrt(sigma))))),0.0005357241273442593,0.0008636976*f + lambda_prime + 0.31263933 - 5.86413/(alpha_infinity + sigma**(1/4)),PySRFunction(X=>0.0008636976*f + lambda_prime + 0.31263933 - 5.86413/(alpha_infinity + sigma**(1/4)))
16,0.0005515086,sqrt(lambda_prime) + (((f * 0.0008636429) - -0.29900646) - (5.8589754 / (alpha_infinity + sqrt(sqrt(sigma))))),0.01182141526093093,0.0008636429*f + sqrt(lambda_prime) + 0.29900646 - 5.8589754/(alpha_infinity + sigma**(1/4)),PySRFunction(X=>0.0008636429*f + sqrt(lambda_prime) + 0.29900646 - 5.8589754/(alpha_infinity + sigma**(1/4)))
17,0.00048135789,(f * 0.0007883989) - ((((sigma * 0.00012404146) / f) + -2.194296) - (-7.1855536 / sqrt(log(sigma)))),0.13604638491814228,0.0007883989*f + 2.194296 - 7.1855536/sqrt(log(sigma)) - 0.00012404146*sigma/f,PySRFunction(X=>0.0007883989*f + 2.194296 - 7.1855536/sqrt(log(sigma)) - 0.00012404146*sigma/f)
18,0.00048096405,(f * 0.00078801817) - ((0.00012465444 / (f / sigma)) - (0.8214813 - (3.1384282 / sqrt(sqrt(sqrt(sigma)))))),0.0008185203009891462,0.00078801817*f + 0.8214813 - 3.1384282/sigma**(1/8) - 0.00012465444*sigma/f,PySRFunction(X=>0.00078801817*f + 0.8214813 - 3.1384282/sigma**(1/8) - 0.00012465444*sigma/f)
19,0.00047974248,(((alpha_infinity + f) * 0.0007935705) - (sigma * (0.00011637264 / f))) - (-2.1368537 - (-7.0123663 / sqrt(log(sigma)))),0.0025430672535218207,0.0007935705*alpha_infinity + 0.0007935705*f + 2.1368537 - 7.0123663/sqrt(log(sigma)) - 0.00011637264*sigma/f,PySRFunction(X=>0.0007935705*alpha_infinity + 0.0007935705*f + 2.1368537 - 7.0123663/sqrt(log(sigma)) - 0.00011637264*sigma/f)
21,0.00047615237,((f + log(log(alpha_infinity))) * 0.00078837865) - ((((sigma / f) * 0.00012405978) + -2.1951184) - (-7.1852555 / sqrt(log(sigma)))),0.0037557759417841076,0.00078837865*f + 0.00078837865*log(log(alpha_infinity)) + 2.1951184 - 7.1852555/sqrt(log(sigma)) - 0.00012405978*sigma/f,PySRFunction(X=>0.00078837865*f + 0.00078837865*log(log(alpha_infinity)) + 2.1951184 - 7.1852555/sqrt(log(sigma)) - 0.00012405978*sigma/f)
