complexity,loss,equation,score,sympy_format,lambda_format
1,0.004504258,0.7341237,0.0,0.734123700000000,PySRFunction(X=>0.734123700000000)
3,0.0044746976,f * 0.0006419286,0.0032921987939710036,f*0.0006419286,PySRFunction(X=>f*0.0006419286)
4,0.004455044,0.7436851 - sqrt(lambda_var),0.004401836607293031,0.7436851 - sqrt(lambda_var),PySRFunction(X=>0.7436851 - sqrt(lambda_var))
5,0.0030982085,(sigma * -1.6334197e-6) + 0.82384896,0.3632128962023473,0.82384896 + sigma*(-1.6334197e-6),PySRFunction(X=>0.82384896 + sigma*(-1.6334197e-6))
7,0.0028245202,(-0.0019849853 / (f / sigma)) + 0.8303,0.04624276587449453,0.8303 - 0.0019849853*sigma/f,PySRFunction(X=>0.8303 - 0.0019849853*sigma/f)
8,0.002758376,(alpha_infinity * (17.373198 / sqrt(sigma))) + 0.60994697,0.023696408712543488,17.373198*alpha_infinity/sqrt(sigma) + 0.60994697,PySRFunction(X=>17.373198*alpha_infinity/sqrt(sigma) + 0.60994697)
9,0.002547311,sqrt((alpha_infinity * sqrt(f / sigma)) + 0.3015277),0.07960380777355786,sqrt(alpha_infinity*sqrt(f/sigma) + 0.3015277),PySRFunction(X=>sqrt(alpha_infinity*sqrt(f/sigma) + 0.3015277))
10,0.0024729036,sqrt(sqrt((alpha_infinity * sqrt(f / sigma)) + 0.057884563)),0.029645286195014837,(alpha_infinity*sqrt(f/sigma) + 0.057884563)**(1/4),PySRFunction(X=>(alpha_infinity*sqrt(f/sigma) + 0.057884563)**(1/4))
12,0.0023994464,sqrt(sqrt((sqrt((f / sigma) - 0.0043481058) * alpha_infinity) + 0.07936883)),0.015077481352585586,(alpha_infinity*sqrt(f/sigma - 0.0043481058) + 0.07936883)**(1/4),PySRFunction(X=>(alpha_infinity*sqrt(f/sigma - 0.0043481058) + 0.07936883)**(1/4))
13,0.0021921587,((alpha_infinity - 12.927504) / (5745.4146 / ((sigma / f) - -433.77322))) + 1.689925,0.09035127797950751,1.689925 + (alpha_infinity - 1*12.927504)/((5745.4146/(-1*(-433.77322) + sigma/f))),PySRFunction(X=>1.689925 + (alpha_infinity - 1*12.927504)/((5745.4146/(-1*(-433.77322) + sigma/f))))
16,0.0021696163,(((alpha_infinity - 8.575492) / (3552.6187 / ((sigma / f) - -238.1463))) - sqrt(lambda_var)) + 1.3112776,0.003445478152918674,-sqrt(lambda_var) + (0.0670340163440563 + 0.000281482501907677*sigma/f)*(alpha_infinity - 8.575492) + 1.3112776,PySRFunction(X=>-sqrt(lambda_var) + (0.0670340163440563 + 0.000281482501907677*sigma/f)*(alpha_infinity - 8.575492) + 1.3112776)
17,0.0019182528,((alpha_infinity - 6.6593647) / (2598.5178 / (((sigma / f) - -323.02103) - (f / 12.072835)))) + 1.2800122,0.12313555990299425,(alpha_infinity - 1*6.6593647)/((2598.5178/(-f/12.072835 - 1*(-323.02103) + sigma/f))) + 1.2800122,PySRFunction(X=>(alpha_infinity - 1*6.6593647)/((2598.5178/(-f/12.072835 - 1*(-323.02103) + sigma/f))) + 1.2800122)
18,0.0018550444,(-0.0019166648 / (f / sigma)) + (1.0840895 - sqrt(0.3198586 / ((alpha_infinity / -68.519775) / (-5.061292 / f)))),0.03350614065540166,-10.5321655501271*sqrt(1/(alpha_infinity*f)) + 1.0840895 - 0.0019166648*sigma/f,PySRFunction(X=>-10.5321655501271*sqrt(1/(alpha_infinity*f)) + 1.0840895 - 0.0019166648*sigma/f)
19,0.0018332086,((-0.0014647314 / (f / sigma)) + 0.63377005) / sqrt(1.615211 / sqrt((alpha_infinity / -98.97429) / (-2.3149421 / f))),0.011840866190825737,0.202241247806429*(alpha_infinity*f)**(1/4)*(0.63377005 - 0.0014647314*sigma/f),PySRFunction(X=>0.202241247806429*(alpha_infinity*f)**(1/4)*(0.63377005 - 0.0014647314*sigma/f))
20,0.001568909,(((alpha_infinity * -0.0012520024) / (f / sigma)) - sqrt(2.2891948 / ((alpha_infinity / -46.719387) / (-3.0335038 / f)))) + 1.2653449,0.15568729154849903,-0.0012520024*alpha_infinity*sigma/f - 18.0120114730014*sqrt(1/(alpha_infinity*f)) + 1.2653449,PySRFunction(X=>-0.0012520024*alpha_infinity*sigma/f - 18.0120114730014*sqrt(1/(alpha_infinity*f)) + 1.2653449)
22,0.001568273,((alpha_infinity * -0.001256399) / (f / sigma)) + (1.2706293 - sqrt(lambda_var + (1.07127 / ((alpha_infinity / -73.353165) / (-4.2233596 / f))))),0.00020272971370901793,-0.001256399*alpha_infinity*sigma/f - sqrt(lambda_var + 331.876011072517/(alpha_infinity*f)) + 1.2706293,PySRFunction(X=>-0.001256399*alpha_infinity*sigma/f - sqrt(lambda_var + 331.876011072517/(alpha_infinity*f)) + 1.2706293)
23,0.0014804893,(((log(alpha_infinity) * -0.004185499) / (f / sigma)) + 1.4525169) - (1.3810331 / sqrt((alpha_infinity / -107.84237) / (-3.3383024 / (f + alpha_infinity)))),0.05760237267087006,1.4525169 - 14.3416394291741/sqrt(-alpha_infinity*(-0.299553449681491*alpha_infinity - 0.299553449681491*f)) - 0.004185499*sigma*log(alpha_infinity)/f,PySRFunction(X=>1.4525169 - 14.3416394291741/sqrt(-alpha_infinity*(-0.299553449681491*alpha_infinity - 0.299553449681491*f)) - 0.004185499*sigma*log(alpha_infinity)/f)
25,0.0014792188,((log(alpha_infinity) * (-0.004185499 / (f / sigma))) + 1.4525169) - (1.3810331 / sqrt((alpha_infinity / -107.84237) / (-3.3383024 / (alpha_infinity + (f + alpha_infinity))))),0.000429265331279735,1.4525169 - 14.3416394291741/sqrt(-alpha_infinity*(-0.599106899362982*alpha_infinity - 0.299553449681491*f)) - 0.004185499*sigma*log(alpha_infinity)/f,PySRFunction(X=>1.4525169 - 14.3416394291741/sqrt(-alpha_infinity*(-0.599106899362982*alpha_infinity - 0.299553449681491*f)) - 0.004185499*sigma*log(alpha_infinity)/f)
27,0.0014771676,(((log(alpha_infinity) * -0.004088206) / (f / sigma)) + 1.4466037) - (1.3720828 / sqrt((alpha_infinity / -107.84231) / (-3.3365865 / (((alpha_infinity + f) + alpha_infinity) + alpha_infinity)))),0.00069382010725665,1.4466037 - 14.2486891230147/sqrt(-alpha_infinity*(-0.899122501394764*alpha_infinity - 0.299707500464921*f)) - 0.004088206*sigma*log(alpha_infinity)/f,PySRFunction(X=>1.4466037 - 14.2486891230147/sqrt(-alpha_infinity*(-0.899122501394764*alpha_infinity - 0.299707500464921*f)) - 0.004088206*sigma*log(alpha_infinity)/f)
28,0.0014758973,(((log(alpha_infinity) * -0.0041108956) / (f / sigma)) + 1.4495382) - (1.3825467 / sqrt((alpha_infinity / -107.84238) / (-3.3386164 / ((alpha_infinity + (alpha_infinity + f)) + log(sigma))))),0.0008603265565563779,1.4495382 - 14.3573584041531/sqrt(-alpha_infinity*(-0.59905055279786*alpha_infinity - 0.29952527639893*f - 0.29952527639893*log(sigma))) - 0.0041108956*sigma*log(alpha_infinity)/f,PySRFunction(X=>1.4495382 - 14.3573584041531/sqrt(-alpha_infinity*(-0.59905055279786*alpha_infinity - 0.29952527639893*f - 0.29952527639893*log(sigma))) - 0.0041108956*sigma*log(alpha_infinity)/f)
