complexity,loss,equation,score,sympy_format,lambda_format
1,0.0040970813,0.6097902,0.0,0.609790200000000,PySRFunction(X=>0.609790200000000)
3,0.0025172802,f * 0.00072475005,0.2435479045975889,f*0.00072475005,PySRFunction(X=>f*0.00072475005)
4,0.0023148886,sqrt(f) * 0.021106329,0.08381746753078534,0.021106329*sqrt(f),PySRFunction(X=>0.021106329*sqrt(f))
5,0.002163917,(f * 0.00050850684) + 0.18329495,0.06744156007969256,f*0.00050850684 + 0.18329495,PySRFunction(X=>f*0.00050850684 + 0.18329495)
6,0.0021561594,(alpha_infinity + sqrt(f)) * 0.02004476,0.0035914218268575148,0.02004476*alpha_infinity + 0.02004476*sqrt(f),PySRFunction(X=>0.02004476*alpha_infinity + 0.02004476*sqrt(f))
7,0.0018561112,(f * 0.0005911258) + (alpha_infinity * 0.07353231),0.14984503716112052,alpha_infinity*0.07353231 + f*0.0005911258,PySRFunction(X=>alpha_infinity*0.07353231 + f*0.0005911258)
8,0.0017950537,(f * 0.0005066677) - (sqrt(alpha_infinity) * -0.14972456),0.033448608435057633,0.14972456*sqrt(alpha_infinity) + 0.0005066677*f,PySRFunction(X=>0.14972456*sqrt(alpha_infinity) + 0.0005066677*f)
9,0.0017925086,(f * 0.0005092858) - ((alpha_infinity * -0.061883166) + -0.08731406),0.0014188466786861018,f*0.0005092858 - (alpha_infinity*(-0.061883166) - 0.08731406),PySRFunction(X=>f*0.0005092858 - (alpha_infinity*(-0.061883166) - 0.08731406))
10,0.0017062912,(0.08778291 - sqrt(lambda_var)) * (alpha_infinity + (f * 0.0074464655)),0.049293965068852,(0.08778291 - sqrt(lambda_var))*(alpha_infinity + 0.0074464655*f),PySRFunction(X=>(0.08778291 - sqrt(lambda_var))*(alpha_infinity + 0.0074464655*f))
11,0.0015424431,(0.07440006 - sqrt(sqrt(k0_prime))) * (alpha_infinity + (f * 0.009108387)),0.10095453823129381,(0.07440006 - k0_prime**(1/4))*(alpha_infinity + 0.009108387*f),PySRFunction(X=>(0.07440006 - k0_prime**(1/4))*(alpha_infinity + 0.009108387*f))
13,0.0014741723,((alpha_infinity + (f * 0.008475178)) + phi) * (0.071722806 - sqrt(sqrt(k0_prime))),0.022635454102033156,(0.071722806 - k0_prime**(1/4))*(alpha_infinity + 0.008475178*f + phi),PySRFunction(X=>(0.071722806 - k0_prime**(1/4))*(alpha_infinity + 0.008475178*f + phi))
15,0.0014552919,(0.0727655 - sqrt(lambda_var + sqrt(k0_prime))) * ((f * 0.010190674) + (alpha_infinity - -0.038586307)),0.006445090342725734,(0.0727655 - sqrt(sqrt(k0_prime) + lambda_var))*(alpha_infinity + 0.010190674*f + 0.038586307),PySRFunction(X=>(0.0727655 - sqrt(sqrt(k0_prime) + lambda_var))*(alpha_infinity + 0.010190674*f + 0.038586307))
17,0.0013714809,(alpha_infinity + (f * 0.0070721)) * (0.099957876 - sqrt(lambda_var + sqrt(alpha_infinity / (0.109279804 / k0_prime)))),0.029657697059199552,(0.099957876 - sqrt(lambda_var + 3.02503250947684*sqrt(alpha_infinity*k0_prime)))*(alpha_infinity + 0.0070721*f),PySRFunction(X=>(0.099957876 - sqrt(lambda_var + 3.02503250947684*sqrt(alpha_infinity*k0_prime)))*(alpha_infinity + 0.0070721*f))
19,0.001359681,((0.10120767 - sqrt(lambda_var + (alpha_infinity / (0.4401101 / sqrt(k0_prime))))) * (alpha_infinity + (0.0063227983 * f))) - -0.040894847,0.004320495764669069,(0.10120767 - sqrt(2.2721587166484*alpha_infinity*sqrt(k0_prime) + lambda_var))*(alpha_infinity + 0.0063227983*f) + 0.040894847,PySRFunction(X=>(0.10120767 - sqrt(2.2721587166484*alpha_infinity*sqrt(k0_prime) + lambda_var))*(alpha_infinity + 0.0063227983*f) + 0.040894847)
20,0.0012382715,((0.10117989 - sqrt((1.263232 / (sigma * 0.07757859)) + (sigma * k0_prime))) * (alpha_infinity + (f * 0.006344498))) + 0.088518634,0.09353365786152319,(0.10117989 - sqrt(k0_prime*sigma + 16.2832554703559/sigma))*(alpha_infinity + 0.006344498*f) + 0.088518634,PySRFunction(X=>(0.10117989 - sqrt(k0_prime*sigma + 16.2832554703559/sigma))*(alpha_infinity + 0.006344498*f) + 0.088518634)
22,0.0011803706,(0.107442886 - sqrt((k0_prime * ((alpha_infinity * 0.42877972) * sigma)) + (1.1797748 / (sigma * 0.10033318)))) * (alpha_infinity + (f * 0.0065731336)),0.023943999292233797,(0.107442886 - sqrt(0.42877972*alpha_infinity*k0_prime*sigma + 11.7585707938291/sigma))*(alpha_infinity + 0.0065731336*f),PySRFunction(X=>(0.107442886 - sqrt(0.42877972*alpha_infinity*k0_prime*sigma + 11.7585707938291/sigma))*(alpha_infinity + 0.0065731336*f))
24,0.0011506432,(((0.006575 * f) + alpha_infinity) + 0.6442051) * (0.09755754 - sqrt((1.6513059 / (sigma * 0.18411005)) + ((sigma * alpha_infinity) * (0.32808265 * k0_prime)))),0.01275368329730636,(0.09755754 - sqrt(0.32808265*alpha_infinity*k0_prime*sigma + 8.96912417328658/sigma))*(alpha_infinity + 0.006575*f + 0.6442051),PySRFunction(X=>(0.09755754 - sqrt(0.32808265*alpha_infinity*k0_prime*sigma + 8.96912417328658/sigma))*(alpha_infinity + 0.006575*f + 0.6442051))
26,0.0011342806,(0.09673452 - sqrt((1.6519746 / (sigma * 0.17886157)) + (sigma * ((alpha_infinity * 0.32828906) * k0_prime)))) * ((alpha_infinity + 0.79692715) + (f * (0.0067004478 - lambda_prime))),0.007161236496579503,(0.09673452 - sqrt(0.32828906*alpha_infinity*k0_prime*sigma + 9.23605109806427/sigma))*(alpha_infinity + f*(0.0067004478 - lambda_prime) + 0.79692715),PySRFunction(X=>(0.09673452 - sqrt(0.32828906*alpha_infinity*k0_prime*sigma + 9.23605109806427/sigma))*(alpha_infinity + f*(0.0067004478 - lambda_prime) + 0.79692715))
