complexity,loss,equation,score,sympy_format,lambda_format
1,0.008430723,0.6724826,0.0,0.672482600000000,PySRFunction(X=>0.672482600000000)
3,0.005120577,f * 0.00067233667,0.24930770272321218,f*0.00067233667,PySRFunction(X=>f*0.00067233667)
4,0.0043187807,sqrt(f * 0.00041920686),0.17029401096734909,0.0204745417531138*sqrt(f),PySRFunction(X=>0.0204745417531138*sqrt(f))
5,0.0031270995,(f * 0.00041920686) + 0.25800374,0.322867219442024,f*0.00041920686 + 0.25800374,PySRFunction(X=>f*0.00041920686 + 0.25800374)
6,0.0030517103,1.482338 - (25.161581 / sqrt(f)),0.02440371005105139,1.482338 - 25.161581/sqrt(f),PySRFunction(X=>1.482338 - 25.161581/sqrt(f))
8,0.0027503415,1.5404019 - (28.315186 / (alpha_infinity + sqrt(f))),0.0519885508835571,1.5404019 - 28.315186/(alpha_infinity + sqrt(f)),PySRFunction(X=>1.5404019 - 28.315186/(alpha_infinity + sqrt(f)))
10,0.0027443536,1.5404019 - (28.315186 / ((alpha_infinity * 1.089657) + sqrt(f))),0.0010897606257290631,1.5404019 - 28.315186/(1.089657*alpha_infinity + sqrt(f)),PySRFunction(X=>1.5404019 - 28.315186/(1.089657*alpha_infinity + sqrt(f)))
11,0.0027393978,1.484128 - (25.237816 / (log(alpha_infinity + -0.57839876) + sqrt(f))),0.0018074493125869757,1.484128 - 25.237816/(sqrt(f) + log(alpha_infinity - 0.57839876)),PySRFunction(X=>1.484128 - 25.237816/(sqrt(f) + log(alpha_infinity - 0.57839876)))
13,0.0026622687,2.168694 - (8.14637 / sqrt(sqrt(f - ((2.4962883 - alpha_infinity) * 93.60542)))),0.014279730600142267,2.168694 - 8.14637/(93.60542*alpha_infinity + f - 233.666114762586)**(1/4),PySRFunction(X=>2.168694 - 8.14637/(93.60542*alpha_infinity + f - 233.666114762586)**(1/4))
15,0.0025541019,2.2221887 - (9.277617 / sqrt(sqrt(f - (f * ((0.15170178 - alpha_infinity) * 0.23518394))))),0.020738999504534644,2.2221887 - 9.277617/(-f*(0.0356778223254132 - 0.23518394*alpha_infinity) + f)**(1/4),PySRFunction(X=>2.2221887 - 9.277617/(-f*(0.0356778223254132 - 0.23518394*alpha_infinity) + f)**(1/4))
16,0.0025427884,2.289661 - (8.946683 / sqrt(sqrt(f - ((sqrt(h) * (1.729063 - alpha_infinity)) * f)))),0.004439380843895543,2.289661 - 8.946683/(-f*sqrt(h)*(1.729063 - alpha_infinity) + f)**(1/4),PySRFunction(X=>2.289661 - 8.946683/(-f*sqrt(h)*(1.729063 - alpha_infinity) + f)**(1/4))
17,0.0025411793,2.2815163 - (9.261411 / sqrt(sqrt(f - ((0.87136 - alpha_infinity) * ((f * 0.20932877) - 9.263975))))),0.0006330095502891654,2.2815163 - 9.261411/(f - (0.87136 - alpha_infinity)*(0.20932877*f - 9.263975))**(1/4),PySRFunction(X=>2.2815163 - 9.261411/(f - (0.87136 - alpha_infinity)*(0.20932877*f - 9.263975))**(1/4))
19,0.0025354445,2.3148863 - (9.063269 / sqrt(sqrt(f - (((f * h) * sqrt(sqrt(f))) * (1.7938685 - alpha_infinity))))),0.001129648889761151,2.3148863 - 9.063269/(-f**(5/4)*h*(1.7938685 - alpha_infinity) + f)**(1/4),PySRFunction(X=>2.3148863 - 9.063269/(-f**(5/4)*h*(1.7938685 - alpha_infinity) + f)**(1/4))
21,0.0025345187,2.3115363 - ((9.046179 / sqrt(sqrt(f - (((h * (1.7906743 - alpha_infinity)) * f) * sqrt(sqrt(f)))))) + lambda_var),0.00018260487774153029,-lambda_var + 2.3115363 - 9.046179/(-f**(5/4)*h*(1.7906743 - alpha_infinity) + f)**(1/4),PySRFunction(X=>-lambda_var + 2.3115363 - 9.046179/(-f**(5/4)*h*(1.7906743 - alpha_infinity) + f)**(1/4))
24,0.0025339436,(2.3115363 - (9.046179 / sqrt(sqrt(f - (((1.7906743 - alpha_infinity) * f) * (h * sqrt(sqrt(f * sqrt(alpha_infinity))))))))) - lambda_var,7.564424453655658e-05,-lambda_var + 2.3115363 - 9.046179/(-f*h*(sqrt(alpha_infinity)*f)**(1/4)*(1.7906743 - alpha_infinity) + f)**(1/4),PySRFunction(X=>-lambda_var + 2.3115363 - 9.046179/(-f*h*(sqrt(alpha_infinity)*f)**(1/4)*(1.7906743 - alpha_infinity) + f)**(1/4))
