Complexity,Loss,Equation
1,0.008430723,"0.6724826"
3,0.005120577,"f * 0.00067233667"
4,0.0043187807,"sqrt(f * 0.00041920686)"
5,0.0031270995,"(f * 0.00041920686) + 0.25800374"
6,0.0030517103,"1.482338 - (25.161581 / sqrt(f))"
8,0.0027503415,"1.5404019 - (28.315186 / (alpha_infinity + sqrt(f)))"
10,0.0027443536,"1.5404019 - (28.315186 / ((alpha_infinity * 1.089657) + sqrt(f)))"
11,0.0027393978,"1.484128 - (25.237816 / (log(alpha_infinity + -0.57839876) + sqrt(f)))"
13,0.0026622687,"2.168694 - (8.14637 / sqrt(sqrt(f - ((2.4962883 - alpha_infinity) * 93.60542))))"
15,0.0025541019,"2.2221887 - (9.277617 / sqrt(sqrt(f - (f * ((0.15170178 - alpha_infinity) * 0.23518394)))))"
16,0.0025427884,"2.289661 - (8.946683 / sqrt(sqrt(f - ((sqrt(h) * (1.729063 - alpha_infinity)) * f))))"
17,0.0025411793,"2.2815163 - (9.261411 / sqrt(sqrt(f - ((0.87136 - alpha_infinity) * ((f * 0.20932877) - 9.263975)))))"
19,0.0025354445,"2.3148863 - (9.063269 / sqrt(sqrt(f - (((f * h) * sqrt(sqrt(f))) * (1.7938685 - alpha_infinity)))))"
21,0.0025345187,"2.3115363 - ((9.046179 / sqrt(sqrt(f - (((h * (1.7906743 - alpha_infinity)) * f) * sqrt(sqrt(f)))))) + lambda_var)"
24,0.0025339436,"(2.3115363 - (9.046179 / sqrt(sqrt(f - (((1.7906743 - alpha_infinity) * f) * (h * sqrt(sqrt(f * sqrt(alpha_infinity))))))))) - lambda_var"
