complexity,loss,equation,score,sympy_format,lambda_format
1,0.0069106505,0.8580202,0.0,0.858020200000000,PySRFunction(X=>0.858020200000000)
3,0.0069105434,0.85808015 - lambda_var,7.748968777715495e-06,0.85808015 - lambda_var,PySRFunction(X=>0.85808015 - lambda_var)
4,0.006910313,0.85808015 - sqrt(k0_prime),3.33409151144838e-05,0.85808015 - sqrt(k0_prime),PySRFunction(X=>0.85808015 - sqrt(k0_prime))
5,0.00064340053,1.0429487 - (sigma * 3.409771e-6),2.374002773853922,1.0429487 - 3.409771e-6*sigma,PySRFunction(X=>1.0429487 - 3.409771e-6*sigma)
7,0.00062653254,1.0412217 - ((sigma * 0.0061766244) / f),0.013283363110264224,1.0412217 - 0.0061766244*sigma/f,PySRFunction(X=>1.0412217 - 0.0061766244*sigma/f)
9,0.00061590003,1.036644 - (((sigma / f) - alpha_infinity) * 0.006153835),0.008558025465344973,1.036644 - 0.006153835*(-alpha_infinity + sigma/f),PySRFunction(X=>1.036644 - 0.006153835*(-alpha_infinity + sigma/f))
10,0.0004909076,1.0195621 - ((log(alpha_infinity) * -0.058452744) + (sigma * 3.4258119e-6)),0.22682873868985612,-3.4258119e-6*sigma + 0.058452744*log(alpha_infinity) + 1.0195621,PySRFunction(X=>-3.4258119e-6*sigma + 0.058452744*log(alpha_infinity) + 1.0195621)
11,0.00048216333,1.0090687 - ((sqrt(log(alpha_infinity)) * -0.05674014) + (sigma * 3.430453e-6)),0.01797300714030192,-3.430453e-6*sigma + 0.05674014*sqrt(log(alpha_infinity)) + 1.0090687,PySRFunction(X=>-3.430453e-6*sigma + 0.05674014*sqrt(log(alpha_infinity)) + 1.0090687)
12,0.00047560662,(1.0179732 - (log(alpha_infinity) * -0.058148455)) + (sigma * (-0.006206182 / f)),0.01369183159240745,0.058148455*log(alpha_infinity) + 1.0179732 - 0.006206182*sigma/f,PySRFunction(X=>0.058148455*log(alpha_infinity) + 1.0179732 - 0.006206182*sigma/f)
14,0.0004752951,1.0181633 - (lambda_prime + ((log(alpha_infinity) * -0.058149714) + ((sigma * 0.006206352) / f))),0.00032760484558236357,-lambda_prime + 0.058149714*log(alpha_infinity) + 1.0181633 - 0.006206352*sigma/f,PySRFunction(X=>-lambda_prime + 0.058149714*log(alpha_infinity) + 1.0181633 - 0.006206352*sigma/f)
16,0.00047502542,(1.0182235 - ((lambda_prime + (log(alpha_infinity) * -0.05802928)) + (sigma * (0.006206634 / f)))) - lambda_prime,0.0002837779481380719,-2*lambda_prime + 0.05802928*log(alpha_infinity) + 1.0182235 - 0.006206634*sigma/f,PySRFunction(X=>-2*lambda_prime + 0.05802928*log(alpha_infinity) + 1.0182235 - 0.006206634*sigma/f)
17,0.00046333205,1.8886409 - (((log(alpha_infinity) * -0.7172856) + ((sigma * 0.0062165377) / f)) + sqrt(alpha_infinity - 0.21975735)),0.02492435072357683,-sqrt(alpha_infinity - 0.21975735) + 0.7172856*log(alpha_infinity) + 1.8886409 - 0.0062165377*sigma/f,PySRFunction(X=>-sqrt(alpha_infinity - 0.21975735) + 0.7172856*log(alpha_infinity) + 1.8886409 - 0.0062165377*sigma/f)
19,0.00046126166,1.7186289 - ((sqrt(alpha_infinity - 0.28132427) + (sigma * (0.006209293 / f))) + (log(alpha_infinity + 0.1837091) * -0.82711184)),0.002239246750301474,-sqrt(alpha_infinity - 0.28132427) + 0.82711184*log(alpha_infinity + 0.1837091) + 1.7186289 - 0.006209293*sigma/f,PySRFunction(X=>-sqrt(alpha_infinity - 0.28132427) + 0.82711184*log(alpha_infinity + 0.1837091) + 1.7186289 - 0.006209293*sigma/f)
21,0.00046112368,1.7774324 - ((((sigma * 0.006213578) / f) + (sqrt(alpha_infinity - 0.34036088) + lambda_var)) + (log(alpha_infinity + 0.057094086) * -0.78164625)),0.00014959040982716004,-lambda_var - sqrt(alpha_infinity - 0.34036088) + 0.78164625*log(alpha_infinity + 0.057094086) + 1.7774324 - 0.006213578*sigma/f,PySRFunction(X=>-lambda_var - sqrt(alpha_infinity - 0.34036088) + 0.78164625*log(alpha_infinity + 0.057094086) + 1.7774324 - 0.006213578*sigma/f)
