complexity,loss,equation,score,sympy_format,lambda_format
1,0.024951994,0.28692827,0.0,0.286928270000000,PySRFunction(X=>0.286928270000000)
3,0.0027705368,f * 0.0007617253,1.0989563234028983,f*0.0007617253,PySRFunction(X=>f*0.0007617253)
5,0.0023921288,(f * 0.0008637753) + -0.047476266,0.07342870562270533,f*0.0008637753 - 0.047476266,PySRFunction(X=>f*0.0008637753 - 0.047476266)
7,0.0023888221,((alpha_infinity + f) * 0.0008638416) + -0.048839305,0.0006916407627762841,(alpha_infinity + f)*0.0008638416 - 0.048839305,PySRFunction(X=>(alpha_infinity + f)*0.0008638416 - 0.048839305)
8,0.0015283348,(-9.637002 / sqrt(sigma)) - (f * -0.0008633287),0.44662162257613286,0.0008633287*f - 9.637002/sqrt(sigma),PySRFunction(X=>0.0008633287*f - 9.637002/sqrt(sigma))
9,0.00063292775,-0.047385447 - (f * ((7.5610723 / sigma) + -0.001041037)),0.8815777790637457,-f*(-0.001041037 + 7.5610723/sigma) - 0.047385447,PySRFunction(X=>-f*(-0.001041037 + 7.5610723/sigma) - 0.047385447)
10,0.00059931213,(0.84773344 - (f * -0.0008633287)) + (-9.637002 / log(sigma)),0.05457372906965042,0.0008633287*f + 0.84773344 - 9.637002/log(sigma),PySRFunction(X=>0.0008633287*f + 0.84773344 - 9.637002/log(sigma))
12,0.0005954455,(-9.637002 / log(sigma - f)) + (0.84773344 - (f * -0.0008633287)),0.003236341331892242,0.0008633287*f + 0.84773344 - 9.637002/log(-f + sigma),PySRFunction(X=>0.0008633287*f + 0.84773344 - 9.637002/log(-f + sigma))
14,0.0005860697,((-9.244911 / log(sigma - (f * 2.87839))) + 0.8112466) - (f * -0.00087121234),0.007935570196176033,0.00087121234*f + 0.8112466 - 9.244911/log(-2.87839*f + sigma),PySRFunction(X=>0.00087121234*f + 0.8112466 - 9.244911/log(-2.87839*f + sigma))
15,0.00056657876,((-8.964216 / log(sigma - (log(f) * f))) + 0.7843812) - (f * -0.00087792554),0.03382262455287706,0.00087792554*f + 0.7843812 - 8.964216/log(-f*log(f) + sigma),PySRFunction(X=>0.00087792554*f + 0.7843812 - 8.964216/log(-f*log(f) + sigma))
17,0.00056639186,((0.7843812 - lambda_var) + (-8.964216 / log(sigma - (f * log(f))))) - (f * -0.00087792554),0.0001649645616541831,0.00087792554*f - lambda_var + 0.7843812 - 8.964216/log(-f*log(f) + sigma),PySRFunction(X=>0.00087792554*f - lambda_var + 0.7843812 - 8.964216/log(-f*log(f) + sigma))
18,0.00053459115,(1.501014 + (-3.6866586 / log(log(sigma - (2.021262 * (log(sigma) * f)))))) - (f * -0.00091070787),0.05778392167274155,0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(sigma) + sigma)),PySRFunction(X=>0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(sigma) + sigma)))
20,0.000534007,(1.501014 + (-3.6866586 / log(log(sigma - ((f * 2.021262) * log(sigma - f)))))) - (f * -0.00091070787),0.0005466508230307849,0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(-f + sigma) + sigma)),PySRFunction(X=>0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(-f + sigma) + sigma)))
21,0.00053169124,((-4.0698276 / log(log(sigma - ((f - sqrt(f)) * (log(sigma) * 1.7574835))))) + 1.6628487) - (f * -0.0009040001),0.004346002570023187,0.0009040001*f + 1.6628487 - 4.0698276/log(log(sigma - 1.7574835*(-sqrt(f) + f)*log(sigma))),PySRFunction(X=>0.0009040001*f + 1.6628487 - 4.0698276/log(log(sigma - 1.7574835*(-sqrt(f) + f)*log(sigma))))
22,0.0005240728,(1.501014 + (-3.6866586 / log(log(sigma - ((f * 2.021262) * log((sigma / alpha_infinity) - f)))))) - (f * -0.00091070787),0.014432338949793353,0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(-f + sigma/alpha_infinity) + sigma)),PySRFunction(X=>0.00091070787*f + 1.501014 - 3.6866586/log(log(-2.021262*f*log(-f + sigma/alpha_infinity) + sigma)))
24,0.0005221499,((-3.8839936 / log(log((sigma - 1.2544328) - ((f * 1.9094108) * log((sigma / alpha_infinity) - f))))) + 1.5845374) - (f * -0.0009067243),0.0018379472795008946,0.0009067243*f + 1.5845374 - 3.8839936/log(log(-1.9094108*f*log(-f + sigma/alpha_infinity) + sigma - 1.2544328)),PySRFunction(X=>0.0009067243*f + 1.5845374 - 3.8839936/log(log(-1.9094108*f*log(-f + sigma/alpha_infinity) + sigma - 1.2544328)))
