complexity,loss,equation,score,sympy_format,lambda_format
1,0.0046172002,0.7357453,0.0,0.735745300000000,PySRFunction(X=>0.735745300000000)
3,0.004561853,f * 0.00064335926,0.00602980172060956,f*0.00064335926,PySRFunction(X=>f*0.00064335926)
5,0.003810372,1.1070877 - (421.0136 / f),0.09000103923303492,1.1070877 - 421.0136/f,PySRFunction(X=>1.1070877 - 421.0136/f)
7,0.0037922221,0.82842845 - ((h + -0.02999791) * sigma),0.00238733440747002,0.82842845 - sigma*(h - 0.02999791),PySRFunction(X=>0.82842845 - sigma*(h - 0.02999791))
8,0.0033831224,0.888448 - ((h + -0.029327841) * sqrt(sigma)),0.11415308330410504,-sqrt(sigma)*(h - 0.029327841) + 0.888448,PySRFunction(X=>-sqrt(sigma)*(h - 0.029327841) + 0.888448)
9,0.002919017,0.8215952 - ((h + -0.029997652) * (sigma / alpha_infinity)),0.14755215428126342,0.8215952 - sigma*(h - 0.029997652)/alpha_infinity,PySRFunction(X=>0.8215952 - sigma*(h - 0.029997652)/alpha_infinity)
12,0.0026687824,(0.7603977 - ((h + -0.02931524) * sqrt(sigma))) - (alpha_infinity * -0.08451252),0.02987485911033097,0.08451252*alpha_infinity - sqrt(sigma)*(h - 0.02931524) + 0.7603977,PySRFunction(X=>0.08451252*alpha_infinity - sqrt(sigma)*(h - 0.02931524) + 0.7603977)
14,0.0024796822,(0.7611788 - (sqrt(sigma * sqrt(lambda_var)) * 0.0069841444)) - (log(phi) * alpha_infinity),0.036745965816008384,-alpha_infinity*log(phi) - 0.0069841444*sqrt(sqrt(lambda_var)*sigma) + 0.7611788,PySRFunction(X=>-alpha_infinity*log(phi) - 0.0069841444*sqrt(sqrt(lambda_var)*sigma) + 0.7611788)
16,0.0024795418,((0.7611788 - (sqrt(sigma * sqrt(lambda_var)) * 0.0069841444)) - (log(phi) * alpha_infinity)) - lambda_prime,2.8310880903469166e-05,-alpha_infinity*log(phi) - lambda_prime - 0.0069841444*sqrt(sqrt(lambda_var)*sigma) + 0.7611788,PySRFunction(X=>-alpha_infinity*log(phi) - lambda_prime - 0.0069841444*sqrt(sqrt(lambda_var)*sigma) + 0.7611788)
17,0.0023731163,(0.5792439 - ((log(alpha_infinity) + (log(sigma * lambda_var) * alpha_infinity)) * 0.040635884)) - (alpha_infinity * -0.17150792),0.04386979909743761,-0.040635884*alpha_infinity*log(lambda_var*sigma) + 0.17150792*alpha_infinity - 0.040635884*log(alpha_infinity) + 0.5792439,PySRFunction(X=>-0.040635884*alpha_infinity*log(lambda_var*sigma) + 0.17150792*alpha_infinity - 0.040635884*log(alpha_infinity) + 0.5792439)
18,0.0023281097,(0.43741494 - (log(log(alpha_infinity) + (lambda_var * sigma)) * (log(alpha_infinity) * 0.16115548))) - (alpha_infinity * -0.26200137),0.019147335192951052,0.26200137*alpha_infinity - 0.16115548*log(alpha_infinity)*log(lambda_var*sigma + log(alpha_infinity)) + 0.43741494,PySRFunction(X=>0.26200137*alpha_infinity - 0.16115548*log(alpha_infinity)*log(lambda_var*sigma + log(alpha_infinity)) + 0.43741494)
