Complexity,Loss,Equation
1,0.0069106505,"0.8580202"
3,0.0069105434,"0.85808015 - lambda_var"
4,0.006910313,"0.85808015 - sqrt(k0_prime)"
5,0.00064340053,"1.0429487 - (sigma * 3.409771e-6)"
7,0.00062653254,"1.0412217 - ((sigma * 0.0061766244) / f)"
9,0.00061590003,"1.036644 - (((sigma / f) - alpha_infinity) * 0.006153835)"
10,0.0004909076,"1.0195621 - ((log(alpha_infinity) * -0.058452744) + (sigma * 3.4258119e-6))"
11,0.00048216333,"1.0090687 - ((sqrt(log(alpha_infinity)) * -0.05674014) + (sigma * 3.430453e-6))"
12,0.00047560662,"(1.0179732 - (log(alpha_infinity) * -0.058148455)) + (sigma * (-0.006206182 / f))"
14,0.0004752951,"1.0181633 - (lambda_prime + ((log(alpha_infinity) * -0.058149714) + ((sigma * 0.006206352) / f)))"
16,0.00047502542,"(1.0182235 - ((lambda_prime + (log(alpha_infinity) * -0.05802928)) + (sigma * (0.006206634 / f)))) - lambda_prime"
17,0.00046333205,"1.8886409 - (((log(alpha_infinity) * -0.7172856) + ((sigma * 0.0062165377) / f)) + sqrt(alpha_infinity - 0.21975735))"
19,0.00046126166,"1.7186289 - ((sqrt(alpha_infinity - 0.28132427) + (sigma * (0.006209293 / f))) + (log(alpha_infinity + 0.1837091) * -0.82711184))"
21,0.00046112368,"1.7774324 - ((((sigma * 0.006213578) / f) + (sqrt(alpha_infinity - 0.34036088) + lambda_var)) + (log(alpha_infinity + 0.057094086) * -0.78164625))"
