Complexity,Loss,Equation
1,0.024951994,"0.28692827"
3,0.0027705368,"f * 0.0007617253"
5,0.0023921288,"(f * 0.0008637753) + -0.047476266"
7,0.0023888221,"((alpha_infinity + f) * 0.0008638416) + -0.048839305"
8,0.0015283348,"(-9.637002 / sqrt(sigma)) - (f * -0.0008633287)"
9,0.00063292775,"-0.047385447 - (f * ((7.5610723 / sigma) + -0.001041037))"
10,0.00059931213,"(0.84773344 - (f * -0.0008633287)) + (-9.637002 / log(sigma))"
12,0.0005954455,"(-9.637002 / log(sigma - f)) + (0.84773344 - (f * -0.0008633287))"
14,0.0005860697,"((-9.244911 / log(sigma - (f * 2.87839))) + 0.8112466) - (f * -0.00087121234)"
15,0.00056657876,"((-8.964216 / log(sigma - (log(f) * f))) + 0.7843812) - (f * -0.00087792554)"
17,0.00056639186,"((0.7843812 - lambda_var) + (-8.964216 / log(sigma - (f * log(f))))) - (f * -0.00087792554)"
18,0.00053459115,"(1.501014 + (-3.6866586 / log(log(sigma - (2.021262 * (log(sigma) * f)))))) - (f * -0.00091070787)"
20,0.000534007,"(1.501014 + (-3.6866586 / log(log(sigma - ((f * 2.021262) * log(sigma - f)))))) - (f * -0.00091070787)"
21,0.00053169124,"((-4.0698276 / log(log(sigma - ((f - sqrt(f)) * (log(sigma) * 1.7574835))))) + 1.6628487) - (f * -0.0009040001)"
22,0.0005240728,"(1.501014 + (-3.6866586 / log(log(sigma - ((f * 2.021262) * log((sigma / alpha_infinity) - f)))))) - (f * -0.00091070787)"
24,0.0005221499,"((-3.8839936 / log(log((sigma - 1.2544328) - ((f * 1.9094108) * log((sigma / alpha_infinity) - f))))) + 1.5845374) - (f * -0.0009067243)"
