complexity,loss,equation,score,sympy_format,lambda_format
1,0.0069106505,0.85801107,0.0,0.858011070000000,PySRFunction(X=>0.858011070000000)
3,0.006910541,0.85811424 - lambda_var,7.922616512619754e-06,0.85811424 - lambda_var,PySRFunction(X=>0.85811424 - lambda_var)
4,0.006907795,0.86759436 - sqrt(lambda_var),0.0003974429390262974,0.86759436 - sqrt(lambda_var),PySRFunction(X=>0.86759436 - sqrt(lambda_var))
5,0.0006434005,(sigma * -3.4094255e-6) + 1.0429269,2.3736383711617957,1.0429269 + sigma*(-3.4094255e-6),PySRFunction(X=>1.0429269 + sigma*(-3.4094255e-6))
7,0.00062653254,(-0.006176833 / (f / sigma)) + 1.0412292,0.013283339796636666,1.0412292 - 0.006176833*sigma/f,PySRFunction(X=>1.0412292 - 0.006176833*sigma/f)
8,0.00060230616,(-0.00014593374 / (sqrt(f) / sigma)) + 1.0430338,0.03943482487411929,1.0430338 - 0.00014593374*sigma/sqrt(f),PySRFunction(X=>1.0430338 - 0.00014593374*sigma/sqrt(f))
9,0.000486946,(-0.09192182 / alpha_infinity) + ((sigma * -3.4917198e-6) + 1.1103599),0.2126126534810318,sigma*(-3.4917198e-6) + 1.1103599 - 0.09192182/alpha_infinity,PySRFunction(X=>sigma*(-3.4917198e-6) + 1.1103599 - 0.09192182/alpha_infinity)
10,0.0004838433,(sqrt(alpha_infinity) * ((sigma * -2.7500319e-6) + 0.24171771)) + 0.7437109,0.006392140013378995,sqrt(alpha_infinity)*(0.24171771 - 2.7500319e-6*sigma) + 0.7437109,PySRFunction(X=>sqrt(alpha_infinity)*(0.24171771 - 2.7500319e-6*sigma) + 0.7437109)
12,0.00047528784,(sqrt(alpha_infinity) * ((-0.0049830577 / (f / sigma)) + 0.24012327)) + 0.7440247,0.008920247256727387,sqrt(alpha_infinity)*(0.24012327 - 0.0049830577*sigma/f) + 0.7440247,PySRFunction(X=>sqrt(alpha_infinity)*(0.24012327 - 0.0049830577*sigma/f) + 0.7440247)
13,0.00046852982,(((alpha_infinity / f) * 70.08023) + 0.98375857) + (-0.006238796 / (f / sigma)),0.01432084985136441,alpha_infinity*70.08023/f + 0.98375857 - 0.006238796*sigma/f,PySRFunction(X=>alpha_infinity*70.08023/f + 0.98375857 - 0.006238796*sigma/f)
14,0.0004037746,(1.8718905e-5 / (-4.55168 / sigma)) + ((-20.040266 / (alpha_infinity * sqrt(sigma))) - -1.1446031),0.14874294812619068,-4.11252658359111e-6*sigma + 1.1446031 - 20.040266/(alpha_infinity*sqrt(sigma)),PySRFunction(X=>-4.11252658359111e-6*sigma + 1.1446031 - 20.040266/(alpha_infinity*sqrt(sigma)))
16,0.00038213693,((3.6676225e-5 / (-9.0547 / sigma)) + (-9.054843 / ((sqrt(sigma) * alpha_infinity) + -77.488106))) + 1.1182617,0.02753890079960919,-4.05051796304682e-6*sigma + 1.1182617 - 9.054843/(alpha_infinity*sqrt(sigma) - 77.488106),PySRFunction(X=>-4.05051796304682e-6*sigma + 1.1182617 - 9.054843/(alpha_infinity*sqrt(sigma) - 77.488106))
18,0.0003818018,(-9.0547 / ((alpha_infinity * sqrt(sigma)) + -77.488106)) + (((3.6674155e-5 / (-9.0547 / sigma)) + 1.1184312) - lambda_prime),0.00043868704169272793,-lambda_prime - 4.05028935249097e-6*sigma + 1.1184312 - 9.0547/(alpha_infinity*sqrt(sigma) - 77.488106),PySRFunction(X=>-lambda_prime - 4.05028935249097e-6*sigma + 1.1184312 - 9.0547/(alpha_infinity*sqrt(sigma) - 77.488106))
19,0.00037509084,(1.1318585 - sqrt(lambda_prime)) + ((-9.05473 / ((sqrt(sigma) * alpha_infinity) + -77.4881)) + (3.6704547e-5 / (-9.0547 / sigma))),0.017733389155709194,-sqrt(lambda_prime) - 4.05364584138624e-6*sigma + 1.1318585 - 9.05473/(alpha_infinity*sqrt(sigma) - 77.4881),PySRFunction(X=>-sqrt(lambda_prime) - 4.05364584138624e-6*sigma + 1.1318585 - 9.05473/(alpha_infinity*sqrt(sigma) - 77.4881))
20,0.00036858543,(((3.664657e-5 / (-9.054702 / sigma)) + 1.1261195) + (-9.054776 / ((alpha_infinity * sqrt(sigma)) + -77.488106))) - sqrt(sqrt(k0_prime)),0.017495720124136506,-k0_prime**(1/4) - 4.04724197439076e-6*sigma + 1.1261195 - 9.054776/(alpha_infinity*sqrt(sigma) - 77.488106),PySRFunction(X=>-k0_prime**(1/4) - 4.04724197439076e-6*sigma + 1.1261195 - 9.054776/(alpha_infinity*sqrt(sigma) - 77.488106))
22,0.00036654883,((3.664038e-5 / (-9.054702 / sigma)) + ((-9.054764 / ((sqrt(sigma) * alpha_infinity) + -77.488106)) - sqrt(sqrt(k0_prime + k0_prime)))) + 1.127599,0.002770385385552418,-2**(1/4)*k0_prime**(1/4) - 4.04655835167187e-6*sigma + 1.127599 - 9.054764/(alpha_infinity*sqrt(sigma) - 77.488106),PySRFunction(X=>-2**(1/4)*k0_prime**(1/4) - 4.04655835167187e-6*sigma + 1.127599 - 9.054764/(alpha_infinity*sqrt(sigma) - 77.488106))
23,0.00033415068,(-3.83805e-5 / (9.395219 / sigma)) + (((-9.550038 / ((sqrt(sigma) * alpha_infinity) + -77.48799)) - (0.052159254 / (-9.054519 / sqrt(f)))) + 0.8758304),0.0925397167705744,0.0057605770113244*sqrt(f) - 4.08510967120617e-6*sigma + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799),PySRFunction(X=>0.0057605770113244*sqrt(f) - 4.08510967120617e-6*sigma + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799))
25,0.00033380176,((3.69897e-5 / (-9.05488 / sigma)) + ((-9.550038 / ((alpha_infinity * sqrt(sigma)) + -77.48799)) - ((0.05215929 / (-9.054519 / sqrt(f))) + lambda_prime))) + 0.8758304,0.0005223725685274361,0.00576058098723963*sqrt(f) - lambda_prime - 4.08505689749616e-6*sigma + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799),PySRFunction(X=>0.00576058098723963*sqrt(f) - lambda_prime - 4.08505689749616e-6*sigma + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799))
27,0.00033379585,(((3.69897e-5 / (-9.05488 / sigma)) + (-9.550038 / ((alpha_infinity * sqrt(sigma)) + -77.48799))) - ((0.05215929 / (-9.054519 / sqrt(f + 1.1521997))) + lambda_prime)) + 0.8758304,8.852638043714487e-06,-lambda_prime - 4.08505689749616e-6*sigma + 0.00576058098723963*sqrt(f + 1.1521997) + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799),PySRFunction(X=>-lambda_prime - 4.08505689749616e-6*sigma + 0.00576058098723963*sqrt(f + 1.1521997) + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799))
