complexity,loss,equation,score,sympy_format,lambda_format
1,0.0064465227,0.81617993,0.0,0.816179930000000,PySRFunction(X=>0.816179930000000)
2,0.006446522,log(2.2618403),1.0858567812702264e-07,0.816178773963701,PySRFunction(X=>0.816178773963701)
3,0.0064457604,0.81627417 - lambda_var,0.00011814820328250481,0.81627417 - lambda_var,PySRFunction(X=>0.81627417 - lambda_var)
4,0.003053786,8.800009 / log(sigma),0.7470404800596101,8.800009/log(sigma),PySRFunction(X=>8.800009/log(sigma))
5,0.0017584292,(sigma * -2.946104e-6) + 0.9759073,0.5519612217698064,0.9759073 + sigma*(-2.946104e-6),PySRFunction(X=>0.9759073 + sigma*(-2.946104e-6))
6,0.0017320901,sqrt(phi + (sigma * -4.6398377e-6)),0.015092080962372516,sqrt(phi - 4.6398377e-6*sigma),PySRFunction(X=>sqrt(phi - 4.6398377e-6*sigma))
7,0.0015602421,((sigma / f) * -0.0043334183) + 0.97654533,0.10448782804437116,0.97654533 + sigma*(-0.0043334183)/f,PySRFunction(X=>0.97654533 + sigma*(-0.0043334183)/f)
8,0.0015477955,sqrt(((sigma * -0.0071367477) / f) + 0.93800753),0.008009341030433348,sqrt(0.93800753 - 0.0071367477*sigma/f),PySRFunction(X=>sqrt(0.93800753 - 0.0071367477*sigma/f))
9,0.0014228561,((sigma * -2.9438756e-6) + 1.2336564) + (-377.81985 / f),0.08416547088842627,sigma*(-2.9438756e-6) + 1.2336564 - 377.81985/f,PySRFunction(X=>sigma*(-2.9438756e-6) + 1.2336564 - 377.81985/f)
11,0.0010265412,(sigma * (alpha_infinity * -1.9432264e-6)) + (sqrt(sqrt(alpha_infinity)) + -0.13123925),0.16323554827600653,alpha_infinity**(1/4) - 1.9432264e-6*alpha_infinity*sigma - 0.13123925,PySRFunction(X=>alpha_infinity**(1/4) - 1.9432264e-6*alpha_infinity*sigma - 0.13123925)
12,0.0010206205,((sqrt(alpha_infinity) + (alpha_infinity * (sigma * -4.4171375e-6))) * 0.43405735) + 0.44035077,0.005784317387386486,0.43405735*sqrt(alpha_infinity) - 1.91729099783562e-6*alpha_infinity*sigma + 0.44035077,PySRFunction(X=>0.43405735*sqrt(alpha_infinity) - 1.91729099783562e-6*alpha_infinity*sigma + 0.44035077)
13,0.0007701535,sqrt(sqrt(alpha_infinity)) + ((-197.07608 / f) + (alpha_infinity * (sigma * -1.9117585e-6))),0.2815762090225556,alpha_infinity**(1/4) - 1.9117585e-6*alpha_infinity*sigma - 197.07608/f,PySRFunction(X=>alpha_infinity**(1/4) - 1.9117585e-6*alpha_infinity*sigma - 197.07608/f)
15,0.0006921595,(-380.36407 / f) + ((sqrt(sqrt(alpha_infinity)) - ((alpha_infinity * sigma) * 1.9421554e-6)) + 0.12827994),0.05338671262063807,alpha_infinity**(1/4) - 1.9421554e-6*alpha_infinity*sigma + 0.12827994 - 380.36407/f,PySRFunction(X=>alpha_infinity**(1/4) - 1.9421554e-6*alpha_infinity*sigma + 0.12827994 - 380.36407/f)
16,0.00068617234,((-386.15628 / f) + (((sigma * -1.917336e-6) * alpha_infinity) + 0.70391506)) + (sqrt(alpha_infinity) * 0.43405312),0.00868759972401059,0.43405312*sqrt(alpha_infinity) - 1.917336e-6*alpha_infinity*sigma + 0.70391506 - 386.15628/f,PySRFunction(X=>0.43405312*sqrt(alpha_infinity) - 1.917336e-6*alpha_infinity*sigma + 0.70391506 - 386.15628/f)
18,0.0006474347,(-366.365 / f) + (((alpha_infinity * (0.19186068 - sqrt(lambda_var))) + 0.9505577) + ((alpha_infinity * sigma) * -1.9700224e-6)),0.029055440798447307,-1.9700224e-6*alpha_infinity*sigma + alpha_infinity*(0.19186068 - sqrt(lambda_var)) + 0.9505577 - 366.365/f,PySRFunction(X=>-1.9700224e-6*alpha_infinity*sigma + alpha_infinity*(0.19186068 - sqrt(lambda_var)) + 0.9505577 - 366.365/f)
19,0.00064346637,((-366.36514 / f) + ((sqrt(alpha_infinity) * (0.4415117 - sqrt(lambda_var))) + 0.69258285)) + (alpha_infinity * (sigma * -1.9116576e-6)),0.006148174468935758,sqrt(alpha_infinity)*(0.4415117 - sqrt(lambda_var)) - 1.9116576e-6*alpha_infinity*sigma + 0.69258285 - 366.36514/f,PySRFunction(X=>sqrt(alpha_infinity)*(0.4415117 - sqrt(lambda_var)) - 1.9116576e-6*alpha_infinity*sigma + 0.69258285 - 366.36514/f)
21,0.00055450236,(-401.93002 / f) + (((1.0554929 - sqrt(sqrt(lambda_var))) * (sqrt(sqrt(alpha_infinity)) + ((alpha_infinity * -1.9941156e-6) * sigma))) + 0.18699977),0.07439935086516695,(1.0554929 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9941156e-6*alpha_infinity*sigma) + 0.18699977 - 401.93002/f,PySRFunction(X=>(1.0554929 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9941156e-6*alpha_infinity*sigma) + 0.18699977 - 401.93002/f)
23,0.0005545023,((-401.93002 / f) + ((1.0554929 - sqrt(sqrt(lambda_var))) * ((sqrt(sqrt(alpha_infinity)) + ((alpha_infinity * -1.9941156e-6) * sigma)) + k0_prime))) + 0.18699977,5.410256796621467e-08,(1.0554929 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9941156e-6*alpha_infinity*sigma + k0_prime) + 0.18699977 - 401.93002/f,PySRFunction(X=>(1.0554929 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9941156e-6*alpha_infinity*sigma + k0_prime) + 0.18699977 - 401.93002/f)
24,0.0005413101,((1.0640042 - sqrt(sqrt(lambda_var))) * (sqrt(sqrt(alpha_infinity)) + ((alpha_infinity * (sigma * -1.9799766e-6)) + 0.19389735))) + ((-401.93002 / f) - sqrt(lambda_var)),0.024078642249526078,-sqrt(lambda_var) + (1.0640042 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9799766e-6*alpha_infinity*sigma + 0.19389735) - 401.93002/f,PySRFunction(X=>-sqrt(lambda_var) + (1.0640042 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9799766e-6*alpha_infinity*sigma + 0.19389735) - 401.93002/f)
25,0.00052115956,((1.0640042 - sqrt(sqrt(lambda_var))) * (sqrt(sqrt(alpha_infinity)) + (((alpha_infinity * sigma) * -1.9799766e-6) + 0.19389735))) + ((-401.93002 / f) - sqrt(sqrt(k0_prime))),0.03793606034936617,-k0_prime**(1/4) + (1.0640042 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9799766e-6*alpha_infinity*sigma + 0.19389735) - 401.93002/f,PySRFunction(X=>-k0_prime**(1/4) + (1.0640042 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9799766e-6*alpha_infinity*sigma + 0.19389735) - 401.93002/f)
