complexity,loss,equation,score,sympy_format,lambda_format
1,0.004299489,0.60987973,0.0,0.609879730000000,PySRFunction(X=>0.609879730000000)
3,0.0026695433,f * 0.0007249056,0.23829438466799485,f*0.0007249056,PySRFunction(X=>f*0.0007249056)
4,0.002491786,sqrt(f) * 0.021110024,0.0689076866541271,0.021110024*sqrt(f),PySRFunction(X=>0.021110024*sqrt(f))
5,0.0023307423,(f * 0.00051314145) + 0.17949808,0.06681292190680925,f*0.00051314145 + 0.17949808,PySRFunction(X=>f*0.00051314145 + 0.17949808)
6,0.0023188305,(sqrt(f) + alpha_infinity) * 0.02004456,0.0051238367794679395,0.02004456*alpha_infinity + 0.02004456*sqrt(f),PySRFunction(X=>0.02004456*alpha_infinity + 0.02004456*sqrt(f))
7,0.0020365943,log((alpha_infinity + sqrt(f)) * 0.06047226),0.1297840117828926,log(0.06047226*alpha_infinity + 0.06047226*sqrt(f)),PySRFunction(X=>log(0.06047226*alpha_infinity + 0.06047226*sqrt(f)))
8,0.0020283025,((sqrt(f) + alpha_infinity) * 0.031183666) + -0.34024897,0.004079715628096072,0.031183666*alpha_infinity + 0.031183666*sqrt(f) - 0.34024897,PySRFunction(X=>0.031183666*alpha_infinity + 0.031183666*sqrt(f) - 0.34024897)
9,0.0019521338,(490.97522 / ((alpha_infinity * -104.71722) - f)) + 1.1047698,0.03827620561737002,1.1047698 + 490.97522/(alpha_infinity*(-104.71722) - f),PySRFunction(X=>1.1047698 + 490.97522/(alpha_infinity*(-104.71722) - f))
11,0.0019482529,(490.97522 / ((alpha_infinity / -0.0092189815) + (9.405102 - f))) + 1.1064024,0.0009950042340007288,1.1064024 + 490.97522/(alpha_infinity/(-0.0092189815) - f + 9.405102),PySRFunction(X=>1.1064024 + 490.97522/(alpha_infinity/(-0.0092189815) - f + 9.405102))
12,0.0019067499,((490.97522 / ((alpha_infinity * -104.717224) - f)) + 1.1143389) - sqrt(lambda_var),0.021532852638810426,-sqrt(lambda_var) + 1.1143389 + 490.97522/(-104.717224*alpha_infinity - f),PySRFunction(X=>-sqrt(lambda_var) + 1.1143389 + 490.97522/(-104.717224*alpha_infinity - f))
13,0.0017218313,(495.4538 / ((alpha_infinity / (sqrt(sqrt(k0_prime)) / -0.7832989)) - f)) + 1.1119865,0.10201173589021197,1.1119865 + 495.4538/(-0.7832989*alpha_infinity/k0_prime**(1/4) - f),PySRFunction(X=>1.1119865 + 495.4538/(-0.7832989*alpha_infinity/k0_prime**(1/4) - f))
14,0.0017033747,(549.4387 / ((alpha_infinity / (sqrt(sqrt(sqrt(k0_prime))) / -11.757345)) - f)) + 1.1404054,0.010777032759841425,1.1404054 + 549.4387/(-11.757345*alpha_infinity/k0_prime**(1/8) - f),PySRFunction(X=>1.1404054 + 549.4387/(-11.757345*alpha_infinity/k0_prime**(1/8) - f))
15,0.0016355228,(540.70905 / ((alpha_infinity / (sqrt(sqrt(sqrt(k0_prime))) / log(lambda_var))) - f)) + 1.1541559,0.040648892376844624,1.1541559 + 540.70905/(alpha_infinity*log(lambda_var)/k0_prime**(1/8) - f),PySRFunction(X=>1.1541559 + 540.70905/(alpha_infinity*log(lambda_var)/k0_prime**(1/8) - f))
17,0.0014806233,(544.96204 / (((alpha_infinity / 34.149754) / ((sqrt(sqrt(k0_prime)) / -59.11677) - lambda_var)) - f)) + 1.1379608,0.04974968041178982,1.1379608 + 544.96204/(0.0292827878057335*alpha_infinity/(-0.0169156738434796*k0_prime**(1/4) - lambda_var) - f),PySRFunction(X=>1.1379608 + 544.96204/(0.0292827878057335*alpha_infinity/(-0.0169156738434796*k0_prime**(1/4) - lambda_var) - f))
19,0.0014800844,(544.96204 / (((alpha_infinity / 34.149765) / ((sqrt(sqrt(k0_prime)) / -59.116768) - (lambda_var * phi))) - f)) + 1.1345968,0.00018201729469998748,1.1345968 + 544.96204/(0.0292827783734383*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var*phi) - f),PySRFunction(X=>1.1345968 + 544.96204/(0.0292827783734383*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var*phi) - f))
20,0.0014726747,(544.96204 / ((((alpha_infinity / 34.14977) / ((sqrt(sqrt(k0_prime)) / -59.116768) - lambda_var)) - log(sigma)) - f)) + 1.132447,0.00501884190513999,1.132447 + 544.96204/(0.0292827740860334*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var) - f - log(sigma)),PySRFunction(X=>1.132447 + 544.96204/(0.0292827740860334*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var) - f - log(sigma)))
21,0.0014704063,(544.96204 / ((((alpha_infinity / 34.149765) / ((sqrt(sqrt(k0_prime)) / -59.116768) - lambda_var)) - sqrt(sqrt(sigma))) - f)) + 1.1342303,0.0015415141134025286,1.1342303 + 544.96204/(0.0292827783734383*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var) - f - sigma**(1/4)),PySRFunction(X=>1.1342303 + 544.96204/(0.0292827783734383*alpha_infinity/(-0.0169156744157597*k0_prime**(1/4) - lambda_var) - f - sigma**(1/4)))
22,0.0012622126,((519.315 / (((alpha_infinity / 31.532084) / ((sqrt(sqrt(k0_prime)) / -50.882507) - lambda_var)) - f)) + (-12.036722 / sqrt(sigma))) + 1.1707493,0.1526725444702369,1.1707493 + 519.315/(0.0317137300534909*alpha_infinity/(-0.0196531196861035*k0_prime**(1/4) - lambda_var) - f) - 12.036722/sqrt(sigma),PySRFunction(X=>1.1707493 + 519.315/(0.0317137300534909*alpha_infinity/(-0.0196531196861035*k0_prime**(1/4) - lambda_var) - f) - 12.036722/sqrt(sigma))
24,0.0012565437,((519.1551 / (((alpha_infinity / 31.53819) / ((sqrt(sqrt(k0_prime)) / -50.794178) - lambda_var)) - f)) + ((-12.039083 / sqrt(sigma)) + 1.1437076)) * 1.0476619,0.0022506780715673947,1.19821887726044 + 543.89901846069/(0.0317075900677877*alpha_infinity/(-0.0196872956581756*k0_prime**(1/4) - lambda_var) - f) - 12.6128885700377/sqrt(sigma),PySRFunction(X=>1.19821887726044 + 543.89901846069/(0.0317075900677877*alpha_infinity/(-0.0196872956581756*k0_prime**(1/4) - lambda_var) - f) - 12.6128885700377/sqrt(sigma))
26,0.0012554401,((519.1551 / (alpha_infinity + (((alpha_infinity / 31.53819) / ((sqrt(sqrt(k0_prime)) / -50.794178) - lambda_var)) - f))) + ((-12.039083 / sqrt(sigma)) + 1.1437076)) * 1.0476619,0.000439334071741829,1.19821887726044 + 543.89901846069/(alpha_infinity + 0.0317075900677877*alpha_infinity/(-0.0196872956581756*k0_prime**(1/4) - lambda_var) - f) - 12.6128885700377/sqrt(sigma),PySRFunction(X=>1.19821887726044 + 543.89901846069/(alpha_infinity + 0.0317075900677877*alpha_infinity/(-0.0196872956581756*k0_prime**(1/4) - lambda_var) - f) - 12.6128885700377/sqrt(sigma))
