Complexity,Loss,Equation
1,0.004299489,"0.60987973"
3,0.0026695433,"f * 0.0007249056"
4,0.002491786,"sqrt(f) * 0.021110024"
5,0.0023307423,"(f * 0.00051314145) + 0.17949808"
6,0.0023188305,"(sqrt(f) + alpha_infinity) * 0.02004456"
7,0.0020365943,"log((alpha_infinity + sqrt(f)) * 0.06047226)"
8,0.0020283025,"((sqrt(f) + alpha_infinity) * 0.031183666) + -0.34024897"
9,0.0019521338,"(490.97522 / ((alpha_infinity * -104.71722) - f)) + 1.1047698"
11,0.0019482529,"(490.97522 / ((alpha_infinity / -0.0092189815) + (9.405102 - f))) + 1.1064024"
12,0.0019067499,"((490.97522 / ((alpha_infinity * -104.717224) - f)) + 1.1143389) - sqrt(lambda_var)"
13,0.0017218313,"(495.4538 / ((alpha_infinity / (sqrt(sqrt(k0_prime)) / -0.7832989)) - f)) + 1.1119865"
14,0.0017033747,"(549.4387 / ((alpha_infinity / (sqrt(sqrt(sqrt(k0_prime))) / -11.757345)) - f)) + 1.1404054"
15,0.0016355228,"(540.70905 / ((alpha_infinity / (sqrt(sqrt(sqrt(k0_prime))) / log(lambda_var))) - f)) + 1.1541559"
17,0.0014806233,"(544.96204 / (((alpha_infinity / 34.149754) / ((sqrt(sqrt(k0_prime)) / -59.11677) - lambda_var)) - f)) + 1.1379608"
19,0.0014800844,"(544.96204 / (((alpha_infinity / 34.149765) / ((sqrt(sqrt(k0_prime)) / -59.116768) - (lambda_var * phi))) - f)) + 1.1345968"
20,0.0014726747,"(544.96204 / ((((alpha_infinity / 34.14977) / ((sqrt(sqrt(k0_prime)) / -59.116768) - lambda_var)) - log(sigma)) - f)) + 1.132447"
21,0.0014704063,"(544.96204 / ((((alpha_infinity / 34.149765) / ((sqrt(sqrt(k0_prime)) / -59.116768) - lambda_var)) - sqrt(sqrt(sigma))) - f)) + 1.1342303"
22,0.0012622126,"((519.315 / (((alpha_infinity / 31.532084) / ((sqrt(sqrt(k0_prime)) / -50.882507) - lambda_var)) - f)) + (-12.036722 / sqrt(sigma))) + 1.1707493"
24,0.0012565437,"((519.1551 / (((alpha_infinity / 31.53819) / ((sqrt(sqrt(k0_prime)) / -50.794178) - lambda_var)) - f)) + ((-12.039083 / sqrt(sigma)) + 1.1437076)) * 1.0476619"
26,0.0012554401,"((519.1551 / (alpha_infinity + (((alpha_infinity / 31.53819) / ((sqrt(sqrt(k0_prime)) / -50.794178) - lambda_var)) - f))) + ((-12.039083 / sqrt(sigma)) + 1.1437076)) * 1.0476619"
